year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4185.2968044059435,8818.143660817097,3415.7036297851805,62.76173608460059,45145.06364953177,37967.04106507376,211168.84090755502,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,9.689486117021433,1.6144037483293996,43.22273694678433,0.6651745022060309,0.0,0.5703134205088075,0.0,61.683304181431716,0.0,0.0,0.0,6909.576829160682,4525.951989734751,0.0,1564.8093334663704,0.0,0.0,0.0,15952.322288133077,0.0
1993,4180.634806799306,8787.766911639692,3415.7036297851805,62.571898371990976,45143.06729516772,37966.75552060094,211167.51044164534,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,9.689486117021433,1.6144037483293996,43.22273694678433,0.6651745022060309,0.0,0.5703134205088075,0.0,61.683304181431716,0.0,0.0,0.0,6909.576829160682,4525.19044146603,0.0,1604.887719609331,0.0,0.0,0.0,15951.846399502057,0.0
1994,4176.827393197739,8758.053647033714,3415.7036297851805,62.47669948463821,45140.40626035096,37966.5653299558,211164.3718661742,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,9.689486117021433,1.6144037483293996,43.22273694678433,0.6651745022060309,0.0,0.5703134205088075,0.0,61.683304181431716,0.0,0.0,0.0,6909.576829160682,4523.7609397023525,0.0,1646.2084078081448,0.0,0.0,0.0,15951.560891094834,0.0
1995,4240.541029366875,8942.087496597027,3599.2955582520453,63.04861271098739,43919.700449548654,38830.80305837119,210759.1699061159,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.544707332086505,1.6144037483293996,40.65131843802901,0.6651745022060309,0.0,0.5703134205088075,0.0,66.06047623986963,0.0,0.0,0.0,7064.165314933203,4685.973357855848,0.0,1694.1996753508438,0.0,0.0,0.0,15915.866459880399,0.0
1996,4241.88759585896,8930.769565997442,3626.2305751884765,63.52462067702671,43060.74963850426,38938.67932482743,211248.22307250145,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.544707332086505,1.6144037483293996,40.93638332173992,0.6651745022060309,0.0,0.5703134205088075,0.0,65.96534865266575,0.0,0.0,0.0,7198.5375831355805,4717.89946574423,0.0,1742.953376164939,0.0,0.0,0.0,15945.206163087003,0.0
1997,4248.5632661492145,8925.531684801117,3665.8427705440035,63.33401059611401,42722.35737347262,39185.98033854301,211157.56093093287,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.544707332086505,1.6144037483293996,41.506507085756844,0.6651745022060309,0.0,0.5703134205088075,0.0,66.53514533061643,0.0,0.0,0.0,7243.2715217965415,4748.292044480726,0.0,1793.0387761086308,0.0,0.0,0.0,15959.748343820009,0.0
1998,4262.963929781544,8918.388648235774,3668.58304481903,63.14355011021885,42490.576559959605,39542.048032418206,210880.13598404062,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,9.306633963886062,1.6144037483293996,43.02685811989582,0.6651745022060309,0.0,0.5703134205088075,0.0,67.29565230534254,0.0,0.0,0.0,7308.290670130961,4770.90129765492,0.0,1846.566730798485,0.0,0.0,0.0,15958.879828654794,0.0
1999,4304.148876583281,8923.74139903998,3741.161514509044,62.953194700011835,42156.679437527906,40069.94504911983,210429.46193142235,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,9.211517176124383,1.6144037483293996,44.07279458446342,0.6651745022060309,0.0,0.5703134205088075,0.0,67.29565230534254,0.0,0.0,0.0,7353.138889380883,4815.247900039836,0.0,1898.2696786334361,0.0,0.0,0.0,15954.77958597079,0.0
2000,4323.140689096466,8927.087850753089,3759.7376865785545,62.66733447725624,41990.93905081568,40502.77508553868,210052.27333230583,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,9.116400764148699,2.186594469690868,44.453131560046224,0.6651745022060309,0.0,0.5703134205088075,0.0,67.86761594500426,0.0,0.0,0.0,7364.650649202385,4820.941693003363,0.0,1950.6311096007523,0.0,0.0,0.0,15953.253600630767,0.0
2001,4327.412163831903,8839.781115244417,3783.810658933962,62.28634427741383,41652.827953827684,40866.67323009733,209831.9750310316,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.354474132349141,2.186594469690868,45.59510957382491,0.6651745022060309,0.0,0.5703134205088075,0.0,68.81801156892483,0.0,0.0,0.0,7383.108195374829,4833.861103994779,0.0,2164.151715359029,0.0,0.0,0.0,15960.880123024075,0.0
2002,4349.452179823847,8753.549839360083,3791.45341140438,62.571001994139706,41414.575523958425,41194.36807949195,209629.75378065335,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.354474132349141,1.6144037483293996,46.92729856494775,0.6651745022060309,0.0,0.5703134205088075,0.0,70.43896396913748,0.0,0.0,0.0,7391.943079526445,4842.197899140341,0.0,2326.865930721575,0.0,0.0,0.0,15947.655958253023,0.0
2003,4369.854281954274,8722.070524333483,3802.1439325113543,62.66694600299301,40919.616541251,41393.016425910355,209782.05128033817,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.259304541944916,1.6144037483293996,46.45396557392659,0.6651745022060309,0.0,0.5703134205088075,0.0,71.58300810074256,0.0,0.0,0.0,7414.7787661371685,4855.237792713333,0.0,2445.9745813981444,0.0,0.0,0.0,15936.400070226784,0.0
2004,4386.893899044168,8760.57545180073,3805.5187772137338,64.8608160620704,40558.910592968714,41852.99498761593,209519.75326608532,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.259036337692914,1.6144037483293996,48.16443010210594,0.6651745022060309,0.0,0.5703134205088075,0.0,84.64345108969873,0.0,0.0,0.0,7411.722604024666,4875.3019862689835,0.0,2535.4607896117873,0.0,0.0,0.0,15917.047332767577,0.0
2005,4408.5563282793855,8739.453457280104,3833.2745229881193,64.48022272466267,40637.718530344566,42343.16679590351,208761.53516557836,0.0,0.0,0.0,0.0,0.0,0.0,0.19059331598390772,0.0,0.0,0.0,8.163866404661977,1.6144037483293996,50.732410962913015,0.6651745022060309,0.0,0.5703134205088075,0.0,96.46541765902145,0.0,0.0,0.0,7406.950477425952,4885.174740587811,0.0,2682.3377567072425,0.0,0.0,0.0,15912.097728146928,0.0
2006,4442.5500642744955,8795.498277131499,3846.089327919364,64.19465691709694,40223.515791555925,42723.91092102087,208581.0211527743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.163866404661977,1.6144037483293996,55.96087846727435,0.6651745022060309,0.0,0.5703134205088075,0.0,104.85112428203745,0.0,0.0,0.0,7397.5143137140085,4899.440628736851,0.0,2783.10916920315,0.0,0.0,0.0,15904.477841907925,0.0
2007,4460.428991222535,8843.714339953964,3875.0071955447293,64.29097701570305,40321.3162849094,43390.179988752345,207642.26160873566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.259076462585774,1.6144037483293996,64.42760997279501,0.6651745022060309,0.0,0.5703134205088075,0.0,113.81225864698025,0.0,0.0,0.0,7367.1012506714815,4914.551825710929,0.0,2879.780662516644,0.0,0.0,0.0,15885.165944193488,0.0
