year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,137356.17116616634,13477.637310996617,0.0,26300.558914591315,33491.62031753535,33992.842841878475,20.15956274502188,85.55719484545111,1.018461147979484,21547.199780141862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.8798296006562,430.52238890965094,79452.81051971974,0.0,18594.434296346895,127424.99050574042,0.0,27352.78432073846,0.0,999.5869621531755,13117.457757999879,0.0,11.817917684852917,2956.6787074371287,172.36980196381546,696676.8383263496,237.00569216159064,18.174351170363465,4064.888129131333,0.0
1993,137355.89167767347,13477.637310996617,0.0,26300.46534044513,33491.62031753535,33991.63207558001,20.15956274502188,85.55719484545111,1.018461147979484,21547.199780141862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.8798296006562,430.05668142834884,79452.6243057392,0.0,18594.434296346895,127424.71139009004,0.0,27352.78432073846,0.0,999.5869621531755,13117.457757999879,0.0,11.817917684852917,2956.6787074371287,175.15472797400457,696676.5682663891,237.00569216159064,18.174351170363465,4064.888129131333,0.0
1994,137355.89167767347,13477.637310996617,0.0,26300.46534044513,33491.52720575424,33990.794146933265,20.15956274502188,85.55719484545111,1.018461147979484,21547.199780141862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.8798296006562,429.4978318489361,79452.43778914226,0.0,18594.434296346895,127424.71139009004,0.0,27352.78432073846,0.0,999.5869621531755,13117.457757999879,0.0,11.817917684852917,2956.6787074371287,177.19694134305485,696676.2955845685,237.00569216159064,18.174351170363465,4064.795004187033,0.0
1995,138634.43476100054,13603.088770989116,0.0,27002.104389521897,33637.88167604899,34127.578794081855,20.15956274502188,82.84458775453967,1.018461147979484,21547.75713744705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.367021441286,424.460589105565,77714.94932759067,0.0,18594.341560485293,126996.22232352608,0.0,27121.441644795585,0.0,1001.8781688769592,13150.232595783795,0.0,12.281942371785897,2956.1709390761307,178.7792720272981,696691.850431302,237.09752280204378,18.174351170363465,4024.889226066512,0.0
1996,139255.5102694966,13648.258372869514,0.0,27112.99198466619,33728.109649001606,34201.26319340278,20.15956274502188,108.23603514778098,1.018461147979484,21660.076857941403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.1547927356323,422.71323228938604,76893.33337029275,0.0,18591.156904696152,126977.07762505827,0.0,27071.103472138482,0.0,1001.783263149984,13177.084981661028,0.0,12.374972334183404,2954.6130779868868,180.3563052466668,696487.9841232701,237.00555127413713,18.174351170363465,4021.464647434417,0.0
1997,139844.73249552943,13717.064410130053,0.0,27182.296272930333,33872.91692625188,34297.21916667582,20.15956274502188,158.98454067898237,1.018461147979484,21893.874014054345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.1547927356323,421.24500639511086,75998.92838140609,0.0,18582.594690738446,127241.52105813734,0.0,26885.26151498136,0.0,1000.9563149095616,13194.943653096727,0.0,12.46816652569857,2952.216650863973,182.20794423337924,696048.7083512654,237.28063150523522,18.174351170363465,4017.0776990489658,0.0
1998,141371.81446827212,13867.358337732147,0.0,27338.23940318775,34155.6960556971,34519.319400567685,20.15956274502188,303.0278621831216,1.018461147979484,22233.718672160743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.142454999098,422.4226546352925,73839.16806123896,0.0,18566.926885116754,127667.2577187607,0.0,27078.75256508142,0.0,1006.1767539007488,13602.744781201367,0.0,12.744427785899509,2932.645427608997,184.88783399260416,694401.1562175199,238.1961528806937,18.356903396802426,4001.073995345239,0.0
1999,142505.09825210873,14011.161220595131,0.0,27537.752848716154,34365.69558574968,34692.074909910734,20.15956274502188,506.1607777430251,1.018461147979484,22675.489149963505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.4433477631078,435.68658376453567,71887.60662805913,0.0,18537.796419402686,128261.75202682168,0.0,27136.75116745337,0.0,1014.4582061943867,13733.67355005208,0.0,16.169355581995493,2939.677642351351,187.4802389835675,693161.222659892,239.47795184207519,18.356903396802426,3894.84160691839,0.0
2000,145054.3044336306,14109.296260621384,0.0,27742.13586315496,35261.378167492905,35380.676754403095,20.15956274502188,843.2811689121941,1.018461147979484,23436.29033460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.882549556355,457.2959783230115,66502.08119087931,0.0,18459.687926190596,129981.68021532512,0.0,27020.882915664555,0.0,1015.0872346713822,14051.841880114041,0.0,17.747126828501923,2941.05698277643,191.64559823051138,691144.4458309389,239.2948519764618,18.356903396802426,3891.476865574225,0.0
2001,146065.8527523829,14220.513174721265,0.0,27868.45830955589,35567.857579804855,35669.90687385578,20.15956274502188,868.1374172446848,1.018461147979484,23583.82751657897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.8330102873078,350.36455656283107,64702.22390702439,0.0,18439.4949419274,130786.08901391098,0.0,26411.928320501243,0.0,1017.0921308663902,14205.456581993563,0.0,17.747126828501923,2944.565809705967,220.61156105449496,690686.4178736904,240.6567327189961,18.356903396802426,3876.434938649237,0.0
2002,146556.40826197775,14272.467880436754,0.0,27930.869544718607,35726.86866779994,35787.66948404697,20.15956274502188,910.2734890695513,1.018461147979484,23716.79112791937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.4519432291067,316.6692138905912,63738.1989716008,0.0,18422.953202455465,131428.3032323832,0.0,26078.928924985557,0.0,1018.2679621514395,14266.13168809097,0.0,18.118614766476476,2948.833013237664,234.57982612745957,690268.8215902967,240.56502777606303,18.356903396802426,3863.2984629055845,0.0
2003,146626.57067375042,14299.847951717118,0.0,27969.916160578738,35738.55322451441,35814.1669031404,20.15956274502188,937.7982778949638,1.018461147979484,23794.955028420656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.520212536748,318.7728575848749,63538.85938891404,0.0,18421.090662882638,131688.14611889076,0.0,26166.110723545175,0.0,1019.9979177053082,14446.204478374782,0.0,18.21218800401539,2952.8569019337756,251.80708395093967,689650.2735842094,240.10697362715266,18.356903396802426,3851.702817689698,0.0
2004,146931.1322598443,14358.641498438681,0.0,28012.47804018159,35842.366408036665,35920.14547304563,20.15956274502188,988.8133109973888,1.018461147979484,23939.46261162087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.617483402315,324.81394693401813,62820.44707264029,0.0,18405.484509589558,133133.52155231833,0.0,26609.202306315692,0.0,1022.0973793013009,14761.463778450281,0.0,18.582533974922057,2950.5362124999137,265.49679311597254,687355.6416197217,237.36050555835257,18.356903396802426,3847.1648338791556,0.0
2005,146918.6324176398,14372.839439683343,0.0,28017.072028150094,35812.493884130585,35910.82693498766,20.15956274502188,1006.7232444409917,1.018461147979484,23964.000930772516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.9747701641481,318.8694414655185,62801.100010250746,0.0,18405.384262847194,133362.4288261607,0.0,26563.188925526683,0.0,1022.8252558426824,14808.110910552527,0.0,19.234293542785306,2951.004157575992,275.09378376071305,687135.3800999525,237.36050555835257,18.356903396802426,3843.9260068616236,0.0
2006,146934.2091449426,14397.000028915263,0.0,28025.440986696776,35802.127736711445,35912.94175141882,20.15956274502188,1021.2101932116941,1.018461147979484,23989.310859824684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0664725457,313.0291879510936,62834.501749546704,0.0,18406.675475580738,133451.12434413674,0.0,26662.394791000155,0.0,1023.3747813697854,14873.969273276629,0.0,20.438902996456566,2961.2648252110694,287.1961155368844,686781.6210040782,237.5438332801497,18.356903396802426,3811.028671635813,0.0
2007,147123.96533904027,14551.443966158744,0.0,28074.18144574304,35941.57629622311,35958.40039066769,20.15956274502188,1044.3484852150814,1.018461147979484,24011.242269698545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.517373421916,310.0987959049616,62771.380458509026,0.0,18406.294256701687,133397.8782648957,0.0,26802.390995041937,0.0,1026.0217889538533,14888.694672194435,0.0,20.994863681817655,2974.5062742043283,295.9451230385606,686120.3971777053,237.81818030707203,18.356903396802426,3789.373712559924,0.0
2008,147102.17744237423,14576.936023172151,0.0,28091.902622967955,35937.31520953383,35977.522554764,20.15956274502188,1083.848462934742,1.018461147979484,24035.951743457288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.7841351375532,309.37420569896835,62746.47348744068,0.0,18397.631429001278,133003.9812695029,0.0,27097.697985678107,0.0,1030.414939842925,14934.109566561827,0.0,23.694140815328392,2991.219667295592,304.97705691203817,686111.7480208583,237.90958290652435,18.356903396802426,3752.8005830118223,0.0
2009,147152.735975298,14621.457277055913,0.0,28103.747228443906,35913.621994701854,35983.351714121476,20.15956274502188,1114.0884104686145,1.018461147979484,24052.446620468927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.7841351375532,308.91495645653464,62661.3899485309,0.0,18390.648625780665,133444.95609824322,0.0,27399.38409878783,0.0,1031.962031799824,14852.842952132985,0.0,23.694140815328392,2991.5029324154343,311.77587659082366,685398.6507669697,237.54314631438567,18.356903396802426,3752.9711993339183,0.0
2010,147244.7919864218,14693.641044378624,0.0,28111.40920065688,35978.786616045174,36046.4605504848,20.15956274502188,1122.0276245543794,1.018461147979484,24055.53682540904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.3332166532969,311.38838492106646,62420.05144855904,0.0,18359.690423711774,134219.3220278387,0.0,28507.707002270006,0.0,1032.1421414638817,14796.284034695278,0.0,23.88014695557986,2996.1811089313373,318.6606192209832,683525.0563226236,237.54314631438567,18.356903396802426,3746.5762577555925,0.0
2011,147340.06595580888,14735.303118573747,0.0,28124.831619201275,36025.7753824369,36138.18019302723,20.15956274502188,1127.4571163837993,1.018461147979484,24056.098019320678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.425009426514,311.29678598777326,62119.85588232146,0.0,18340.330617002757,134794.36058406747,0.0,28787.450415440584,0.0,1034.1623891436054,14793.384215111082,0.0,24.810807950896116,2999.4882091225672,322.293727642075,682696.2073403567,237.1776284683276,18.356903396802426,3738.515113072756,0.0
2012,147319.46042543565,14743.208325448984,0.0,28122.32377196118,36029.51433970593,36146.010157023746,20.15956274502188,1136.4226261114006,1.018461147979484,24060.022554097308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.425009426514,310.3821694694816,62092.25015721374,0.0,18334.094494296372,135786.92559270447,0.0,28641.168290104928,0.0,1034.7072039748414,14668.685989087007,0.0,25.740730845227745,3002.1705124421387,334.1205115347727,681988.4286805535,237.0857814792933,18.356903396802426,3734.3228069505194,0.0
2013,147305.86107640207,14730.364780452162,0.0,28119.705060610046,36055.617264738765,36200.38278346386,20.15956274502188,1148.798158784794,1.018461147979484,24062.16241848054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.70156208336,308.09610109443156,61913.02793296429,0.0,18316.514460000166,135831.8468744596,0.0,28686.351603693016,0.0,1034.070902129972,14666.754482128526,0.0,27.690162512905033,3003.3571300322965,353.1060927444761,682016.1345382638,237.17711009714267,18.356903396802426,3729.749634731297,0.0
2014,147365.3013177338,14777.523792730582,0.0,28106.877994004106,36079.74764781137,36256.88135342652,20.15956274502188,1186.9193953274626,1.018461147979484,24069.994168308487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.8348848518544,307.7249838827825,61678.30171284739,0.0,18280.475025176296,135853.57484413154,0.0,28722.282448019363,0.0,1035.1514264095456,14669.48519942673,0.0,32.80583562056687,2997.8391852611608,367.15181434492126,681919.3225911292,236.53619613324858,18.356903396802426,3772.7383132904006,0.0
2015,147362.32005960666,14777.430965913749,0.0,28106.042686375975,36078.16612196035,36255.669658997314,20.15956274502188,1186.9193953274626,1.018461147979484,24069.994168308487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.8348848518544,307.6329009029177,61677.93415880244,0.0,18280.475025176296,135852.74219144916,0.0,28722.282448019363,0.0,1035.1514264095456,14669.48519942673,0.0,32.80583562056687,2997.8391852611608,375.4253854500058,681919.3225911292,236.53619613324858,18.356903396802426,3772.459644744876,0.0
