year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,11569.995294169088,255.401004178249,0.0,1991.552853706643,5683.781541519491,5785.126341146674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.0606374842448,861.333462224354,5739.079541597014,0.0,0.0,115995.16918781814,0.0,27194.98064474355,0.0,757.6573091321255,16335.110854721152,194.31512678786444,50.53562483705188,2945.2787791929995,214.36486903974514,853273.2870077307,390.1933539310841,64.20554826992714,5637.397199453812,0.0
1993,11569.812651068498,255.401004178249,0.0,1990.8195479731621,5683.69075260826,5784.854317589809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.8782274413202,861.333462224354,5738.71404106887,0.0,0.0,115994.71274544012,0.0,27194.891305910918,0.0,757.2922869383393,16335.110854721152,194.31512678786444,50.53562483705188,2944.4539038274347,219.83253668208803,853271.4738666171,390.1933539310841,64.20554826992714,5637.305023568266,0.0
1994,11569.812651068498,255.401004178249,0.0,1990.0865990788334,5683.600116004656,5784.763721618193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.3342547540303,861.333462224354,5738.439778692562,0.0,0.0,115993.80706203207,0.0,27194.891305910918,0.0,756.8361426733469,16335.110854721152,194.31512678786444,50.53562483705188,2943.262405326855,225.9259681206308,853269.8449305997,390.1933539310841,64.20554826992714,5637.126270853918,0.0
1995,11587.753941499715,256.5966628229774,0.0,2009.876096051605,5686.444771193744,5783.2201946276355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.4185465201647,847.7010575410269,5738.440080473872,0.0,0.0,115978.63824761637,0.0,26198.780689131185,0.0,757.7559916941422,16414.545411634226,194.31512678786444,61.25221685795526,2954.7099435164846,232.0278208254253,854176.3538233598,390.5531287950616,64.20554826992714,5607.236882465373,0.0
1996,11657.019613763838,265.05198850903116,0.0,2023.6437918865724,5705.649007234048,5802.887141269658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.4046174534535,852.8944847350144,5737.709937968675,0.0,0.0,115996.76677133689,0.0,26147.053763049593,0.0,759.2142006894281,16396.615749005887,194.31512678786444,66.83750506039041,2956.6319471603842,238.045314407694,854092.2428294953,390.5531287950616,64.20554826992714,5597.0837148054325,0.0
1997,11757.146399346902,275.4323543511227,0.0,2040.8599145246626,5790.324794144486,5883.8129104947875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.3139880935275,838.9020583324543,5739.631909785457,0.0,0.0,115793.8713971844,0.0,26030.667163935457,0.0,760.1279986676208,16434.234079324728,194.31512678786444,67.20374061007541,2963.041988147252,245.334019858634,854098.169103253,393.62132479476054,64.29578310596906,5573.520126940948,0.0
1998,11989.179038333345,298.2270564001444,0.0,2072.7826576022926,5971.857707938647,6015.616056754642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.6725289016188,816.3006864298782,5740.092968629777,0.0,0.0,115295.13628758494,0.0,25961.257977049925,0.0,761.9502595071104,16463.027135057746,194.31512678786444,68.02810708032148,2963.6856503941444,254.60813978977367,854058.6850886012,394.7046615586356,64.65704052271379,5563.0420067591995,0.0
1999,12050.811269119016,363.00111819336644,0.0,2088.4452336723125,6057.767117231264,6117.590993469855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.5818431838607,748.5018408592612,5739.728385783074,0.0,0.0,114855.31346369359,0.0,25758.792094334796,0.0,764.6877949078145,16474.85673696216,194.31512678786444,68.8526138365262,2965.5113804094967,261.88121420885517,854506.4612112226,390.6756787930207,65.65032866380415,5474.400736351397,0.0
2000,12226.911130249695,449.99349820076986,0.0,2136.4202857972364,6545.137352228316,6348.694173903268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.5715948796076,725.54178437583,5739.548677976236,0.0,0.0,114062.2435292132,0.0,25421.436400697694,0.0,771.7070260470086,16540.81059821834,194.31512678786444,67.57076853655829,2965.2385799724025,273.2220133554823,854550.0089961983,386.28962187626803,65.65032866380415,5478.514694506598,0.0
2001,12185.056693727247,511.77274645744984,0.0,2203.7552759218433,6498.428539095311,6255.94651127154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.968306531282,664.8960615483603,5739.548677976236,0.0,0.0,113509.98941997955,0.0,25288.65211719845,0.0,774.0765524518337,16828.622087719203,194.31512678786444,67.57076853655829,2965.2385799724025,273.67565605734785,855066.4068463116,385.8328070545731,65.65032866380415,5478.423078421048,0.0
2002,12193.026723109955,522.0470847852902,0.0,2207.6002745688793,6507.686136575298,6243.580369032019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0414051411644,635.3293729877594,5739.548677976236,0.0,0.0,113571.29224314728,0.0,24865.720472186844,0.0,774.8069605490407,16885.569235193052,194.31512678786444,67.93699625896431,2965.6963587509717,273.7663762960975,855381.4984981695,385.8328070545731,65.65032866380415,5478.880734449253,0.0
2003,12218.158504295263,539.5533940886834,0.0,2221.422591246034,6534.291883528157,6258.627495092645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0414051411644,636.0418730005383,5739.548677976236,0.0,0.0,113450.16623014859,0.0,24890.83470047872,0.0,777.4487828627243,16959.21036132741,194.31512678786444,67.93699625896431,2965.6049513238586,273.7663762960975,855302.8563648958,377.42484508555214,65.65032866380415,5486.9252931858855,0.0
2004,12222.719054276067,573.9697695600757,0.0,2244.3207242136264,6584.224310668198,6251.4285549367105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0414051411644,641.801227057919,5739.548677976236,0.0,0.0,114030.65209098453,0.0,25398.67140295565,0.0,780.268607074071,17401.16528519096,194.31512678786444,68.57836064208178,2965.146942783639,273.8570850414951,853659.4824670352,376.9679517924189,65.65032866380415,5487.016808902177,0.0
2005,12221.333572227717,591.1260154061761,0.0,2253.93267095405,6556.512970735094,6237.220484250651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0414051411644,641.6245073538925,5739.548677976236,0.0,0.0,113890.29815501622,0.0,25285.226057597316,0.0,780.4493521837418,17760.838285030473,194.31512678786444,68.57836064208178,2965.146942783639,274.6735671379996,853569.5072731469,376.7856197471025,65.65032866380415,5487.016808902177,0.0
2006,12190.665791894067,591.3058953388946,0.0,2259.329796145494,6429.67779265939,6171.631855117254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.3142473335924,630.9382063692129,5739.548677976236,0.0,0.0,114309.25458373844,0.0,25785.46901393117,0.0,782.9079119448032,18490.83151758438,194.40678807447244,69.85981386776405,2969.174884348442,275.5838919099486,852140.3807419842,376.60284424301796,65.65032866380415,5486.2915985598565,0.0
