year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,52846.252269470664,190742.7853251536,10.05488085431094,0.0,27854.454307753917,49243.73603939877,210983.90553226043,255518.84853636642,0.0,0.0,83183.75202023379,0.0,0.0,959.0138574519078,0.0,0.0,163760.8445152496,4118.636451168156,1480.6188010803048,695444.599162234,0.0,0.0,143987.8032593667,0.0,551.3231024647727,0.0,0.0,0.0,97.14659336018897,8419.436702548837,1383.229295027486,7126.025888903562,27027.959151587605,0.0,0.0,49613.04191364998,0.0
1993,52822.66485390201,190703.01008254886,10.05488085431094,0.0,27848.824284769526,49242.02779094155,210980.74547072954,255515.66257353342,0.0,0.0,83183.04017292609,0.0,0.0,958.8370482845913,0.0,0.0,163760.1247430944,4117.55551211954,1478.617619663074,695324.4661069997,0.0,0.0,143978.85942020724,0.0,550.2634783653913,0.0,0.0,0.0,97.14659336018897,8419.34841423043,1382.3256947642087,7340.304133360734,27027.171622995687,0.0,0.0,49612.41710793572,0.0
1994,52796.04177413847,190659.46402077732,10.05488085431094,0.0,27843.35707418404,49238.4182660512,210977.94462237562,255512.1923885517,0.0,0.0,83182.41032150223,0.0,0.0,958.8370482845913,0.0,0.0,163759.315368843,4115.391769732735,1477.7048014412544,695216.6076344392,0.0,0.0,143969.73163824732,0.0,549.205802348166,0.0,0.0,0.0,97.06381426875049,8419.171470532297,1381.3333460097729,7552.069038395149,27025.80660305318,0.0,0.0,49611.345921555534,0.0
1995,53218.21954789732,191449.60496921095,9.873515181893927,0.0,27958.39870871627,47053.56622460226,210747.35453177322,255093.0930816582,0.0,0.0,82969.02997920082,0.0,0.0,958.8279684687053,0.0,0.0,163942.24484113016,4147.078034587608,1497.2039805624813,695873.1601379937,0.0,0.0,144360.65370202487,0.0,548.2165775405098,0.0,0.0,0.0,97.2427589097374,8692.313752102456,1192.8400915809302,7754.659212105249,27016.92097653541,0.0,0.0,49772.96501380199,0.0
1996,53236.14402445834,191738.03979890197,10.233493706057919,0.0,27883.11877987211,46056.6616243158,211171.6065723928,255327.70724451708,0.0,0.0,83014.31844719336,0.0,0.0,960.0232122475161,0.0,0.0,164038.7001002513,4137.273360424387,1509.643043273751,695318.3692122096,0.0,0.0,144515.19415573662,0.0,547.1412086160549,0.0,0.0,0.0,97.2427589097374,8731.328727370845,1171.253545938119,7954.7422310321635,27006.486825717766,0.0,0.0,49928.23923850257,0.0
1997,53257.13217998835,192187.15725818393,10.41359276383505,0.0,27885.5178486924,45409.7505385521,211391.99135135018,255204.66606904354,0.0,0.0,83031.42592515584,0.0,0.0,960.6516576139181,0.0,0.0,164097.7894703005,4150.830613841826,1515.1165754956232,694920.1718111571,0.0,0.0,144603.72190185275,0.0,546.6899071387019,0.0,0.0,0.0,98.06599887694466,8811.533221121232,1147.5475039160715,8155.379937121839,26980.18828906372,0.0,0.0,49987.7259543571,0.0
1998,53437.41720835739,193582.3635206369,10.41359276383505,0.0,27898.429809433113,44170.68170791155,211633.56210242945,253823.240898544,0.0,0.0,82939.26894417686,0.0,0.0,964.5168574785124,0.0,0.0,163861.4407618066,4183.691402590752,1523.6937426051682,695030.5291789229,0.0,0.0,145032.63807162712,0.0,546.6013301296236,0.0,0.0,0.0,100.14552426714907,9123.21125958893,1118.64412535434,8374.645518682313,26952.836529491244,0.0,0.0,50045.495518794814,0.0
1999,53471.106910284194,197998.56606698732,11.042872918692884,0.0,28045.428404338592,42579.39291067152,212199.1793675614,252434.40734815932,0.0,0.0,82896.74090811217,0.0,0.0,970.2430260967634,0.0,0.0,163315.87199630617,4241.24228142376,1542.0563071371116,691056.0215768456,0.0,0.0,147026.51413291358,0.0,547.2924920646584,0.0,0.0,0.0,101.8638832302312,9201.523425850704,1094.3230971867815,8598.689299917323,26940.35642720003,0.0,0.0,50081.60487038322,0.0
2000,53361.093339613886,200091.48045820103,11.309960838936464,0.0,28005.2647072435,39703.72369014783,214399.30729699478,252499.49910753124,0.0,0.0,83019.01616112217,0.0,0.0,972.2839490581846,0.0,0.0,162759.02521900105,4332.556106861217,1550.440709966023,688969.3003002052,0.0,0.0,147752.25155543827,0.0,546.949280337645,0.0,0.0,0.0,104.76250466011503,9305.014801397348,1066.054034330063,8842.364625730566,26953.835982373927,0.0,0.0,50107.933814537326,0.0
2001,53372.37278998195,201538.25010410577,11.574331195216432,0.0,27968.55724664365,38523.15257718697,215027.26035621643,252408.17037118747,0.0,0.0,83085.90489669205,0.0,0.0,975.3589242710073,0.0,0.0,162510.5627107272,4351.743990686069,1510.7270668973006,686972.184804374,0.0,0.0,148667.73144062114,0.0,543.2536628042365,0.0,0.0,0.0,105.03237607059567,9389.731405395254,962.5111697483495,9335.167621221231,27017.725236210612,0.0,0.0,50076.494523356465,0.0
