year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,25255.55888920815,2552.038095842174,2.0543191532257072,0.0,664.8387949277259,39.59386462996818,0.0,2206.1294771100374,7.052254084728696,0.0,33.505375648075415,0.0,0.0,0.0,0.0,0.0,16.660400937956076,59.97609873169553,0.0,0.0,0.0,0.0,122.13601230831554,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,58.93080869630515,910.4919819018262,0.0,0.383100354444596,0.0,312.87873956289616,0.0
1993,25250.45729038229,2544.478263420214,2.0543191532257072,0.0,664.5738094423479,39.59386462996818,0.0,2206.1294771100374,7.052254084728696,0.0,33.505375648075415,0.0,0.0,0.0,0.0,0.0,16.660400937956076,59.97609873169553,0.0,0.0,0.0,0.0,122.13601230831554,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,58.93080869630515,923.4818084860999,0.0,0.383100354444596,0.0,312.81532971182776,0.0
1994,25237.03385572277,2531.611629909393,2.0543191532257072,0.0,664.3802217473223,39.59386462996818,0.0,2206.1294771100374,7.052254084728696,0.0,33.505375648075415,0.0,0.0,0.0,0.0,0.0,16.660400937956076,59.97609873169553,0.0,0.0,0.0,0.0,122.13601230831554,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,58.93080869630515,949.9654643514676,0.0,0.383100354444596,0.0,312.81532971182776,0.0
1995,25168.484624592482,2520.9930760440743,2.0543191532257072,0.0,665.0985859578927,38.624964088656995,0.0,2256.5877269323364,7.052254084728696,0.0,30.912880034400096,0.0,0.0,0.0,0.0,0.0,16.660400937956076,59.97609873169553,0.0,0.0,0.0,0.0,122.26891317756191,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,59.728618954516705,980.1210322745135,0.0,0.383100354444596,0.0,313.28161777903085,0.0
1996,25120.35083809719,2508.053383548635,2.0543191532257072,0.0,664.6430507757166,38.43161898844727,0.0,2278.5106261164046,7.052254084728696,0.0,29.515569071258138,0.0,0.0,0.0,0.0,0.0,16.660400937956076,59.97609873169553,0.0,0.0,0.0,0.0,122.26891317756191,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,60.39356153070072,1012.567742399721,0.0,0.383100354444596,0.0,321.36673612983094,0.0
1997,25089.920665604383,2495.710495677831,2.0543191532257072,0.0,663.9917257547324,35.51978419237891,0.0,2289.666427193228,7.052254084728696,0.0,29.515569071258138,0.0,0.0,0.0,0.0,0.0,16.660400937956076,59.97609873169553,0.0,0.0,0.0,0.0,122.13790429125453,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,60.39356153070072,1047.8791703898785,0.0,0.383100354444596,0.0,321.36673612983094,0.0
1998,25057.668169680615,2483.558981157556,2.0543191532257072,0.0,663.2774071987848,35.45584707081968,0.0,2293.957335546154,7.052254084728696,0.0,29.509396580651714,0.0,0.0,0.0,0.0,0.0,17.10840713414828,60.236634406255604,0.0,0.0,0.0,0.0,122.07193699759654,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,60.3269551912422,1085.786272598849,0.0,0.383100354444596,0.0,323.78119594246857,0.0
1999,24991.122506635016,2469.5872594520347,2.0543191532257072,0.0,662.561408983099,34.16215498470563,0.0,2328.7306145093435,7.052254084728696,0.0,30.89196133608121,0.0,0.0,0.0,0.0,0.0,17.763636601148765,60.629724976703486,0.0,0.0,0.0,0.0,122.00744511420342,0.0,2.894456377541804,0.0,0.0,0.0,0.0,0.0,60.459872720377724,1127.1769475989972,0.0,0.383100354444596,0.0,327.6450065934073,0.0
2000,24955.134029447443,2456.985340165441,2.0543191532257072,0.0,661.711355689399,32.755950216733545,0.0,2340.2192547302107,7.052254084728696,0.0,31.150012573695037,0.0,0.0,0.0,0.0,0.0,17.763636601148765,60.819930326239955,0.0,0.0,0.0,0.0,122.00744511420342,0.0,2.8296143484760985,0.0,0.0,0.0,0.0,0.0,60.459872720377724,1166.151547355903,0.0,0.383100354444596,0.0,327.6450065934073,0.0
2001,24914.073525647687,2431.0322425692857,2.0543191532257072,0.0,661.1264025003222,32.04174307520944,0.0,2343.240849040304,7.052254084728696,0.0,30.955158161491813,0.0,0.0,0.0,0.0,0.0,17.763636601148765,60.62467561435375,0.0,0.0,0.0,0.0,122.00744511420342,0.0,2.8296143484760985,0.0,0.0,0.0,0.0,0.0,60.459872720377724,1228.7157154382355,0.0,0.383100354444596,0.0,330.76211505157517,0.0
