year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3766.509110545818,10775.83441083026,0.0,4753.135205991247,29113.32330866276,42392.962599173545,0.0,3419.9789976547463,30.57353291288887,0.0,12202.758264838347,0.0,0.0,58154.28674637527,0.0,0.0,547.4102450376378,10483.140249277221,9475.14214747599,8355.650781847538,7.082859743630727,226.92528472491657,289493.598251793,1.0760346909293972,350937.15064153826,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3534.671788286512,399.0303750591406,687263.3112290057,229.61090050105108,41.90196809325231,14566.727025825088,567.8395127351057
1993,3766.380031941852,10775.83441083026,0.0,4752.813622508587,29113.019934101958,42392.48642566195,0.0,3419.9789976547463,30.57353291288887,0.0,12202.758264838347,0.0,0.0,58154.28674637527,0.0,0.0,547.4102450376378,10483.140249277221,9475.14214747599,8355.650781847538,7.082859743630727,226.92528472491657,289487.67830972635,1.0760346909293972,350936.46478148503,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3534.671788286512,408.4746287380288,687261.7676358931,229.61090050105108,41.90196809325231,14566.662377537616,567.8395127351057
1994,3766.380031941852,10775.771870026338,0.0,4752.688603916941,29112.596738326785,42392.24818013753,0.0,3419.9789976547463,30.57353291288887,0.0,12202.758264838347,0.0,0.0,58154.28674637527,0.0,0.0,547.4102450376378,10483.140249277221,9475.14214747599,8355.650781847538,7.082859743630727,226.92528472491657,289482.3440742925,1.0760346909293972,350935.59236981196,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3534.4140584316942,417.38668232315905,687260.1689599648,229.61090050105108,41.90196809325231,14566.662377537616,567.8395127351057
1995,3774.3030219551374,10829.756475216263,0.0,4780.5266481956,29007.030273143308,42044.56840964651,0.0,3441.584118894389,30.759584753622068,0.0,11749.689864200682,0.0,0.0,58702.10629500267,0.0,0.0,552.8271702011656,10540.528629296452,9445.490342848705,8355.764050634638,7.082859743630727,226.92528472491657,289575.56068284943,1.0760346909293972,350484.93909205764,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3533.5268104445,428.1328281842568,687813.6427998599,230.82577649073863,41.90196809325231,14573.242938756877,567.8395127351057
1996,3795.832298819833,10893.295996813502,0.0,4801.640040974401,29076.210315313558,42057.24424583887,0.0,3447.9156281686837,30.82220938568628,0.0,11181.949682469201,0.0,0.0,58906.45332499483,0.0,0.0,553.3881984446223,10579.871618970097,9441.284091341708,8356.635506625817,7.082859743630727,227.34406992355431,289749.9947198009,1.0760346909293972,350143.1573625827,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3533.1418505471247,440.7428045158011,688109.3717346649,231.60006313769586,41.90196809325231,14563.835334023423,567.8395127351057
1997,3853.1319649207812,11046.519152554003,0.0,4911.220788103673,29256.20906875148,42259.40324565083,0.0,3453.427139192976,30.82220938568628,0.0,10400.107002017308,0.0,0.0,59055.342640716124,0.0,0.0,553.3881984446223,10642.974467574923,9445.978307508356,8356.746753275187,7.082859743630727,227.34406992355431,289887.12561756675,1.0760346909293972,349747.9235391642,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3532.8136426554447,453.815829660813,688201.1760133703,232.80518594807398,41.90196809325231,14573.456260971874,567.8395127351057
1998,3998.7526927185663,11293.362845921532,0.0,4935.527687491742,29498.231557747924,42590.78253126594,0.0,3452.367640779961,30.697505632876066,0.0,9692.472024107143,0.0,0.0,59058.973078252595,0.0,0.0,553.6398365953359,10734.871100626366,9476.109228206968,8356.969164724396,7.082859743630727,227.5819794891344,289972.18971420854,1.0760346909293972,348703.6996757089,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3532.0409715240403,470.24376074956274,688738.9608369237,233.43020150195855,41.90196809325231,14570.827063179717,567.8395127351057
1999,4052.5982754842944,11625.238643355313,0.0,5039.107482865869,29666.03871130924,42734.37347498456,0.0,3468.773474050879,30.697505632876066,0.0,8931.738160611021,0.0,0.0,59289.81225804978,0.0,0.0,554.1612388562311,10847.697425191618,9521.830552569058,8358.089849161575,7.082859743630727,228.8352636099307,290001.97604170884,1.0760346909293972,347679.3769660885,0.0,0.12088224176331692,0.0,2.1019566228046838,0.0,3536.2529239569994,487.115356789923,689332.0006465018,236.24001751893542,41.90196809325231,14499.841507971752,567.7748338220285
2000,4200.778689585463,13224.447124617169,0.0,5180.742669921799,30077.896742730405,43485.374802556325,0.0,3473.027962049246,30.697505632876066,0.0,8363.957546746948,0.0,0.0,59304.96114569507,0.0,0.0,554.1612388562311,10968.591636768257,9570.946746770316,8364.476817840337,7.265410102474342,247.00962911387546,289003.1565999504,1.0760346909293972,345337.456752361,0.0,0.18077209760572602,0.0,2.1019566228046838,0.0,3535.8166414667394,507.136795798463,689948.2311506316,237.11957409432685,42.026208864906025,14505.44132209391,567.7748338220285
2001,4165.882783400645,13898.10912991186,0.0,5213.159715560459,29767.068341612798,42566.767232175545,0.0,3497.312048323337,30.822013125974728,0.0,8284.787606351752,0.0,0.0,60210.58189122878,0.0,0.0,554.1612388562311,11099.696425129006,9537.552418975773,8367.561845179796,7.265410102474342,249.53905054984676,288381.7116298913,1.0760346909293972,344243.3344758353,0.0,0.18077209760572602,0.0,2.1019566228046838,0.0,3536.979921194991,531.9216908130571,691260.7438602343,237.43392731750873,42.093605887218416,14486.234452590417,567.7748338220285
