year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,840.3166274925055,499.17153068083513,48.26694109000722,0.42423651826787157,875.5790642559593,505.2981624113503,0.0,4372.959103111435,54.43079544979303,0.0,1342.147430927124,0.0,0.0,7.103483628027036,0.0,0.0,751.8402778707176,2036.7361899772839,13.310418863268294,25.787185679970744,0.0,0.0,1422.9541236070174,0.0,61.319049963901016,0.0,0.0,0.0,0.0,0.0,106.72424096239453,52.19956085372535,21.510501494231942,5.103688503034172,0.0,383.15288221865114,0.0
1993,840.0352420306493,498.3282687645711,48.26694109000722,0.42423651826787157,875.5790642559593,505.2981624113503,0.0,4372.959103111435,54.43079544979303,0.0,1342.006478686055,0.0,0.0,7.103483628027036,0.0,0.0,751.8402778707176,2036.7361899772839,13.310418863268294,25.787185679970744,0.0,0.0,1422.8836686189989,0.0,61.319049963901016,0.0,0.0,0.0,0.0,0.0,106.72424096239453,53.748059977728744,21.298056977436705,5.103688503034172,0.0,383.15288221865114,0.0
1994,839.8231271835265,497.4839249436368,48.26694109000722,0.42423651826787157,875.4391162202098,505.2981624113503,0.0,4372.959103111435,54.43079544979303,0.0,1342.006478686055,0.0,0.0,7.103483628027036,0.0,0.0,751.8402778707176,2036.7361899772839,13.310418863268294,25.787185679970744,0.0,0.0,1422.673184099275,0.0,61.319049963901016,0.0,0.0,0.0,0.0,0.0,106.72424096239453,55.436401562811845,21.086025982668733,5.103688503034172,0.0,383.08346285186667,0.0
1995,853.0390524732171,512.7854793860098,48.126118521351614,0.42423651826787157,884.5440570523646,500.3747392051404,0.0,4244.536579208448,54.43079544979303,0.0,1340.5573905364151,0.0,0.0,6.892531145922077,0.0,0.0,754.5097466905265,2104.7525472649913,13.310418863268294,25.928186124234195,0.0,0.0,1451.1504806396424,0.0,63.00426892251756,0.0,0.0,0.0,0.0,0.0,100.44437723863653,56.98414941180423,22.564470238827194,5.103688503034172,0.0,382.8721821650912,0.0
1996,855.7088952377104,513.1380437401631,48.126118521351614,0.42423651826787157,887.4086232215442,493.5340557211751,0.0,4227.688572032572,54.43079544979303,0.0,1339.331123034254,0.0,0.0,6.892531145922077,0.0,0.0,755.4166292231538,2113.306223338734,13.310418863268294,25.928186124234195,0.0,0.0,1459.8746619572878,0.0,63.00426892251756,0.0,0.0,0.0,0.0,0.0,100.37400007087348,58.391998547557726,22.281514542297653,5.103688503034172,0.0,382.6609108437905,0.0
1997,860.6877586726026,515.6684564334001,48.126118521351614,0.42423651826787157,891.526266460782,486.7225414919272,0.0,4172.195698233068,54.43079544979303,0.0,1340.228876713122,0.0,0.0,6.892531145922077,0.0,0.0,756.0464220710977,2143.698356359601,13.310418863268294,25.857703055062615,0.0,0.0,1477.0157579115041,0.0,63.21477675280017,0.0,0.0,0.0,0.0,0.0,100.37400007087348,59.799799248400326,22.350382239833802,5.103688503034172,0.0,382.6609108437905,0.0
1998,868.5440867949065,519.5378110823768,48.126118521351614,0.42423651826787157,913.9332830943953,492.68395453788895,0.0,4085.8381663746864,54.43079544979303,0.0,1339.0792061045452,0.0,0.0,6.892531145922077,0.0,0.0,755.486583910373,2170.215525877898,13.870956037913508,25.857703055062615,0.0,0.0,1495.8044486147105,0.0,64.12899208383698,0.0,0.0,0.0,0.0,0.0,100.37400007087348,61.27637615578998,21.997490393133337,5.313747291598931,0.0,382.5194824441784,0.0
1999,882.5115669462773,528.2348165881616,48.055629215649816,0.42423651826787157,938.9824548435798,491.3075663962795,0.0,3912.1712611873863,54.36051539548839,0.0,1343.8743901179412,0.0,0.0,5.908436377128427,0.0,0.0,756.2687396636286,2249.972261164596,15.344213412645189,24.65910154613204,0.0,0.0,1533.0532994010234,0.0,63.72175744714108,0.0,0.0,0.0,0.0,0.0,100.16256021939596,63.17641488543344,22.208023918589685,6.435074769073781,0.0,385.5031755456831,0.0
2000,883.3925387745566,527.3144898195269,48.055629215649816,0.42423651826787157,947.5480260084069,463.1419474214908,0.0,3888.552776815226,54.36051539548839,0.0,1344.3784874093067,0.0,0.0,5.908436377128427,0.0,0.0,756.0713812337657,2287.345166193458,15.483924163500225,24.51817908266737,0.0,0.0,1537.9349051080642,0.0,63.7222758988879,0.0,0.0,0.0,0.0,0.0,99.24557075586077,65.49790012928892,21.92616412877766,6.435074769073781,0.0,385.0778703411081,0.0
2001,879.8900860464687,527.237718331783,48.055629215649816,0.42423651826787157,942.5150171385521,370.2984486135741,0.0,3927.7633025090636,55.82853827119857,0.0,1358.8709274769897,0.0,0.0,5.908436377128427,0.0,0.0,761.1654446578196,2335.458133684485,11.419171578738602,24.165757505249204,0.0,0.0,1535.0084272223671,0.0,63.79223575718194,0.0,0.0,0.0,0.0,0.0,99.24557075586077,65.84930466016259,21.92616412877766,6.435074769073781,0.0,385.0778703411081,0.0
