year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,35154.09389187796,36115.7861980242,27.034722300080137,588.6933638245422,6134.9946719247155,12848.711324350412,274.0833042823917,6322.518226755199,0.0,0.0,851.1253605280724,0.0,0.0,0.0,0.0,0.0,0.0,10709.581528349432,3144.6723046838424,14312.841702072994,0.0,491.0109929976029,27.60804655900689,0.0,25625.544650868833,0.0,0.0,60698.142853438374,0.0,0.38804161755456457,1.138643463013476,995.0995329983928,359754.43904544413,3597.5417858749397,383.20537761064674,14608.758879338044,0.0
1993,35142.04367521704,36114.3187570615,26.953475605158413,588.1175925360222,6134.596407895971,12848.54879699386,274.0833042823917,6322.28086020281,0.0,0.0,851.1253605280724,0.0,0.0,0.0,0.0,0.0,0.0,10709.581528349432,3144.6723046838424,14312.841702072994,0.0,490.76940134666467,27.60804655900689,0.0,25624.497609783677,0.0,0.0,60697.65404649655,0.0,0.38804161755456457,1.138643463013476,1023.8128896833705,359742.7146242722,3597.5417858749397,383.20537761064674,14608.520217047611,0.0
1994,35127.92496526852,36112.68450315675,26.953475605158413,587.7074308534565,6133.962947073429,12847.911325496294,274.0833042823917,6322.28086020281,0.0,0.0,851.1253605280724,0.0,0.0,0.0,0.0,0.0,0.0,10709.581528349432,3144.6723046838424,14312.761675020469,0.0,490.36478692349766,27.60804655900689,0.0,25622.24867604081,0.0,0.0,60697.3287483433,0.0,0.38804161755456457,1.138643463013476,1058.4307760303664,359728.9168041218,3597.454390425935,383.20537761064674,14608.280477527784,0.0
1995,35151.17789491774,36146.92595429029,26.792032777735297,589.5185072390773,6136.728118239696,12628.492404553464,273.69304328830765,6297.855710445631,0.0,0.0,810.8827682673581,0.0,0.0,0.0,0.0,0.0,0.0,10736.609794396803,3027.1572180454436,14311.247211193044,0.0,490.27776297159306,28.09594157587907,0.0,25592.86625777047,0.0,0.0,60915.22721787613,0.0,0.38804161755456457,1.138643463013476,1089.9822117913202,359846.03857102734,3597.0442731093044,383.20537761064674,14585.669492716233,0.0
1996,35180.30523810912,36204.80462697252,26.792032777735297,590.0020758184548,6138.108942953829,12593.764178416348,273.69304328830765,6296.943196169684,0.0,0.0,804.4731294194484,0.0,0.0,0.0,0.0,0.0,0.0,10744.948194309669,2888.770605087956,14310.757849775204,0.0,490.03563859060756,27.441915050661134,0.0,25620.183227880174,0.0,0.0,61247.14482055981,0.0,0.38804161755456457,1.138643463013476,1118.4021356754952,359543.76204363425,3596.39556158586,383.20537761064674,14585.553930417811,0.0
1997,35160.057894487465,36225.114044847796,27.119757778893504,589.9850556951553,6137.944608775145,12512.215843908234,273.69304328830765,6292.974520972351,0.0,0.0,802.7457727928544,0.0,0.0,0.0,0.0,0.0,0.0,10752.659598648956,2790.3714883088674,14307.886523615522,0.0,490.03563859060756,27.441915050661134,0.0,25664.492319408862,0.0,0.0,61392.282652277594,0.0,0.38804161755456457,1.138643463013476,1143.091453458409,359451.77902106603,3597.4921488185078,383.20537761064674,14642.899084702683,0.0
1998,35174.37041498914,36292.36945617388,27.201540952846862,592.1674865063799,6141.14228618142,12403.544183470069,274.16171054894596,6285.602445573373,0.0,0.0,795.1534978490421,0.0,0.0,0.0,0.0,0.0,0.0,10776.335979524869,2732.320709624358,14306.42149368957,0.0,489.95673868991213,27.361978857361944,0.0,25603.68111169411,0.0,0.0,61682.309574863364,0.0,0.38804161755456457,1.138643463013476,1173.1366550606774,359261.9606648512,3597.8091188071094,383.1203882167046,14645.36032797945,0.0
1999,35390.567749934235,36563.45739685375,27.19737719806263,593.3573185204436,6166.679157715085,12018.290226013696,277.205780121575,6293.608903829183,0.0,0.0,830.2164438829785,0.0,0.0,0.0,0.0,0.0,0.0,11161.537637620424,2176.369951167128,14251.181930126113,0.0,489.79528294758217,27.75078629877256,0.0,25211.762874709704,0.0,0.0,62589.823304098674,0.0,0.38804161755456457,1.138643463013476,1205.0394516795468,358862.53731936065,3594.1975610719633,383.1203882167046,14551.790922737342,0.0
2000,35227.18106196065,36576.62314258065,27.03221087201506,594.700583541273,6165.860224183542,11680.417041071212,277.205780121575,6303.248312345462,0.0,0.0,843.8835708433122,0.0,0.0,0.0,0.0,0.0,0.0,11255.789479237887,1712.6670195540112,14207.49235808729,0.0,489.71599215556733,27.669110615163408,0.0,25602.348852518553,0.0,0.0,63369.36668606704,0.0,0.38804161755456457,1.138643463013476,1240.8685796135,358543.2850028839,3586.4388957104475,383.1203882167046,14550.573471923957,0.0
2001,35244.95952903984,36642.7077636905,27.438177840554108,595.9800948211686,6179.054885133665,11595.457947009276,276.97156236258644,6279.679090617918,0.0,0.0,828.9830406917766,0.0,0.0,0.0,0.0,0.0,0.0,11296.848103986882,1126.283936259206,14203.770346333215,0.0,489.7130243090638,27.74743608674507,0.0,25974.909827936626,0.0,0.0,64804.85440840427,0.0,0.38804161755456457,1.138643463013476,1306.26265857052,357257.30857655115,3573.305190673692,383.1203882167046,14550.13177556834,0.0
2002,35347.86055122787,36823.441165708326,27.676042494120285,596.3039706241163,6202.986042772825,11474.914543816274,276.89359272695555,6298.150070778727,0.0,0.0,828.00543821329,0.0,0.0,0.0,0.0,0.0,0.0,11399.492399883638,1061.9616516610417,14188.236348853734,0.0,489.7130243090638,27.74743608674507,0.0,25912.70849915133,0.0,0.0,65690.15254438228,0.0,0.38804161755456457,1.138643463013476,1344.860849660681,356174.6829190684,3561.4038207101744,383.1203882167046,14555.17646375772,0.0
2003,35503.98586036493,36947.53500843835,27.838717646632134,598.4695558730878,6241.455747792559,11456.525540139624,276.89359272695555,6295.741044483109,0.0,0.0,825.9254708956697,0.0,0.0,0.0,0.0,0.0,0.0,11433.872204932506,807.5649527943652,14181.38593806756,0.0,489.0582492105906,27.992995186062103,0.0,25839.747110295295,0.0,0.0,65997.83129197646,0.0,0.38804161755456457,1.138643463013476,1374.9993123754991,355839.471717558,3556.8514742179345,383.1203882167046,14559.22159091225,0.0
2004,35788.97504479416,37166.40882554881,28.316943656922742,598.2955746009776,6265.177648632084,11287.38375645078,276.97211963661255,6360.04212582037,0.0,0.0,822.2151741214461,0.0,0.0,0.0,0.0,0.0,0.0,11584.17454473336,726.8865703442544,14155.50245969991,0.0,489.0582492105906,34.77142967577897,0.0,26119.97910846679,0.0,0.0,67244.8481717057,0.0,0.38804161755456457,1.138643463013476,1401.8252633515538,353860.35726548405,3511.607753814645,383.1203882167046,14559.56934613834,0.0
2005,35846.84930873304,37241.73986449857,28.316943656922742,598.135033571827,6267.286968067696,11249.744539279893,276.7386304985252,6350.302517947806,0.0,0.0,817.6161188914402,0.0,0.0,0.0,0.0,0.0,0.0,11629.731526548607,673.7440967584231,14150.421277219488,0.0,489.0582492105906,37.057889831700095,0.0,26110.448796817036,0.0,0.0,67356.23885597059,0.0,0.38804161755456457,1.138643463013476,1444.3403350757583,353652.046311236,3502.652654586945,383.1203882167046,14559.897457486413,0.0
2006,35908.41898329968,37291.988790505675,28.47908252865659,600.3290025254447,6269.679074703476,11218.327319503089,276.5826592202034,6348.2807538105335,0.0,0.0,811.222289035823,0.0,0.0,0.0,0.0,0.0,0.0,11670.364153085422,650.2283488751475,14152.753040222653,0.0,488.9775361472149,37.057889831700095,0.0,26132.787399899535,0.0,0.0,67542.3232413351,0.0,0.38804161755456457,1.138643463013476,1477.5740930491504,353318.8052176072,3497.738163616578,383.1203882167046,14560.45033708506,0.0
