year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,20175.264110021773,39087.90129171526,93.15944750676488,19508.188334971073,13975.556185972782,10024.927986194176,17924.218094635948,237300.14352982602,13009.85896558149,221265.03141981352,28.887992907941147,0.0,0.0,1.2508612725686503,0.0,0.0,543.944419318778,4395.475059248128,663.1073305259104,142635.6184508015,0.0,3970.589741423737,25379.57983594013,0.0,528.4274831567477,0.0,0.0,0.17764558852012124,4.692857246151578,2864.97994484256,14135.467012419262,317.19643853784106,5167.80516057204,0.09136878315364451,5.429571955728638,20973.187728232468,0.0
1993,20175.171126697445,39087.90129171526,93.15944750676488,19508.09750338882,13975.280616314258,10024.277121675965,17924.218094635948,237300.057686405,13009.85896558149,221265.03141981352,28.887992907941147,0.0,0.0,1.2508612725686503,0.0,0.0,543.944419318778,4393.038002039443,662.5778748207456,142634.83895337273,0.0,3970.589741423737,25379.57983594013,0.0,528.4274831567477,0.0,0.0,0.17764558852012124,4.692857246151578,2864.97994484256,14135.467012419262,322.31732912713784,5167.80516057204,0.09136878315364451,5.429571955728638,20973.008940490123,0.0
1994,20174.99063503244,39087.716948334884,93.06774768745704,19508.09750338882,13975.004233913967,10024.005151830237,17924.218094635948,237299.61662185472,13009.85896558149,221264.6822347556,28.887992907941147,0.0,0.0,1.2508612725686503,0.0,0.0,543.944419318778,4391.180138122346,662.4919889974769,142633.54287258448,0.0,3970.589741423737,25379.57983594013,0.0,528.3344831990587,0.0,0.0,0.17764558852012124,4.692857246151578,2864.97994484256,14135.467012419262,327.8965624184372,5167.5336878417775,0.09136878315364451,5.429571955728638,20972.82914713438,0.0
1995,20353.99539116375,39970.93797805251,93.06774768745704,19569.745836466675,14048.581896523912,9991.435706618558,17914.729478350495,235071.70217994088,13011.150910038104,221301.23579960995,19.836050618401615,0.0,0.0,1.2508612725686503,0.0,0.0,542.0985085717236,4444.605496156339,669.2192993051947,142945.57858955945,0.0,3986.113716730627,25462.532603529424,0.0,528.610352960942,0.0,0.0,0.17764558852012124,4.692857246151578,2868.739911890209,14694.536351152236,334.8984663421197,5198.412427362887,0.09136878315364451,5.429571955728638,20946.751265533767,0.0
1996,20408.484814241703,40393.96421434792,92.88435958397733,19642.227023569234,14098.21373619436,10071.549950374714,17913.644723429526,234166.13197598272,13013.373300178606,221278.32551416446,19.836050618401615,0.0,0.0,1.7077091967167426,0.0,0.0,544.6112933337328,4475.833421337726,669.4549022963588,142928.69331867484,0.0,3994.9221141377902,25490.51622822266,0.0,528.610352960942,0.0,0.0,0.17764558852012124,5.061128605113589,2868.9958488178736,14860.994946114006,341.09161271382106,5210.791669055219,0.18273756630728902,5.429571955728638,20954.448105748506,0.0
1997,20521.43020576485,40973.75903171174,92.70095866627885,19711.935207816787,14228.583772904489,10267.86949724797,17910.55660218712,232206.49969467142,13013.373300178606,221137.76259839756,17.101379386744163,0.0,0.0,1.7077091967167426,0.0,0.0,555.2166935203022,4547.026041812858,672.2764285531229,143293.09811343974,0.0,4006.1186270128383,25604.92844068518,0.0,528.8850999730323,0.0,0.0,0.17764558852012124,5.247892336637073,2867.067233494432,15269.45943346213,351.16408980128904,5244.434876862006,0.18273756630728902,5.429571955728638,20946.165384816955,0.0
1998,20840.359295420043,41790.38501013755,92.89166378910141,19804.22705507137,14416.451914020085,10506.547324497971,17909.18938291333,228474.429740635,13013.281583721444,220866.16990652742,15.559676780506047,0.0,0.0,1.7077091967167426,0.0,0.0,553.8715596673437,4655.616398757616,676.6333163598374,144818.36480289968,0.0,4034.0208784602855,25821.94022139771,0.0,530.7891832498897,0.0,0.0,0.17764558852012124,6.08915941795233,2868.668276882998,15671.53201719848,362.3483242042818,5310.624021309038,0.18273756630728902,5.429571955728638,20932.66989138565,0.0
1999,22223.771611625045,44785.901196978324,106.91030325072005,21020.238213172117,15330.11364256036,11033.374992170278,17899.946227477812,215405.39597294823,13013.194835937986,219772.7703253313,10.308375902935781,0.0,0.0,1.9859854306896767,0.0,0.0,500.1420346827343,4935.217870920022,713.701462382014,149614.32977330306,0.0,4278.767894267923,26988.986512782147,0.0,535.9993361859358,0.0,0.0,0.17764558852012124,9.080135214649394,2862.130012267908,16171.35484899696,370.22444586841425,5518.52784379405,0.18273756630728902,5.616711158479424,20871.807321246924,0.0
2000,22685.027342562367,45403.717729954915,113.86556774757575,21361.812182692218,15505.75978583195,11098.25543149334,17861.95977449926,211004.46473913186,13012.81990704776,219609.30191510738,9.229178807871785,0.0,0.0,1.9859854306896767,0.0,0.0,466.635778619541,5017.819522835596,722.7625606475176,151101.8176985063,0.0,4307.5131877126805,27172.534726676065,0.0,538.7867551987946,0.0,0.0,0.17764558852012124,9.080135214649394,2836.0632895698086,17284.80370366879,377.7130712593591,5559.340441366956,0.18273756630728902,5.71035460298096,20911.017119669217,0.0
2001,22995.016648757675,46187.0616128408,117.20246133383193,21682.806918457696,15863.575761533986,11012.530591700683,17869.164448622323,207957.3336462182,13021.650493328996,219245.92666487198,3.3346093264814503,0.0,0.0,2.171976000968921,0.0,0.0,424.1008636750959,5026.826798382667,709.5565480331301,152279.3069850928,0.0,4328.897729643743,27516.684404397427,0.0,540.0637306576125,0.0,0.0,0.17764558852012124,9.353579804860951,2834.986246410601,17457.045355306956,408.6814890758735,5610.670667178559,0.18273756630728902,5.804025578360865,20870.043629623928,0.0
