year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,133705.4615038216,12077.895822101837,2.237199660192463,25322.62685457798,12641.068044055704,34928.889275708374,142076.6601898991,50691.11666749912,237.2958255482482,0.0,51448.768076226115,0.0,0.0,4.490118617312465,0.0,0.0,0.0,72142.2048086816,264.2131289373096,58418.6577941538,53280.14471260269,9.196982796846084,5915.774476053218,0.0,20.236386593625927,0.0,0.0,0.0,1.0329437968109036,3903.3078991068355,566.469352158768,528.3568191431511,5.486363944242945,2.27197443743233,0.16808403566275312,23438.845947810805,12.192727919768679
1993,133699.66838069237,12077.179227486342,2.237199660192463,25319.621862882825,12639.518250488723,34928.342466163485,142076.6601898991,50691.029105631715,237.2958255482482,0.0,51448.768076226115,0.0,0.0,4.490118617312465,0.0,0.0,0.0,72142.11558094958,264.2131289373096,58418.56992971228,53280.14471260269,9.196982796846084,5915.507967509847,0.0,20.236386593625927,0.0,0.0,0.0,1.0329437968109036,3903.3078991068355,566.469352158768,540.7728930248168,5.486363944242945,2.27197443743233,0.16808403566275312,23438.572349065194,12.192727919768679
1994,133692.2552179068,12076.273846538239,2.237199660192463,25316.351629931312,12637.153722792096,34927.159443834025,142076.6601898991,50691.029105631715,237.2958255482482,0.0,51448.768076226115,0.0,0.0,4.490118617312465,0.0,0.0,0.0,72141.93394959498,264.2131289373096,58418.47788205571,53280.14471260269,9.196982796846084,5915.325500026845,0.0,20.236386593625927,0.0,0.0,0.0,1.0329437968109036,3903.3078991068355,566.469352158768,556.7291180544779,5.486363944242945,2.27197443743233,0.16808403566275312,23438.208597240977,12.192727919768679
1995,134534.4669563669,12160.361779373385,2.237199660192463,25476.41705647947,12743.138812055311,35007.74348080008,141566.29753927886,50164.52150109251,236.42839074853163,0.0,51396.89390255176,0.0,0.0,4.490118617312465,0.0,0.0,0.0,72316.93568064179,265.8412599314779,57943.614318197746,53440.01675391969,9.110812597687916,5855.23597057837,0.0,20.32585166999728,0.0,0.0,0.0,1.0329437968109036,3938.7861496982064,566.7301694260806,575.2448467062284,5.486363944242945,2.27197443743233,0.16808403566275312,23399.07933536228,12.192727919768679
1996,134728.67391638277,12204.3542828865,2.237199660192463,25513.73872532567,12775.338925708089,34731.345031475765,142801.52624693172,50512.47778916477,236.5162606058798,0.0,51540.26101519742,0.0,0.0,4.490118617312465,0.0,0.0,0.0,72497.33454847235,264.9676456655534,55949.138184073716,53421.00376085088,9.110812597687916,5846.895853675883,0.0,20.32585166999728,0.0,0.0,0.0,1.0329437968109036,4000.0335828397715,561.7799817509314,593.5945911653889,5.486363944242945,2.27197443743233,0.16808403566275312,23408.77356103579,12.192727919768679
1997,135290.78883048773,12256.599795118533,2.237199660192463,25549.377762792305,12842.086031444725,34739.28056377982,144261.66028700056,50384.34457056523,236.69860193060308,0.0,51610.608533796454,0.0,0.0,4.490118617312465,0.0,0.0,0.0,72697.42885467182,265.0533107080334,53575.53310148421,53408.71026396623,9.110812597687916,5836.709233043531,0.0,20.32585166999728,0.0,0.0,0.0,1.0329437968109036,4030.062909194745,563.5770078792507,613.2688000970637,5.486363944242945,2.27197443743233,0.16808403566275312,23425.96544524792,12.192727919768679
1998,135647.31191819892,12303.690883776715,2.518566301330576,25590.62945204891,12990.121813794243,34816.10622831564,144055.50082400983,50295.46600268017,236.6994268001609,0.0,51665.1564042014,0.0,0.0,4.490118617312465,0.0,0.0,0.0,72947.99009954192,265.91815743171315,52581.520025702535,53668.72947783328,9.110812597687916,5825.795457533035,0.0,20.415427356283775,0.0,0.0,0.0,1.0329437968109036,4060.524043925347,564.7899405334732,632.182043784066,5.486363944242945,2.27197443743233,0.16808403566275312,23439.250760770323,12.192727919768679
1999,136756.21826316245,12483.718424147133,2.6123177352179754,25692.20606892462,13181.049510295501,34898.88435476989,150214.80479681402,49929.18868164922,234.39083267724368,0.0,52242.186719034005,0.0,0.0,4.396375838577845,0.0,0.0,0.0,73977.58514489271,269.0288042687068,43558.69173608288,53616.218078663755,9.110812597687916,5691.787997464307,0.0,20.415427356283775,0.0,0.0,0.0,1.0329437968109036,4169.675992612585,551.3079264953486,648.4439906191203,5.486363944242945,2.27197443743233,0.16808403566275312,23471.995629652552,12.192727919768679
2000,136954.37233855634,12532.567695173911,2.6123177352179754,25733.55436811108,13329.394117688895,34576.102790520155,153851.58509064742,50332.44983120776,235.61285125982891,0.0,52568.44927289435,0.0,0.0,4.302639999650812,0.0,0.0,0.0,74904.327936025,273.26458159154816,37686.70416459912,54009.72009866329,9.110812597687916,5681.902182875699,0.0,20.415427356283775,0.0,0.0,0.0,1.0329437968109036,4191.607036391609,551.0991724254595,667.0500229008557,6.019543961213902,2.27197443743233,0.16808403566275312,23507.17995651619,12.192727919768679
2001,137501.5969481604,12634.765215710917,2.7061921919840266,25847.513265562888,13547.641347286612,34814.331426691344,153518.62059794032,49022.69332085349,235.87552399896595,0.0,52590.06943469778,0.0,0.0,2.6164161100620635,0.0,0.0,0.0,76043.71981967408,277.2652315299528,36395.43478917237,54580.90683296443,9.110812597687916,5647.02052015204,0.0,20.685939087645576,0.0,0.0,0.0,1.0329437968109036,4197.138534481138,554.3066823320476,684.361939643764,6.286287184213785,2.27197443743233,0.16808403566275312,23494.737171674515,12.192727919768679
2002,137667.80454195556,12703.10451655836,2.7999280309110595,25932.53407019266,13702.558197302526,34866.40096640243,152027.7469855471,48696.910808715584,235.94905673076275,0.0,52592.86502376716,0.0,0.0,2.0544852011364196,0.0,0.0,0.0,76740.68996102246,278.5557306057327,35847.35079507231,55581.72697971597,9.110812597687916,5622.335573850098,0.0,20.868221822953508,0.0,0.0,0.0,1.0329437968109036,4203.589021945984,561.5821797290988,705.1381540457253,6.286287184213785,2.27197443743233,0.16808403566275312,23621.44195170243,12.192727919768679
2003,138020.75945394943,12784.275664102815,2.7999280309110595,26006.96509519484,13793.670631237563,34932.33838746226,152051.4920807125,48620.93654993584,236.02702270876347,0.0,52627.32439152904,0.0,0.0,2.2411481614221564,0.0,0.0,0.0,76985.30638176906,272.09308565501055,34847.97260195556,55676.52971278742,9.110812597687916,5613.553872943387,0.0,22.694386426249157,0.0,0.0,0.0,1.0329437968109036,4231.363656221476,561.3895529804312,723.5410886764605,6.286287184213785,2.27197443743233,0.16808403566275312,23600.73245747665,12.192727919768679
2004,138249.68853951464,12862.82263531005,2.7999280309110595,26061.058433209048,13980.858987991,35079.867103659766,151657.8858455528,48828.11797415035,236.35951068163186,0.0,52820.24885971542,0.0,0.0,2.2411481614221564,0.0,0.0,0.0,77696.88898190905,274.6757013487944,32721.521270507794,56320.34859944495,9.284680599262403,5620.548218176439,0.0,25.159700702497428,0.0,0.0,0.0,1.0329437968109036,4290.2787963081,564.1004383614484,744.4151478721744,7.086602329702235,2.27197443743233,0.16808403566275312,23573.1471461612,12.192727919768679
2005,138317.4632812125,12899.31336340895,2.7999280309110595,26088.143665046893,14010.689128292066,35217.215342414165,151617.75686813032,48536.783173085394,236.53153566750782,0.0,52823.318326323955,0.0,0.0,2.2411481614221564,0.0,0.0,0.0,77882.02623172909,277.53357657108745,32483.005069465882,56369.45072340708,9.284680599262403,5615.508865551737,0.0,26.522120345482723,0.0,0.0,0.0,1.0329437968109036,4297.392262640957,565.9570184199597,771.4188601978755,7.353368679547911,2.27197443743233,0.16808403566275312,23571.695712316254,12.192727919768679
2006,138421.15649702403,12942.073343402953,2.532325326987633,26123.78071601699,14053.604369586188,35346.302888257385,151536.5987052253,48206.79224713214,237.03649350599807,0.0,52818.549332146176,0.0,0.0,2.2411481614221564,0.0,0.0,0.0,78154.34747623633,277.44108674539183,32224.985682799495,56404.32137795923,9.284680599262403,5621.311476213957,0.0,29.621862821234895,0.0,0.0,0.0,1.0329437968109036,4288.403588520184,568.8613643646538,798.9421098756648,7.353368679547911,2.27197443743233,0.16808403566275312,23553.862109098343,12.192727919768679
2007,138583.55061380443,12979.730666968851,2.532325326987633,26151.060377720918,14105.127367805519,35492.62252086597,151355.65445856572,47987.84336873661,236.69053439170983,0.0,52822.9129938221,0.0,0.0,2.427834623863982,0.0,0.0,0.0,78649.50730612909,277.8052290899649,31594.70548938567,56468.84102654692,9.284680599262403,5637.236078100166,0.0,36.45406404183136,0.0,0.0,0.0,1.0329437968109036,4286.138304403663,574.1999602781018,835.3161128048523,7.353368679547911,2.27197443743233,0.16808403566275312,23532.409567006896,12.192727919768679
2008,138700.5787388976,13022.791933899216,2.532325326987633,26183.546560228828,14140.080233763825,35660.31600822852,151020.24057185036,47761.63154695745,236.5198293432567,0.0,52796.38171483423,0.0,0.0,2.427834623863982,0.0,0.0,0.0,79026.26810600875,278.0399767535602,31300.66076135286,56527.07596180143,9.284680599262403,5664.228914369099,0.0,51.63157824063767,0.0,0.0,0.0,1.0329437968109036,4293.298060274229,580.959427980007,868.8758724639538,8.331852126348673,2.27197443743233,0.16808403566275312,23493.701759774503,12.192727919768679
2009,138782.11429395035,13067.790147332207,2.532325326987633,26220.209055273506,14176.791956769757,35903.2724155833,150702.40021787223,47258.53594238645,235.98957251309966,0.0,52705.90423003203,0.0,0.0,2.7090091114474575,0.0,0.0,0.0,79573.23894345712,279.7923807534568,31118.006271713803,56615.446497462915,9.284680599262403,5703.206404020938,0.0,58.38782316966212,0.0,0.0,0.0,1.0329437968109036,4252.109081149092,595.598907751845,899.4561356020411,8.420349711047592,2.27197443743233,0.16808403566275312,23458.20760815666,12.192727919768679
