year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,16665.036069014695,542.3442589217327,62.67726684130408,4.519603415410785,3341.9553261280234,5276.147771541569,0.0,1623.397593370531,0.0,24827.657604073785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53549.75294094082,14416.788298205542,147570.34172370465,0.0,453.53363795652194,344381.21940406575,0.0,48891.65419451807,0.0,0.0,6.977937431488584,0.0,0.0,1325.6145479110612,463.18270302960076,152768.68667561712,201.90157390281246,146.60138336972818,10986.22460695126,0.0
1993,16663.68252919488,542.2534557661359,62.67726684130408,4.519603415410785,3341.864717078129,5275.059815307397,0.0,1623.397593370531,0.0,24827.38570644523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53548.951912983415,14415.29595999752,147568.6620931726,0.0,453.53363795652194,344377.7337307575,0.0,48891.47246053197,0.0,0.0,6.977937431488584,0.0,0.0,1325.6145479110612,476.69589000850954,152766.24835316685,201.45040124775215,146.51290137592048,10986.22460695126,0.0
1994,16662.07512669744,541.7996058514511,62.67726684130408,4.519603415410785,3341.6831357350306,5273.345292898595,0.0,1623.397593370531,0.0,24827.38570644523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53547.81173934736,14414.67617909169,147567.0800274511,0.0,453.53363795652194,344373.2784041633,0.0,48891.38717848741,0.0,0.0,6.977937431488584,0.0,0.0,1325.6145479110612,491.5967980018989,152763.54155202367,201.18414390511435,146.42503693440293,10986.22460695126,0.0
1995,16660.315334676503,541.5322013203682,62.59359585626691,4.519603415410785,3342.8700460700184,5271.988018286213,0.0,1623.397593370531,0.0,24827.38570644523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53527.126166945025,14445.996781771033,147568.92239327356,0.0,453.53363795652194,344618.0216660096,0.0,48505.07832436268,0.0,0.0,6.977937431488584,0.0,0.0,1325.6145479110612,513.6894435696629,152871.61336682734,201.00384972211475,146.42503693440293,10987.609868755813,0.0
1996,16659.276043422844,541.4414786285512,62.50994267839543,4.519603415410785,3342.97428235153,5269.8104561824475,0.0,1622.4959224333727,0.0,24824.023640744068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53511.00256326342,14506.565645952518,147570.2250098087,0.0,453.53363795652194,344854.7728026166,0.0,48278.70148773587,0.0,0.0,6.977937431488584,0.0,0.0,1325.7963420475164,542.9574030364578,152791.43988162332,200.82271300723613,146.42503693440293,10989.943289640336,0.0
1997,16683.156357531316,548.2608781317971,62.426296181264426,4.519603415410785,3352.1449977104307,5273.259911615494,0.0,1620.9525737169395,0.0,24822.93419712757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53479.45335267733,14562.750141464383,147572.2777122058,0.0,453.53363795652194,345565.1293882372,0.0,47754.99346334008,0.0,0.0,8.000378025519787,0.0,0.0,1325.6144041792438,575.6421916998994,152494.97430429782,203.1332359746928,146.42503693440293,10996.633058488145,0.0
1998,16731.674613327967,556.2534127108094,62.25907922613291,4.519603415410785,3377.211336024019,5299.691252268902,0.0,1626.9398580850234,0.0,24788.284215896823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53092.32868756763,14586.941204318899,147688.4668295791,0.0,454.16974689004905,345837.70112839964,0.0,47655.25306441545,0.0,0.0,8.342108295994947,0.0,0.0,1324.6119810163489,607.6900326413526,152455.77259766764,204.35853909084247,146.42212849831526,10997.323701575135,0.0
1999,16899.305561861078,599.6447164644505,62.09190232535931,4.519603415410785,3431.4340011499926,5363.73806383598,0.0,1637.2785449153687,0.0,24730.819484787073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52443.2361532041,14630.961195554928,147788.38459168878,0.0,454.7157913794323,347473.8983668758,0.0,46785.378575099254,0.0,0.0,8.173613280167944,0.0,0.0,1328.2457292837569,637.6125986172495,151873.84805047535,210.49429013863417,146.42212849831526,10996.012158060557,0.0
2000,16977.516600036408,635.7541769427297,62.00835625311979,4.519603415410785,3471.399825102275,5397.245654278007,0.0,1692.588734964121,0.0,24673.749646333992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51826.62486463486,14674.394359768823,148006.63503979662,0.0,456.71080831045344,349522.2052281339,0.0,44736.566555357,0.0,0.0,8.173613280167944,0.0,0.0,1330.3336075657269,671.5611027551715,152004.52298226178,210.76548344301844,147.44900530533187,10995.489872972961,0.0
2001,16961.957689030754,648.8788054910657,62.00835625311979,4.519603415410785,3467.087958960978,5356.092612900306,0.0,1743.4738016195508,0.0,24692.849423709034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51747.67452121312,14676.697244896612,148013.1850179746,0.0,456.53529487049934,350855.6604366952,0.0,43441.61144080191,0.0,0.0,8.173613280167944,0.0,0.0,1330.2426533253035,671.5611027551715,152013.85070067513,210.6811798124483,147.9837902574632,10995.489872972961,0.0
