year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3368.6571043745676,1067.4228080144997,1370.3975207538952,0.0,1855.7848372905157,805.6702327510575,56449.619025619206,48.12630216038476,1.060315660579835,0.0,4.238541431101459,0.0,0.0,2625.884853633195,4342.302538849284,1.5876074769386321,5594.195135070652,11381.818120629261,13468.606469501441,13860.015040276216,0.0,0.6124503674697213,123038.34214494617,0.0,396.6759155984007,0.0,0.13617899404263067,1227.003402485929,0.0,283.04884421665844,891.1268013869949,1885.840957911344,9620.116836922842,0.0,12.320827280516932,22650.046924356167,1085.3218251653934
1993,3366.987381261621,1067.0641135172518,1370.3258858149302,0.0,1855.0432663118706,805.6029832905311,56448.59039726515,48.12630216038476,1.060315660579835,0.0,4.238541431101459,0.0,0.0,2625.884853633195,4341.708692554869,1.5876074769386321,5593.172789343693,11380.93923124708,13466.259622193307,13859.810995307154,0.0,0.6124503674697213,123003.17697832707,0.0,396.38007027824926,0.0,0.13617899404263067,1227.003402485929,0.0,282.8179723051181,891.0497002427719,1935.893191581593,9615.698771878042,0.0,12.320827280516932,22649.16521574891,1085.3218251653934
1994,3365.9473484509344,1066.575789250412,1369.9654521467908,0.0,1854.8403238276026,805.39273830667,56447.61926529867,47.855657039575675,1.060315660579835,0.0,4.238541431101459,0.0,0.0,2625.7372479539126,4340.82696369178,1.5876074769386321,5591.92034838554,11380.060855372469,13464.61265363894,13859.598180364263,0.0,0.6124503674697213,122964.66802758566,0.0,396.08158467559645,0.0,0.13617899404263067,1226.9345443970437,0.0,282.74163054560944,890.9794359206084,1987.725985543487,9612.1474323577,0.0,12.320827280516932,22648.470351995467,1085.3218251653934
1995,2862.522178885754,1096.5378079861011,1404.2133071749236,0.0,1909.5393017338897,820.7516363511427,56904.03012163104,47.92351759813105,1.060315660579835,0.0,5.059368307766133,0.0,0.0,2689.2218416035917,4427.902899263223,1.5876074769386321,4514.717627787908,11295.429876858898,13557.255410422495,13886.943901378627,0.0,0.6124503674697213,123695.64809576231,0.0,393.78398577174744,0.0,0.13617899404263067,1227.6434254561523,0.0,282.27921911117556,891.8299554408835,2042.042199020316,9621.409280446363,0.0,13.237948907657637,22657.338278560354,1085.3218251653934
1996,2643.3140606262273,1105.8324095694231,1425.050250227145,0.0,1984.4739862802708,824.811543683575,56997.63459536089,47.92351759813105,1.060315660579835,0.0,5.134431263475738,0.0,0.0,2719.5636314355065,4458.058615296862,1.5876074769386321,4382.913656727327,11313.650108836016,13574.4700546733,13876.477731366323,0.0,0.6124503674697213,123650.61011155171,0.0,393.3285402640066,0.0,0.13617899404263067,1227.1690085109988,0.0,282.1243597105027,891.9706975030658,2102.6657381691234,9627.964672275188,0.0,13.237948907657637,22699.018311866752,1085.1850289224526
1997,2466.2765651935633,1106.6145646492844,1436.3225024854469,0.0,2004.1680998390002,829.8681871527353,57088.7613580032,47.92351759813105,1.060315660579835,0.0,5.134431263475738,0.0,0.0,2760.7400783380417,4478.80400670794,1.5876074769386321,4210.280226696794,11337.10810216398,13593.39469164733,13886.648467418447,0.0,0.6124503674697213,123688.04896866334,0.0,392.80976412185714,0.0,0.13617899404263067,1227.0343717834598,0.0,281.89073668041755,893.5567354420451,2167.0403067976995,9627.42520849971,0.0,13.237948907657637,22704.30914165,1085.1850289224526
1998,2147.2835759280993,1107.6518006131594,1456.1889234151092,0.0,2030.2477307014237,834.2410439011353,57168.1280896915,47.85188265916615,1.060315660579835,0.0,5.134431263475738,0.0,0.0,2825.218985521937,4508.432383427854,1.5876074769386321,3786.1811486547667,11391.86328454162,13687.749326136589,13920.37394010763,0.0,0.6124503674697213,123927.92572814334,0.0,393.412215242694,0.0,0.13617899404263067,1226.8376065773693,0.0,281.5042553012737,894.481611969355,2253.1216901837133,9632.901329784547,0.0,13.30849120995366,22707.358506727604,1085.1850289224526
1999,1807.038248430179,1104.8872654374168,1473.3166045024552,0.0,2061.778738943102,846.6814199216811,57261.131752741996,47.57419414280855,1.060315660579835,0.0,5.134431263475738,0.0,0.0,2886.1074147046743,4525.130281547225,1.5876074769386321,3035.5250822960143,11475.416271888127,13836.139720560448,13998.41635656085,0.0,0.6124503674697213,124364.40726370073,0.0,395.08021544282076,0.0,0.13617899404263067,1225.485907815877,0.0,281.0361604049578,907.8398314935778,2337.2913573844125,9648.958837096816,0.0,13.30849120995366,22709.712134213754,1085.1850289224526
2000,1653.476974850996,1102.6676097549894,1474.215028045381,0.0,2080.6948859885356,856.5720803212221,57251.96352799628,47.29656912002913,1.060315660579835,0.0,5.134431263475738,0.0,0.0,2939.6048958354754,4530.052005113371,1.5876074769386321,2277.1569503573965,11590.195860403786,14018.307241151646,14143.055007123616,0.0,0.6124503674697213,124613.90945957346,0.0,398.66300135052353,0.0,0.13617899404263067,1225.485907815877,0.0,279.1778540089586,916.4707771384378,2438.730591141195,9673.582648962183,0.0,13.30849120995366,22717.67618317661,1085.1850289224526
2001,1466.8456949566028,1103.1036311149694,1479.6599209242104,0.0,2078.7850203601092,854.9123782482916,57401.94899570448,48.257269281553754,1.060315660579835,0.0,5.134431263475738,0.0,0.0,3039.3611077084397,4559.168629563947,1.5876074769386321,1971.3924065536257,11614.746668365744,14010.299195097046,14076.164828730463,0.0,0.6124503674697213,124809.96708941196,0.0,399.4866928066661,0.0,0.13617899404263067,1225.6214889779276,0.0,279.0166739870249,928.6429918320179,2482.2930939912094,9681.29311852775,0.0,13.30849120995366,22717.988163085814,1085.1850289224526
