year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,72.78887072257272,2405.114184412249,0.0,318.4220516535178,9.747858770988213,2.4550831491899237,0.0,3.4425401078063635,0.45686661624070735,356.23334715758386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.870731035530946,145.01454629822658,575.5519810218432,0.0,4.1803944377511035,0.0,0.0,17859.104110660624,0.0,0.0,0.0,0.0,0.0,30.815220343402043,223.92219043602628,282351.08057944063,1089.5579000354855,564.3602152120202,4079.819384607994,0.0
1993,72.69761759802368,2404.931683580948,0.0,318.23954405075705,9.747858770988213,2.4550831491899237,0.0,3.4425401078063635,0.45686661624070735,356.23334715758386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.870731035530946,145.01454629822658,575.5519810218432,0.0,4.1803944377511035,0.0,0.0,17859.104110660624,0.0,0.0,0.0,0.0,0.0,30.815220343402043,226.65430697368066,282348.8047244616,1089.5579000354855,564.3602152120202,4079.819384607994,0.0
1994,72.69761759802368,2404.6584369352713,0.0,318.23954405075705,9.747858770988213,2.4550831491899237,0.0,3.4425401078063635,0.45686661624070735,356.23334715758386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.870731035530946,145.01454629822658,575.5519810218432,0.0,4.1803944377511035,0.0,0.0,17859.104110660624,0.0,0.0,0.0,0.0,0.0,30.815220343402043,232.06813051506256,282343.6641475659,1089.5579000354855,564.3602152120202,4079.819384607994,0.0
1995,72.97142297082193,2418.561375494254,0.0,318.0570229139426,9.930394784506728,2.4550831491899237,0.0,2.346146767250658,0.45686661624070735,356.1456150759564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.010627018851656,67.71147772007284,530.9142046480911,0.0,4.1803944377511035,0.0,0.0,17740.798053433755,0.0,0.0,0.0,0.0,0.0,31.43962226827351,237.92503646309467,282543.32310957037,1134.9633560415882,564.5313055058595,4059.2169412398653,0.0
1996,72.8835368771348,2456.1715182792827,0.0,317.87453021248245,9.930394784506728,2.4550831491899237,0.0,2.346146767250658,0.45686661624070735,356.1456150759564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.010627018851656,28.249569811801365,529.7818607406942,0.0,4.1803944377511035,0.0,0.0,17733.086526440617,0.0,0.0,0.0,0.0,0.0,31.885840885097604,245.42510054672064,282548.0384719223,1135.4100323081348,564.5313055058595,4057.074634739871,0.0
1997,72.70827574049085,2475.369294715647,0.0,317.9590501693006,9.930394784506728,2.4550831491899237,0.0,2.346146767250658,0.45686661624070735,356.1456150759564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.010627018851656,28.249569811801365,529.8682822509849,0.0,4.1803944377511035,0.0,0.0,17609.099516512513,0.0,0.0,0.0,0.0,0.0,31.885840885097604,249.10212792402194,282647.4239024249,1136.9585753630845,564.7138577322984,4057.074634739871,0.0
1998,72.35661422894601,2539.409874853562,0.0,317.8714588917108,9.587752258665116,2.4550831491899237,0.0,3.3979881535623497,0.45686661624070735,356.4962166747891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.010627018851656,28.249569811801365,529.4317734264337,0.0,4.1803944377511035,0.0,0.0,17602.831199638178,0.0,0.0,0.0,0.0,0.0,32.68996518359322,257.8150350340439,282582.99598556675,1136.867833611699,564.7138577322984,4054.1199598316407,0.0
1999,72.97085227390885,2580.3559949810483,0.0,317.95934137835565,9.506275344957963,2.4550831491899237,0.0,3.8364586930066626,0.45686661624070735,355.9694126457751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.308524813345576,28.249569811801365,529.1818782444162,0.0,4.1803944377511035,0.0,0.0,17590.017356495,0.0,0.0,0.0,0.0,0.0,33.31524912753201,264.5921727876915,282550.03279553476,1137.2342561612445,564.7138577322984,4051.6017158913523,0.0
2000,72.703177255729,2597.027437914169,0.0,318.0545013486105,9.332885224092994,2.4550831491899237,0.0,4.330030278650863,0.45686661624070735,358.2532340733233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.944465598819539,25.695958036269523,526.1164992164244,0.0,4.1803944377511035,0.0,0.0,17579.710595104927,0.0,0.0,0.0,0.0,0.0,34.56588375047179,272.18631035140703,282539.90902793006,1137.0513662911098,564.7138577322984,4050.250481810068,0.0
2001,72.43958272111531,2605.139542540237,0.0,318.0545013486105,9.332885224092994,2.4550831491899237,0.0,4.330030278650863,0.45686661624070735,358.2532340733233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.715100620471231,1.1651301989288927,524.7245187138866,0.0,4.1803944377511035,0.0,0.0,17525.67888344112,0.0,0.0,0.0,0.0,0.0,34.47847715527703,277.43057671559137,282607.9124652484,1137.142630241743,564.7138577322984,4050.3342956626875,0.0
