year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1675.7636496308855,100.764807140105,0.0,1.3767962319284046,236.71689718454647,433.8322906232964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.25441223175386,0.9698432094824346,8.674577483962128,0.0,1.864691953069061,1.2987928764774672,0.0,488.37111611148697,0.0,0.0,514.5486783685508,0.0,0.0,0.0,78.95179530932424,1046.3624863793884,0.16264610546440267,0.0,94.56265920670639,0.0
1993,1673.8152335781529,100.764807140105,0.0,1.3767962319284046,236.63597988290908,433.8322906232964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.25441223175386,0.9698432094824346,8.674577483962128,0.0,1.864691953069061,1.2987928764774672,0.0,488.1280092615793,0.0,0.0,514.5486783685508,0.0,0.0,0.0,82.35873986025625,1045.2279820327337,0.16264610546440267,0.0,94.56265920670639,0.0
1994,1671.8706246802276,100.764807140105,0.0,1.3767962319284046,236.63597988290908,433.8322906232964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.1732944402665,0.9698432094824346,8.674577483962128,0.0,1.864691953069061,1.2987928764774672,0.0,487.9659836301252,0.0,0.0,514.4675605770634,0.0,0.0,0.0,86.57221538362484,1043.2833766217193,0.16264610546440267,0.0,94.56265920670639,0.0
1995,1663.8471742983374,101.00685001082765,0.0,1.3767962319284046,236.63597988290908,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.09217908547004,0.9698432094824346,8.674577483962128,0.0,1.7836669115735662,1.2987928764774672,0.0,479.86767742624596,0.0,0.0,514.5490345720914,0.0,0.0,0.0,91.84086798934015,1055.7565620481728,0.16264610546440267,0.0,94.56265920670639,0.0
1996,1661.3310019376236,101.57424762757809,0.0,1.3767962319284046,236.55496951120708,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.09217908547004,0.9698432094824346,8.674577483962128,0.0,1.7836669115735662,1.2987928764774672,0.0,478.9762328145078,0.0,0.0,514.5490345720914,0.0,0.0,0.0,95.40911057825463,1055.1095491866615,0.16264610546440267,0.0,94.56265920670639,0.0
1997,1659.6297275749403,101.57424762757809,0.0,1.3767962319284046,236.55496951120708,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.9698432094824346,8.674577483962128,0.0,1.7836669115735662,1.2987928764774672,0.0,478.9762328145078,0.0,0.0,514.5490345720914,0.0,0.0,0.0,97.67709019619993,1054.6239568476412,0.16264610546440267,0.0,94.56265920670639,0.0
1998,1658.4946103342213,101.57424762757809,0.0,1.3767962319284046,236.39292539065798,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.9698432094824346,8.674577483962128,0.0,1.7836669115735662,1.2987928764774672,0.0,478.89521510705214,0.0,0.0,514.5490345720914,0.0,0.0,0.0,99.62178557792049,1054.0574405346442,0.16264610546440267,0.0,94.56265920670639,0.0
1999,1658.4980869517617,102.38446598372857,0.0,1.3767962319284046,236.39292539065798,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.9698432094824346,8.674577483962128,0.0,1.7022170162157104,1.2987928764774672,0.0,476.0540411956728,0.0,0.0,514.4679753271824,0.0,0.0,0.0,102.54001734946763,1053.3291968410522,0.16264610546440267,0.0,94.56265920670639,0.0
2000,1660.7796193327513,103.19843520659754,0.0,1.3767962319284046,236.63635915347885,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.9698432094824346,8.674577483962128,0.0,1.6208564591948367,1.2987928764774672,0.0,471.09486584133094,0.0,0.0,513.8174468993535,0.0,0.0,0.0,106.59086058829755,1051.6304825747347,0.16264610546440267,0.0,94.56265920670639,0.0
2001,1656.9653917136616,103.52411417782707,0.0,1.3767962319284046,236.63665258673524,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.9698432094824346,8.674577483962128,0.0,1.539719176024062,1.2987928764774672,0.0,469.8754090347779,0.0,0.0,513.4930758809596,0.0,0.0,0.0,117.05262577205737,1046.2819377136966,0.16264610546440267,0.0,94.56265920670639,0.0
2002,1653.1609185300772,103.52411417782707,0.0,1.3767962319284046,236.63665258673524,432.05083270743825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.9698432094824346,8.674577483962128,0.0,1.458584328019066,1.2987928764774672,0.0,469.79690618440503,0.0,0.0,513.9794509279826,0.0,0.0,0.0,124.09656615972922,1042.7157331609637,0.16264610546440267,0.0,94.56265920670639,0.0
2003,1650.3266043676144,103.52411417782707,0.0,1.3767962319284046,236.63665258673524,431.9703102836922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.9698432094824346,8.674577483962128,0.0,1.458584328019066,1.2987928764774672,0.0,470.36454553916025,0.0,0.0,513.9794509279826,0.0,0.0,0.0,128.79212754751362,1040.3673690046332,0.16264610546440267,0.0,94.56265920670639,0.0
2004,1651.2947186715926,105.62741853739391,0.0,1.4576840866554543,236.5558138732756,431.9703102836922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.0,8.674577483962128,0.0,1.458584328019066,1.2987928764774672,0.0,466.32053726463,0.0,0.0,513.9794509279826,0.0,0.0,0.0,133.6473622833534,1037.4545179479935,0.16264610546440267,0.0,94.56265920670639,0.0
2005,1647.5684890149987,105.9506602357873,0.0,1.4576840866554543,236.31313602800992,431.9703102836922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0110661692288,0.0,8.674577483962128,0.0,1.458584328019066,1.2987928764774672,0.0,465.3498120368841,0.0,0.0,513.8983477628475,0.0,0.0,0.0,141.0152181612073,1034.784156266487,0.16264610546440267,0.0,94.56265920670639,0.0
2006,1642.6264181612833,105.9506602357873,0.0,1.4576840866554543,236.0703825523552,431.8084669675937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0921742111352,0.0,8.674577483962128,0.0,1.2964171246379959,1.2987928764774672,0.0,465.4320128132755,0.0,0.0,513.8983477628475,0.0,0.0,0.0,148.38426819620537,1032.7606322620409,0.16264610546440267,0.0,94.56265920670639,0.0
2007,1634.612504551605,105.9506602357873,0.0,1.4576840866554543,235.5853459278162,431.7277687188368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0921742111352,0.0,8.674577483962128,0.0,1.2964171246379959,1.2987928764774672,0.0,464.4617080459573,0.0,0.0,513.8983477628475,0.0,0.0,0.0,159.79452676840617,1030.9003269401323,0.16264610546440267,0.0,94.56265920670639,0.0
2008,1629.5881630252165,105.9506602357873,0.0,1.4576840866554543,235.09988817209668,431.6469546011372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0921742111352,0.0,8.674577483962128,0.0,1.2964171246379959,1.2987928764774672,0.0,463.7326100743707,0.0,0.0,513.8173863421978,0.0,0.0,0.0,167.08590807270912,1030.0096184278734,0.16264610546440267,0.0,94.56265920670639,0.0
