year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6350.1885437781,968.6110936224496,0.9439124825045844,66.12929122013026,3689.2882553578925,11746.028963232357,42601.07114844388,2814.946731093257,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,81.26283153454393,166.61881339253756,570.31477517537,0.0,0.0,380.06852544508644,0.0,5.477181025044526,0.0,0.0,0.0,16.012819648259285,1212.2285546220717,82.66581487905555,141.48225095028764,42.292258914308945,0.0,0.0,4667.459568662903,0.0
1993,6348.680154579942,968.1387981606914,0.9439124825045844,66.12929122013026,3688.7222602744605,11745.368146088838,42600.599909305194,2814.946731093257,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,80.7915938033849,165.8642453761762,570.31477517537,0.0,0.0,379.21961641510177,0.0,5.382942638598845,0.0,0.0,0.0,16.012819648259285,1212.2285546220717,82.28877926315063,147.8013501057367,42.292258914308945,0.0,0.0,4667.365194312874,0.0
1994,6345.9459830812375,968.0442895927378,0.9439124825045844,66.12929122013026,3688.062035839128,11744.707877420515,42600.31714327124,2814.946731093257,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,80.7915938033849,164.9207842957479,570.31477517537,0.0,0.0,378.5597026904194,0.0,5.382942638598845,0.0,0.0,0.0,16.012819648259285,1212.2285546220717,82.1002560353004,154.0251873429531,42.292258914308945,0.0,0.0,4667.365194312874,0.0
1995,6402.180299638433,973.3251957430076,0.9439124825045844,66.12929122013026,3674.265180003249,11878.17229352504,42353.844278064345,2839.462316348995,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,81.54694496212794,164.6378405517982,575.4053720825598,0.0,0.0,374.97686277919195,0.0,5.382942638598845,0.0,0.0,0.0,16.012819648259285,1247.9171363427,80.21499913111244,161.37953562908157,42.292258914308945,0.0,0.0,4665.001853774573,0.0
1996,6409.733927887978,974.4569723937863,0.8494973201619663,66.12929122013026,3658.533074157227,11886.678600075353,42291.84406728426,2839.462316348995,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,82.11284034331663,165.2051013546928,576.536646762185,0.0,0.0,385.2693755463236,0.0,5.194480476178958,0.0,0.0,0.0,16.012819648259285,1249.1552873389257,79.83792816719674,168.45210602718637,42.00966963233849,0.0,0.0,4705.617331495558,0.0
1997,6417.091903010056,977.0989346091704,0.7552451148678133,66.12929122013026,3636.5070631358653,11919.590401779882,42247.81935549982,2842.582051648726,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,82.11304326501782,166.80963705026926,577.6679900944447,0.0,0.0,389.7089864097344,0.0,5.194480476178958,0.0,0.0,0.0,16.012819648259285,1254.076822488431,79.46091801793824,175.33652509946776,42.00966963233849,0.0,0.0,4707.126195279438,0.0
1998,6446.619372641485,982.5701833531567,0.7552451148678133,66.12929122013026,3636.4979203802623,11978.64732990886,42125.85852134456,2842.582051648726,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,82.96236758514412,166.4324076791993,585.0229918253175,0.0,0.0,389.8979633575281,0.0,5.194480476178958,0.0,0.0,0.0,16.012819648259285,1254.838967977403,79.55567974330036,183.72966158502084,42.00966963233849,0.0,0.0,4717.774408358308,0.0
1999,6477.5636249332765,1059.7492511433288,0.7552451148678133,66.12929122013026,3550.815679982328,12240.386540816213,41812.9028384539,2845.13331848643,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,83.90617771658175,169.0722390245187,586.4376486740127,0.0,0.0,391.69148568812545,0.0,5.194480476178958,0.0,0.0,0.0,16.012819648259285,1261.8238573619494,80.50035795687941,189.4810050252589,42.00966963233849,0.0,0.0,4723.525802125438,0.0
2000,6484.453487383288,1071.070950668013,0.7552451148678133,66.12929122013026,3515.8810911027,12353.809847029452,41694.7922664917,2846.9289664304965,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,85.22734219088812,169.54389316401213,588.040435749517,0.0,0.0,394.2375416278527,0.0,5.194480476178958,0.0,0.0,0.0,16.012819648259285,1263.0518642960726,80.78399521026498,197.5907228784423,42.00966963233849,0.0,0.0,4727.577423165524,0.0
2001,6491.432206194763,1079.753513477769,0.7552451148678133,66.12929122013026,3446.804765940576,12427.584106457798,41656.5938805149,2852.4104835439516,0.0,0.0,0.0,0.0,0.0,1.227321240170362,0.0,0.0,0.18928708789451287,87.39784249956699,169.35556204266152,592.0006802476528,0.0,0.0,394.0498138792574,0.0,5.194480476178958,0.0,0.0,0.0,16.01286224877058,1265.2227421199914,81.44555063487404,200.41846250363471,42.00966963233849,0.0,0.0,4728.5201747303545,0.0
