year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,0.08630493394975804,192.03611229472787,0.0,69.91609692812398,3.276673790561369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02420154689512,0.0,0.0,0.0,0.0,0.0,36.765596241532094,0.0,0.1717998732981971,0.0,0.0,113.75451316165571,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,355.73641593726205,9664.315125297815,4.663476687618539,35.789055486234915,852.4544811991311,0.0
1993,0.08630493394975804,192.03611229472787,0.0,69.91609692812398,3.276673790561369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02420154689512,0.0,0.0,0.0,0.0,0.0,36.765596241532094,0.0,0.1717998732981971,0.0,0.0,113.75451316165571,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.0813448759845,9663.970196359094,4.663476687618539,35.789055486234915,852.4544811991311,0.0
1994,0.08630493394975804,192.03611229472787,0.0,69.91609692812398,3.276673790561369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02420154689512,0.0,0.0,0.0,0.0,0.0,36.765596241532094,0.0,0.1717998732981971,0.0,0.0,113.75451316165571,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.25381033615764,9663.797730898921,4.663476687618539,35.789055486234915,852.4544811991311,0.0
1995,0.08630493394975804,192.03611229472787,0.0,69.91609692812398,5.172576381912709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.260135370936,0.0,0.0,0.0,0.0,0.0,36.41655120150699,0.0,0.1717998732981971,0.0,0.0,115.47874677666546,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.25381033615764,9690.094220427127,4.7494671211975525,36.22006142599618,820.1339703072096,0.0
1996,0.08630493394975804,192.03611229472787,0.0,69.91609692812398,5.344531154454877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.346127811798624,0.0,0.0,0.0,0.0,0.0,36.674626702752164,0.0,0.1717998732981971,0.0,0.0,115.73683005087838,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.25381033615764,9694.396079131693,5.437814888337513,36.5642375674025,814.0254817052343,0.0
1997,0.08630493394975804,191.86312714656867,0.0,69.91609692812398,5.344531154454877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.346127811798624,0.0,0.0,0.0,0.0,0.0,36.674626702752164,0.0,0.1717998732981971,0.0,0.0,115.73683005087838,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.4267954843168,9694.829368278766,5.437814888337513,36.5642375674025,813.5921925581617,0.0
1998,0.08630493394975804,191.86312714656867,0.0,69.91609692812398,5.344531154454877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.346127811798624,0.0,0.0,0.0,0.0,0.0,36.674626702752164,0.0,0.1717998732981971,0.0,0.0,115.73683005087838,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.4267954843168,9694.829368278766,5.437814888337513,36.5642375674025,813.5921925581617,0.0
1999,0.08630493394975804,191.77663359450136,0.0,69.91609692812398,5.344531154454877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.346127811798624,0.0,0.0,0.0,0.0,0.0,36.674626702752164,0.0,0.1717998732981971,0.0,0.0,115.73683005087838,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.51328903638415,9695.087351618264,5.437814888337513,36.5642375674025,813.3342092186643,0.0
2000,0.08630493394975804,191.69014786487065,0.0,69.91609692812398,5.344531154454877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.346127811798624,0.0,0.0,0.0,0.0,0.0,36.674626702752164,0.0,0.1717998732981971,0.0,0.0,115.90883900049589,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,356.59977476601483,9695.34545089851,5.437814888337513,36.5642375674025,812.9041009887982,0.0
2001,0.08630493394975804,191.69014786487065,0.0,69.91609692812398,5.344531154454877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.346127811798624,0.0,0.0,0.0,0.0,0.0,36.58834152323121,0.0,0.1717998732981971,0.0,0.0,115.04670500632153,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,367.0405594659439,9685.853085372277,5.437814888337513,36.5642375674025,812.9041009887982,0.0
2002,0.08630493394975804,191.69014786487065,0.0,69.91609692812398,5.517007627348383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51813676141613,0.0,0.0,0.0,0.0,0.0,36.58834152323121,0.0,0.1717998732981971,0.0,0.0,114.78869158189528,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,370.4040946938715,9683.091782721296,5.437814888337513,36.4780117755478,812.3016222056218,0.0
2003,0.08630493394975804,191.69014786487065,0.0,69.91609692812398,5.517007627348383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51813676141613,0.0,0.0,0.0,0.0,0.0,36.50237719033027,0.0,0.1717998732981971,0.0,0.0,114.18547574155069,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,371.7828887839232,9682.48817127323,5.437814888337513,36.4780117755478,812.2156197368832,0.0
2004,0.08630493394975804,191.60387850430902,0.0,69.91609692812398,5.517007627348383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51813676141613,0.0,0.0,0.0,0.0,0.0,36.416157347140356,0.0,0.1717998732981971,0.0,0.0,114.01328541904721,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,372.3863424644394,9682.229397118968,5.437814888337513,36.4780117755478,812.2156197368832,0.0
2005,0.08630493394975804,191.51749475147915,0.0,69.91609692812398,5.3447994289371135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51813676141613,0.0,0.0,0.0,0.0,0.0,36.15768202644203,0.0,0.1717998732981971,0.0,0.0,112.80854489767042,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,380.4945241122233,9676.015470882183,5.437814888337513,36.39178598369311,812.1293979110563,0.0
2006,0.08630493394975804,191.3450313721877,0.0,69.91609692812398,5.2585756193141915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51813676141613,0.0,0.0,0.0,0.0,0.0,36.15768202644203,0.0,0.1717998732981971,0.0,0.0,112.63631117344849,0.0,0.0,0.0,0.0,0.0859542844491448,0.17251695607051049,385.8445460358528,9671.355146248137,5.437814888337513,36.30549290023818,811.9569146180629,0.0
2007,0.08630493394975804,190.7415156377638,0.0,70.08803362765155,5.086676222298203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.947970473443313,0.0,0.0,0.0,0.0,0.0,36.15768202644203,0.0,0.1717998732981971,0.0,0.0,111.86129124797834,0.0,0.0,0.0,0.0,0.1719085688982896,0.17251695607051049,392.9182990025419,9667.641325061497,5.437814888337513,36.30549290023818,809.459693198921,0.0
2008,0.08630493394975804,190.56914145330674,0.0,70.08803362765155,5.172726760268215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.947970473443313,0.0,0.0,0.0,0.0,0.0,36.24379087473676,0.0,0.1717998732981971,0.0,0.0,111.43050543916031,0.0,0.0,0.0,0.0,0.1719085688982896,0.17251695607051049,397.57592602354634,9664.017911465033,5.437814888337513,36.30549290023818,808.8564803813885,0.0
2009,0.08630493394975804,190.05183292535278,0.0,70.08803362765155,5.000520521170511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.947970473443313,0.0,0.0,0.0,0.0,0.0,36.24379087473676,0.0,0.1717998732981971,0.0,0.0,111.43050543916031,0.0,0.0,0.0,0.0,0.1719085688982896,0.17251695607051049,402.7520323009212,9659.53131995471,5.437814888337513,36.30549290023818,808.8564803813885,0.0
2010,0.08630493394975804,189.70682110593015,0.0,70.08803362765155,5.000520521170511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.947970473443313,0.0,0.0,0.0,0.0,0.0,36.157511625634875,0.0,0.1717998732981971,0.0,0.0,111.34452102588956,0.0,0.0,0.0,0.0,0.1719085688982896,0.17251695607051049,406.8925401366248,9655.908087600803,5.437814888337513,36.30549290023818,808.8564803813885,0.0
2011,0.08630493394975804,189.53442904534282,0.0,70.08803362765155,5.000520521170511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.947970473443313,0.0,0.0,0.0,0.0,0.0,36.157511625634875,0.0,0.1717998732981971,0.0,0.0,111.34452102588956,0.0,0.0,0.0,0.0,0.1719085688982896,0.08625550917590658,411.89550392160595,9651.163777323303,5.437814888337513,36.30549290023818,808.8564803813885,0.0
