year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,87386.42864627893,34896.495608996614,3355.41019027946,416.555890047711,6886.61234130479,4421.684246490103,0.0,48936.62165955972,433.4023813107625,0.0,12618.360512074629,0.13352048253418436,0.0,9.852556030447026,0.0,0.0,10165.859524323936,2569.444732732777,1118.7259849217114,0.0,0.0,0.0,16261.9583557441,0.0,82.58677372410152,0.0,0.0,0.0,0.0,0.0,2254.8713666471103,3539.1085959772163,45.40574135232511,11.28420786919023,3.567330598980288,2458.432444634833,0.0
1993,87369.7412560165,34851.86947487611,3355.073962867944,416.4200317889278,6885.946528188475,4421.4841294991165,0.0,48935.365124160366,433.4023813107625,0.0,12618.23155963921,0.13352048253418436,0.0,9.852556030447026,0.0,0.0,10165.79435711254,2569.3807990452083,1118.7259849217114,0.0,0.0,0.0,16260.56995988508,0.0,82.58677372410152,0.0,0.0,0.0,0.0,0.0,2254.7373774872776,3604.933602691445,45.33736235987929,11.28420786919023,3.567330598980288,2458.364330826178,0.0
1994,87351.97418033995,34791.435278418016,3354.8730333567983,416.4200317889278,6885.550857486535,4421.219828610047,0.0,48933.84989861241,433.4023813107625,0.0,12617.571786129954,0.13352048253418436,0.0,9.852556030447026,0.0,0.0,10165.46479794921,2569.3807990452083,1118.6598573308663,0.0,0.0,0.0,16259.108479294222,0.0,82.51790602818811,0.0,0.0,0.0,0.0,0.0,2254.6033817393372,3688.2993942097623,45.33736235987929,11.28420786919023,3.567330598980288,2458.295742390705,0.0
1995,87648.39254292403,34832.96155177879,3370.4242241056086,416.4200317889278,6900.493368473404,3719.3484078082397,0.0,49030.011017088254,435.8631848839117,0.0,12576.65280735596,0.13352048253418436,0.0,9.58544234872588,0.0,0.0,10200.52333609288,2582.6231122243303,1121.3001973767925,0.0,0.0,0.0,16375.257729446364,0.0,83.72290580133729,0.0,0.0,0.0,0.0,0.0,2244.7093670798968,3795.631546102118,44.85005976444002,11.35278124347543,3.567330598980288,2468.9781466131167,0.0
1996,87640.2486518856,34769.764359154025,3382.2150096417595,414.7297756025171,6906.571197719123,3615.227642903027,0.0,48979.38515239527,435.8636572989636,0.0,12572.811620169232,0.13352048253418436,0.0,9.518654009062487,0.0,0.0,10207.186690829112,2586.8521144050037,1123.4970583959102,0.0,0.0,0.0,16426.06885921366,0.0,84.5947129880533,0.0,0.0,0.0,0.0,0.0,2219.9886044752875,3912.005994577403,40.32837795030814,11.4198466289457,3.567330598980288,2530.8237800583147,0.0
1997,87648.0994283592,34681.81170985742,3392.394892639664,414.5240109278384,6915.915497762069,3557.4623269058943,0.0,48836.08065227745,436.32659569047513,0.0,12567.201726146477,0.13352048253418436,0.0,9.317202702935383,0.0,0.0,10208.418746814878,2597.2554907948474,1130.4641747369853,0.0,0.0,0.0,16518.28322345265,0.0,86.20314081488964,0.0,0.0,0.0,0.0,0.0,2213.5265332451163,4063.697960625452,39.75635067247893,12.156747512348895,3.567330598980288,2540.2053483614727,0.0
1998,87604.43884370907,34559.481740765485,3393.103995687439,414.45522655880626,6926.926989063133,3405.6310199190834,0.0,48798.41190846128,436.3943508215583,0.0,12550.775684420223,0.13352048253418436,0.0,9.317202702935383,0.0,0.0,10207.497574813195,2615.199322976631,1148.8614566661684,0.0,0.0,0.0,16629.36954059396,0.0,86.87257811432953,0.0,0.0,0.0,0.0,0.0,2209.553614360272,4267.983203967291,40.35763020682353,12.424395460533445,3.567330598980288,2552.045481032321,0.0
1999,87402.26575863316,34439.1702081952,3394.112284093371,410.5921557948867,6912.779097323082,2899.6802821300366,0.0,49240.66023697808,437.7382484528389,0.0,12540.095012614702,0.13352048253418436,0.0,9.384471509522767,0.0,0.0,10211.207977132064,2649.3189962248584,1171.5154241874568,0.0,0.0,0.0,16738.792933622113,0.0,88.5347055532503,0.0,0.0,0.0,0.0,0.0,2179.269990067218,4485.319501058665,40.258504853400595,12.623085007083597,3.567330598980288,2605.78288686963,0.0
2000,87361.83700192596,34309.89718589473,3394.540135988467,410.5907715223184,6923.28980083398,2739.9632641362523,0.0,49233.150605060684,437.479255956326,0.0,12531.870283809238,0.13352048253418436,0.0,9.384471509522767,0.0,0.0,10211.433526792487,2671.43527231261,1186.7596075940598,0.0,0.0,0.0,16805.54988677988,0.0,88.609091645558,0.0,0.0,0.0,0.0,0.0,2172.517659671693,4711.574824724939,40.25656334020929,12.623085007083597,3.567330598980288,2616.339465794528,0.0
2001,87261.47820094248,34185.74092903635,3381.8123675803186,410.52312927391165,6906.954437404887,2238.5577608166145,0.0,49727.24423095931,440.94467578149823,0.0,12533.333543317223,0.13352048253418436,0.0,9.451888186715351,0.0,0.0,10218.125713580237,2702.2635512595543,1184.3326523082933,0.0,0.0,0.0,16812.066572878593,0.0,88.2038458416315,0.0,0.0,0.0,0.0,0.0,2181.052896484366,4918.6652802432,40.45940847162364,12.623085007083597,3.567330598980288,2615.267590926662,0.0
2002,87069.44472969738,33903.69569142246,3369.9819546696795,410.52312927391165,6899.732711548528,2049.2728802869806,0.0,49917.897527230925,442.61109739659474,0.0,12527.142137882725,0.13352048253418436,0.0,10.449170078110066,0.0,0.0,10221.111540029531,2717.45489657046,1182.2581404329098,0.0,0.0,0.0,16811.455308531185,0.0,87.52313296012547,0.0,0.0,0.0,0.0,0.0,2180.226033562735,5406.670370560584,40.392070434670224,12.623085007083597,3.567330598980288,2608.6361527239783,0.0
