year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,997811.0341054202,326142.8742734743,1.674548320374142,1268.344049367191,359546.8414739344,164322.47425011662,6.4042845158541715,1393876.482723342,55760.65297714683,0.0,2025364.9916788694,80.79213554717978,0.0,4816925.704664193,0.35068738397265253,0.0,901850.4825579331,540222.5285908476,117793.91822807079,232713.74836558712,45978.41873570828,596273.0557312478,1001987.7500552636,135791.28749075782,1190970.6328138069,0.0,19812.626229120677,2.987573364110693,32210.570395782157,0.0,868118.0257927945,18488.8588301016,308460.0958882127,2107.9721964791997,44.41959792769222,704770.5719149979,42743.46347532394
1993,997699.2373875995,326061.6127065507,1.674548320374142,1268.2789396374649,359525.33768801356,164305.54895506985,6.4042845158541715,1393867.6107822105,55760.59730188803,0.0,2025326.4836208727,80.79213554717978,0.0,4816918.349278191,0.35068738397265253,0.0,901842.5137475654,540205.803044542,117793.43622563919,232711.97160449825,45978.36779819733,596267.867119905,1001965.1184793388,135791.28749075782,1190941.7103037927,0.0,19811.900742802118,2.987573364110693,32209.735665822696,0.0,868104.7609330048,18884.738448606295,308455.42907459196,2106.6305233541143,44.41959792769222,704765.6161501227,42743.46347532394
1994,997583.9745309965,325967.86605274095,1.674548320374142,1268.0315038667718,359501.50662387087,164284.96402972995,6.4042845158541715,1393857.4766353567,55760.53668013601,0.0,2025288.055181613,80.79213554717978,0.0,4816909.5710524265,0.35068738397265253,0.0,901834.1799466435,540187.3111559793,117792.90267567929,232710.21422204401,45978.314308795794,596260.4514612961,1001939.2760005711,135791.28749075782,1190911.9835105678,0.0,19811.40668213311,2.987573364110693,32208.95711986686,0.0,868091.7216152368,19311.178503273582,308451.82057966717,2105.624498066363,44.41959792769222,704761.3319512602,42743.46347532394
1995,999934.5055745331,326978.6130096782,1.674548320374142,1286.1455208414682,358729.9944339182,160518.06342264067,6.4042845158541715,1393590.5135424905,55962.12726837811,0.0,2030571.29039494,80.9443646750958,0.0,4823544.884605117,0.35068738397265253,0.0,904129.9361814873,540771.9954307728,117613.47493243535,232883.70717676598,45948.72842444745,596525.1733798282,1002513.2891029371,135791.28749075782,1183666.2011980705,0.0,19828.36501340619,2.987573364110693,32283.81707789712,0.0,859285.0159681102,19731.0216116307,308351.7468455155,2110.3085131647113,44.41959792769222,706019.5856636872,42743.46347532394
1996,1000819.2380020851,327660.9080297374,1.674548320374142,1291.7883501143758,358888.37628111406,160299.52534889054,6.4042845158541715,1393610.5157423222,56007.30715843584,0.0,2021445.4225118966,80.9443646750958,0.0,4824005.176619022,0.35068738397265253,0.0,903994.8985866291,540852.3883629382,117801.42868905858,233632.50873502353,45943.76555837521,599322.3773399439,1003329.1536559189,135791.25112237048,1183169.6780015978,0.0,19867.307600633485,2.987573364110693,32299.795951589145,0.0,857389.6986442835,20149.55586560134,309762.46532616206,2115.2783845300287,44.41959792769222,709119.9819151763,42743.46347532394
1997,1002474.5046661383,328074.2139468149,1.674548320374142,1311.8139110813454,359292.52840137144,160316.25464541756,6.4042845158541715,1393238.6994460698,56064.487025398514,0.0,2014784.5247069378,80.9991646460355,0.0,4823895.07396688,0.35068738397265253,0.0,903539.6345749681,541998.939206782,118153.14388838563,234188.0185478637,45946.671294073356,601057.036590518,1004502.7374457803,135791.14165374028,1181582.561546368,0.0,19902.83658052046,2.987573364110693,32336.62978725624,0.0,856834.5479011046,20569.16778689927,310125.613767643,2117.5260929451492,44.41959792769222,710471.4296025214,42743.46347532394
1998,1003275.2354886436,328503.5320035232,1.674548320374142,1322.0940026952062,359769.1177729808,160157.43024369315,6.4042845158541715,1391412.4753262885,56119.46913113354,0.0,2008218.576321423,80.9991646460355,0.0,4824348.071945597,0.35068738397265253,0.0,902974.1498225401,543582.6677431355,118574.91526346792,234721.9832509892,45978.254838635905,602580.354976688,1006572.7238799566,135791.14165374028,1180739.2023115593,0.0,19950.786334393706,3.0287475915729076,32385.063393834025,0.0,856778.3558168802,21041.833413199976,310112.4239307587,2124.1605635007286,44.41959792769222,711535.6763799925,42743.46347532394
1999,1006909.6922018839,330113.8230784742,1.674548320374142,1356.925914982555,360795.90712573123,158999.90940237656,6.4042845158541715,1386615.2711035726,56266.12122956475,0.0,2000090.7988026012,80.74545988687669,0.0,4822111.885714505,0.35068738397265253,0.0,902524.6801627115,551622.0914946652,121810.2815480508,236757.04936214353,46409.74696665612,607104.9212047681,1011950.8886725835,135791.14165374028,1175084.6257046163,0.0,20049.689000842878,3.0699218190351223,32625.115039940654,0.0,847916.2004983564,21522.014376521394,310497.67303856404,2138.924009220513,44.41959792769222,711504.5310327103,42743.46347532394
2000,1013624.5036352671,332587.3097353592,1.674548320374142,1368.2138544079503,362783.9952057291,161341.25859959683,6.4042845158541715,1385357.625242288,56394.058897870134,0.0,1989147.904941428,80.93328192849319,0.0,4820752.947035021,0.35068738397265253,0.0,902782.4092519141,557541.5719214146,124779.99728333499,238696.49497540158,46536.93174022371,612193.4570849225,1013014.7434454213,135791.10516989572,1161916.8563835716,0.0,20180.832072477755,3.0699218190351223,32922.90528246985,0.0,841408.7588682576,22061.210217714604,311380.9474153663,2144.5867601715595,44.41959792769222,711859.0954982154,42743.46347532394
2001,1014085.0824519288,333099.56594616227,1.7297528486686804,1369.1427523615318,362663.53612677276,159304.42161616034,6.4042845158541715,1386412.2082706369,56611.13980158171,0.0,1985147.9233756072,81.03420445119679,0.0,4826204.577481174,0.35068738397265253,0.0,903643.5835555166,562725.3011206624,123454.47812030291,240161.38387499977,46805.25320126089,614614.9113261861,1015621.9153292638,135791.10516989572,1156397.022847282,0.0,20232.9996578989,3.0699218190351223,33236.03965667661,0.0,833411.7768818961,23679.651940092335,311176.8086308997,2145.3021478396745,44.41959792769222,710574.4331076327,42743.46347532394
