year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,9898.05192410805,291.81483161362127,0.0,624.8857493917546,8023.288976479092,9425.150491783483,4755.930346519215,852.8005096465364,11.51837312439496,215057.09985159148,713.949075270257,0.0,0.0,0.0,0.0,0.0,166.89096008482343,2982.948572506274,553.4338078885221,310723.4246983683,0.0,3448.7853812183585,18479.059117907913,0.0,0.0,0.0,0.0,0.0,3182.7671185610825,400.7911770550268,35546.57101654699,58.26580462866727,0.1898739263465685,175.28046827655683,0.0,2348.9667171016245,0.0
1993,9898.05192410805,291.81483161362127,0.0,624.8857493917546,8023.288976479092,9425.150491783483,4755.930346519215,852.8005096465364,11.51837312439496,215057.09985159148,713.949075270257,0.0,0.0,0.0,0.0,0.0,166.89096008482343,2982.948572506274,553.4338078885221,310723.14227368514,0.0,3448.7853812183585,18479.059117907913,0.0,0.0,0.0,0.0,0.0,3182.7671185610825,400.7911770550268,35546.57101654699,58.54822931181228,0.1898739263465685,175.28046827655683,0.0,2348.9667171016245,0.0
1994,9898.05192410805,291.81483161362127,0.0,624.8857493917546,8023.288976479092,9424.961808498876,4755.930346519215,852.8005096465364,11.51837312439496,215057.00528179292,713.949075270257,0.0,0.0,0.0,0.0,0.0,166.89096008482343,2982.948572506274,553.4338078885221,310723.04728675605,0.0,3448.7853812183585,18479.059117907913,0.0,0.0,0.0,0.0,0.0,3182.7671185610825,400.7911770550268,35546.57101654699,58.92646932406029,0.1898739263465685,175.28046827655683,0.0,2348.9667171016245,0.0
1995,10029.476721799141,333.4892874415927,0.0,624.9808471182374,8088.461296216489,9545.68400477829,3465.6437896986217,826.330253320991,11.51837312439496,215061.6587460783,686.5047587174229,0.0,0.0,0.0,0.0,0.0,157.17215751684267,2987.95188165099,545.932052626832,310798.5992900372,0.0,3449.540181909814,18482.395702628903,0.0,0.0,0.0,0.0,0.0,3170.1163689089394,267.8668293198978,36616.81981840494,59.39910742206911,0.1898739263465685,175.28046827655683,0.0,2336.853032675838,0.0
1996,10154.084062666729,379.2057851973188,0.0,626.5804664487491,8132.571730522339,9572.68747071683,3431.446299903266,932.1421303804661,11.51837312439496,219170.10391614414,667.8499352631266,0.0,0.0,0.0,0.0,0.0,156.33506815162247,2988.896404944295,542.1332949904091,306267.8807530353,0.0,3449.4455138921294,18540.636642654594,0.0,0.0,0.0,0.0,0.0,3231.505024141514,266.3541352159679,36634.59922026978,59.776115191941045,0.1898739263465685,175.28046827655683,0.0,2330.642158540201,0.0
1997,10257.23399973111,426.24813262186217,0.0,629.9646894010168,8204.624549811384,9612.06631933857,3381.665357112823,970.4408097631893,11.51837312439496,222402.66526040682,641.5374433096927,0.0,0.0,0.0,0.0,0.0,151.80547584658214,2988.990809301564,540.8981845075832,302513.07599965995,0.0,3449.3515557487,18763.580430399343,0.0,0.0,0.0,0.0,0.0,3258.180860723713,264.6567792064497,36678.41769350577,60.62493796327564,0.1898739263465685,175.28046827655683,0.0,2338.846839912187,0.0
1998,10386.005077741875,492.57347182517617,0.0,634.8656849658754,8329.885198225455,9697.250735473215,3295.8029550070924,988.4253340328638,11.51837312439496,223309.71324418517,574.2170830665891,0.0,0.0,0.0,0.0,0.0,142.18319729875276,2990.690807782796,540.898409333561,301077.7584217373,0.0,3446.0521831148,19009.840881431654,0.0,0.0,0.0,0.0,0.0,3264.163685602655,261.3515139314933,36841.06356307349,61.09740760799585,0.37890643871531615,175.28046827655683,0.0,2190.848240321549,0.0
1999,10743.304581772045,576.042803354895,0.0,651.7282786631167,8644.890638204433,9865.075423126473,3009.650049295643,1432.2657854601264,11.51837312439496,226164.28296562785,425.92090961470984,0.0,0.0,0.0,0.0,0.0,96.89246786177584,2997.686759053658,532.8872675987889,296011.67302128475,0.0,3434.1784230401922,19998.7269954892,0.0,0.0,0.0,0.0,0.0,3345.393566259477,256.8208429568996,37122.15586106533,62.60693624235367,0.37890643871531615,175.75580507621257,0.0,2162.028182987364,0.0
2000,11448.701849074205,717.64647362389,0.0,667.623872456212,9461.573825559275,10261.099512457282,3070.233465773187,1867.2018971202044,11.51837312439496,228873.7693370391,355.9801847471526,0.0,0.0,0.0,0.0,0.0,87.43279638274237,2999.0107095616204,514.7237851259064,290095.9501826246,0.0,3404.0885299840897,20674.214751670672,0.0,0.0,0.0,0.0,0.0,3401.6639811872888,257.1026222445844,37151.64876566509,63.17297944473469,0.37890643871531615,175.75580507621257,0.0,2161.372237218096,0.0
2001,11701.836025390186,793.2440641321,0.0,672.8853079088085,9813.821386045309,10427.416375480072,3052.5264776387103,1903.4305759318838,11.51837312439496,230120.70782069615,311.40077697744937,0.0,0.0,0.0,0.0,0.0,77.80927242698898,2995.7402048697522,479.5045720541826,287511.73054644244,0.0,3397.1931923171996,21151.864201355016,0.0,0.0,0.0,0.0,0.0,3416.4029440230006,257.6702580682528,37294.10033130954,68.10446982224289,0.37890643871531615,175.6608185934532,0.0,2086.9179425526754,0.0
2002,11815.936121288176,820.31272569348,0.0,679.820122074127,10044.166075075855,10482.223775857274,3071.2490540381045,1829.3660225274048,11.51837312439496,230423.6245164152,236.80882237750146,0.0,0.0,0.0,0.0,0.0,52.02580718366441,2997.8184388063764,476.93078794174994,286618.1939598313,0.0,3386.061619646882,21342.577473784524,0.0,0.0,0.0,0.0,0.0,3420.768677787366,259.36865160047023,37450.20706343647,74.82932073259533,0.37890643871531615,175.7546671384596,0.0,2051.9238607982475,0.0
2003,11891.57203112502,832.2908911545858,0.0,680.7639394357334,10177.253471627135,10515.414221521547,3145.8675874373394,2205.2707565025657,11.51837312439496,231975.8391933643,171.49360071466947,0.0,0.0,0.0,0.0,0.0,47.57754577928407,3006.601656401132,476.83647136496904,284335.083478736,0.0,3377.0044235374244,21377.174063039012,0.0,0.0,0.0,0.0,0.0,3435.397281150985,260.87391538767076,37553.04512944643,79.27476098805391,0.37890643871531615,175.7546671384596,0.0,1989.5784781827808,0.0
2004,11948.001519599533,846.5356554624058,0.0,681.6084106856368,10209.46382750331,10484.703417679062,3245.2575197819915,2615.6074075157603,11.51837312439496,233003.85976867029,105.8249844047486,0.0,0.0,0.0,0.0,0.0,30.548165584596877,3038.6567875392598,473.9350346963181,282730.07588954835,0.0,3372.9501453927546,21411.53298793942,0.0,0.0,0.0,0.0,0.0,3473.2205708224888,262.85688223907505,37542.997860649586,80.4083476362641,0.37890643871531615,176.1349867185918,0.0,1975.7873939662352,0.0
2005,11965.340616367514,849.4633308550601,0.0,681.4210519460186,10220.30904952173,10486.274951983754,3221.182203300728,2886.162146731037,11.51837312439496,234010.07431384787,90.24302965916576,0.0,0.0,0.0,0.0,0.0,26.28909470367001,3042.621295493116,473.08460672876777,281435.86129704176,0.0,3375.1163183025164,21411.418387748618,0.0,0.0,0.0,0.0,0.0,3497.2965657143436,263.5157726956718,37549.20639433331,83.7230333180912,0.37890643871531615,176.1349867185918,0.0,1965.2291170238493,0.0
