year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2932.874006951415,22041.339590798598,0.0,211.41063473448372,817.4835172937599,20.184940773562648,0.0,1.7118585202544432,0.0,428.0247174268763,0.0,0.0,0.0,164.09339282880052,0.0,0.0,0.0,478.0225650063689,366.31537806250844,4124.704194267854,0.0,8.079732017680127,0.0,0.0,66491.57150608842,0.0,5182.17463660412,25.389369613644583,0.0,32.38676511521004,77.04964861903733,1804.666000144154,1810392.8177941835,1616.2131244000254,1384.8828442208005,6267.654968388132,0.0
1993,2927.4597752161385,22040.208220440883,0.0,211.41063473448372,817.3101838100878,20.184940773562648,0.0,1.7118585202544432,0.0,428.0247174268763,0.0,0.0,0.0,164.09339282880052,0.0,0.0,0.0,478.0225650063689,366.31537806250844,4124.704194267854,0.0,8.079732017680127,0.0,0.0,66488.42082061242,0.0,5182.17463660412,25.389369613644583,0.0,32.38676511521004,77.04964861903733,1845.7398462950525,1810364.0936103389,1614.8871990501364,1383.7287283181765,6267.654968388132,0.0
1994,2923.2533953584693,22038.561964761077,0.0,211.41063473448372,817.1388481507635,20.184940773562648,0.0,1.7118585202544432,0.0,428.0247174268763,0.0,0.0,0.0,164.09339282880052,0.0,0.0,0.0,478.0225650063689,366.31537806250844,4124.704194267854,0.0,8.079732017680127,0.0,0.0,66487.01936994528,0.0,5182.17463660412,25.389369613644583,0.0,32.38676511521004,77.04964861903733,1883.0375314632513,1810336.5950647634,1613.9200889956976,1382.3221206447995,6267.654968388132,0.0
1995,2706.4482706964386,22014.377462230692,0.0,225.28831379451367,770.6704737378467,15.081561191063296,0.0,1.7118585202544432,0.0,427.9387490771125,0.0,0.0,0.0,165.95651779541583,0.0,0.0,0.0,399.64251839677854,352.8248804362502,4111.544654039209,0.0,8.079732017680127,0.0,0.0,65736.29065374525,0.0,5187.259815700658,25.389369613644583,0.0,33.149223514037594,77.04964861903733,1924.1036272118945,1811493.6316123165,1622.5286369608507,1381.074414482587,6189.00919196227,0.0
1996,2656.468981861714,22021.62942667906,0.0,225.6915223906772,750.3957104096361,11.424697417852679,0.0,0.6375259024067319,0.0,427.9387490771125,0.0,0.0,0.0,167.15485074602245,0.0,0.0,0.0,339.5596682470741,348.47509103330043,4117.8625132909165,0.0,8.079732017680127,0.0,0.0,65694.0438615342,0.0,5211.738750547655,25.389369613644583,0.0,33.40398303696159,77.22478031973054,1961.9455839859343,1811633.2973955618,1622.8667479717124,1381.3008815072485,6152.521362903434,0.0
1997,2641.9670428365052,22059.378223062733,0.0,228.34985933436346,746.1491419804039,11.879595892040285,0.0,0.6375259024067319,0.0,427.9387490771125,0.0,0.0,0.0,168.17047030908688,0.0,0.0,0.0,227.79578440911416,350.8448131483056,4122.545669227705,0.0,8.079732017680127,0.0,0.0,66272.86663025504,0.0,5223.599910517726,25.389369613644583,0.0,34.42014114804365,77.22478031973054,1996.1992376368903,1811081.1497477978,1635.6957106661023,1375.754236963151,6153.014813936578,0.0
1998,2630.3174748154893,22074.48538486317,0.0,228.00854477092557,734.3926885008576,11.879595892040285,0.0,0.6375259024067319,0.0,427.84956572814696,0.0,0.0,0.0,168.17047030908688,0.0,0.0,0.0,197.77475186424806,365.00383914876426,4123.540296207654,0.0,8.079732017680127,0.0,0.0,66525.45778083526,0.0,5251.605224209877,25.389369613644583,0.0,34.42014114804365,77.22478031973054,2032.4340909955304,1810796.4299086449,1632.4091730264654,1375.9253920698418,6147.615455170231,0.0
1999,2602.3911652650863,22112.94939831725,0.0,227.74259411672065,688.6887050003004,11.879595892040285,0.0,1.183889064488898,0.0,428.6658797254657,0.0,0.0,0.0,168.25998039169957,0.0,0.0,0.0,161.51157607256818,380.4717701575393,4140.513434033911,0.0,8.079732017680127,0.0,0.0,67694.32107336167,0.0,5341.272893903903,25.389369613644583,0.0,34.42014114804365,77.22478031973054,2065.263862913924,1809541.6028094264,1629.5340489437458,1373.5827389174228,6154.101747450277,0.0
2000,2594.6471911984336,22256.52542202731,0.0,231.9293511733445,690.8520048550279,11.879595892040285,0.0,2.364416723041163,0.0,428.84835208745295,0.0,0.0,0.0,168.8606871434421,0.0,0.0,0.0,138.85530855666119,378.0453347522206,4183.353484564286,0.0,8.079732017680127,0.0,0.0,67706.74760652408,0.0,5361.458244037935,25.389369613644583,0.0,35.18393359769586,77.39322645069686,2111.4385028623474,1809289.619044827,1645.0995435903792,1369.183369227293,6153.297464332223,0.0
2001,2492.0328849288785,22250.796957950497,0.0,234.5370515754098,622.8017200527354,8.484238006494863,0.0,2.364416723041163,0.0,428.84835208745295,0.0,0.0,0.0,168.86024364813025,0.0,0.0,0.0,97.25999887093472,301.1258981001696,4178.199738194121,0.0,8.079732017680127,0.0,0.0,67366.53958293458,0.0,5415.792526107242,25.389369613644583,0.0,35.693300570971424,77.05183322997897,2329.2014971028875,1809652.5255398068,1660.3074752850976,1360.4535550789042,6152.705274168052,0.0
