year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,16748.74857299259,16138.069149474079,54.194405311311776,4.410672109958772,11923.48695651229,2272.6434127002103,0.0,20881.783719997016,163.78988233332345,0.0,948.7298554441246,0.0,0.0,1.760697116531534,0.0,0.0,1153.5118725940931,1766.042698618102,42.194208582362386,0.0,0.0,0.0,2718.2103505786654,0.0,19.92737192450262,0.0,0.0,0.0,0.0,0.0,96.60914925889823,646.9364849575868,8.320964720138063,1.751355761911566,0.0,651.0754585894899,0.0
1993,16746.707305894328,16126.311701810955,54.194405311311776,4.410672109958772,11923.008678321245,2272.6434127002103,0.0,20881.783719997016,163.78988233332345,0.0,948.7298554441246,0.0,0.0,1.760697116531534,0.0,0.0,1153.4441846718512,1765.9072347426663,42.194208582362386,0.0,0.0,0.0,2718.2103505786654,0.0,19.92737192450262,0.0,0.0,0.0,0.0,0.0,96.60914925889823,661.4166297076944,8.320964720138063,1.751355761911566,0.0,651.0754585894899,0.0
1994,16744.80845013682,16112.967640898558,54.06198676509894,4.410672109958772,11922.461343953479,2272.6434127002103,0.0,20881.713246288164,163.78988233332345,0.0,948.7298554441246,0.0,0.0,1.760697116531534,0.0,0.0,1153.4441846718512,1765.7039297649712,42.194208582362386,0.0,0.0,0.0,2718.2103505786654,0.0,19.85969378496718,0.0,0.0,0.0,0.0,0.0,96.60914925889823,677.8867104865932,8.250656585472079,1.751355761911566,0.0,650.9398123552278,0.0
1995,16758.677708166393,16115.249983440652,54.13120399516426,4.410672109958772,11955.191399149151,2082.340500656342,0.0,20951.838961487098,164.80388419644444,0.0,956.2627096933023,0.0,0.0,1.8285609272298757,0.0,0.0,1168.1843037210099,1784.8786717248672,42.194208582362386,0.0,0.0,0.0,2734.5303779569344,0.0,19.927856180928448,0.0,0.0,0.0,0.0,0.0,95.19952786810107,691.6704163022163,8.250656585472079,1.751355761911566,0.0,650.8742810716774,0.0
1996,16759.435588802957,16106.637214703243,54.13120399516426,4.410672109958772,11956.572494901768,1999.0922107601011,0.0,20994.44577814007,166.56945824375245,0.0,962.5002448528465,0.0,0.0,1.8285609272298757,0.0,0.0,1180.251601795969,1790.8432553856433,42.194208582362386,0.0,0.0,0.0,2735.2893977420463,0.0,19.85970026000683,0.0,0.0,0.0,0.0,0.0,95.13182364005114,705.0739889167974,8.180533315098728,1.751355761911566,0.0,657.9979467402351,0.0
1997,16764.006846803793,16099.856316729381,54.13120399516426,4.549685333147638,11962.501403530707,1893.4643415143667,0.0,21032.410809616682,168.82557127655747,0.0,980.3972810487105,0.0,0.0,1.8285609272298757,0.0,0.0,1194.5191561253941,1802.5075733396345,42.194208582362386,0.0,0.0,0.0,2738.6317755743453,0.0,19.85970026000683,0.0,0.0,0.0,0.0,0.0,93.32568458312197,717.4637891138362,8.111066343729924,1.751355761911566,0.0,661.8609091171135,0.0
1998,16767.84475152043,16086.91856939616,54.063356451243145,4.549685333147638,11985.5788166924,1868.6265299347156,0.0,20988.439520921584,169.17294675166838,0.0,986.0993861922277,0.0,0.0,1.8285609272298757,0.0,0.0,1196.588340780907,1813.0502773276205,45.5422691300973,0.0,0.0,0.0,2750.232357037319,0.0,19.792506628282613,0.0,0.0,0.0,0.0,0.0,92.79282079518875,733.9106640884503,8.322889796353772,1.751355761911566,0.0,667.0916341102712,0.0
1999,16762.17205913865,16070.861675034124,52.50442951546702,4.549685333147638,11946.547662663404,1606.8280850684973,0.0,21138.848220259384,172.7910011158911,0.0,1032.0827451971763,0.0,0.0,2.4378896339536533,0.0,0.0,1213.368722496071,1872.3794468450515,46.86240146791058,0.0,0.0,0.0,2760.4407767203516,0.0,20.76592673412668,0.0,0.0,0.0,0.0,0.0,90.83799064682734,752.5428569008345,8.673556729354074,1.751355761911566,0.0,684.9507523150668,0.0
2000,16781.732121870155,16059.149303256509,52.57251090960434,4.549685333147638,12000.66769373369,1603.8794682465016,0.0,21032.318233193553,172.85664302028619,0.0,1033.3238709716823,0.0,0.0,2.505665558491038,0.0,0.0,1213.3688642077395,1881.4070213142263,47.55726291936182,0.0,0.0,0.0,2766.6748049966577,0.0,20.696424876948928,0.0,0.0,0.0,0.0,0.0,90.83799064682734,771.1903089681351,10.345775933953133,1.751355761911566,0.0,694.8122338578241,0.0
2001,16763.18381170302,16040.753635693747,52.50599077278161,4.549685333147638,11950.472239131312,1063.6245616102542,0.0,21566.24020518022,177.9553875327524,0.0,1041.8854256965608,0.0,0.0,2.505665558491038,0.0,0.0,1233.7370725541857,1927.4999415434377,41.286277877408544,0.0,0.0,0.0,2764.6653469027237,0.0,20.422288770179517,0.0,0.0,0.0,0.0,0.0,90.2323486562702,794.7220394944127,10.416443479329198,1.751355761911566,0.0,693.7875163250454,0.0
2002,16757.83453499882,16011.379560659487,52.43977983177498,4.549685333147638,11943.106797689403,942.3594289938763,0.0,21675.822721444838,179.68185456586292,0.0,1044.0085092969298,0.0,0.0,2.641347629146951,0.0,0.0,1238.0551448382232,1941.394673759307,40.444252826026535,0.0,0.0,0.0,2764.462660009796,0.0,20.422288770179517,0.0,0.0,0.0,0.0,0.0,90.2323486562702,827.0489076646992,11.18121923399679,1.751355761911566,0.0,693.3801676135192,0.0
2003,16741.46493576292,15979.711214207498,52.43977983177498,4.549685333147638,11928.285376555905,773.50318884198,0.0,21848.814167803564,180.9317804580044,0.0,1047.1348096600236,0.0,0.0,2.641347629146951,0.0,0.0,1242.9194552669492,1956.989481299993,35.42427286793078,0.0,0.0,0.0,2763.9825515259613,0.0,20.49344718485021,0.0,0.0,0.0,0.0,0.0,90.1651385990397,865.5592242220802,11.18121923399679,1.751355761911566,0.0,694.2548075305355,0.0
2004,16732.505290993497,15946.256044333546,52.30746461389629,4.549685333147638,11936.531863057753,661.495859862875,0.0,21924.278364313595,181.41092460161505,0.0,1054.1897483628718,0.0,0.0,2.709126809970951,0.0,0.0,1246.6158527910125,1979.076860354049,29.211254302773728,0.0,0.0,0.0,2762.384733272194,0.0,20.49344718485021,0.0,0.0,0.0,0.0,0.0,90.23460937579974,909.545577652128,11.110898585579863,1.751355761911566,0.0,695.5382780141691,0.0
2005,16732.827108725993,15937.411666477828,52.30746461389629,4.549685333147638,11938.672411154628,635.9510171090415,0.0,21938.52864491956,181.4802740836827,0.0,1055.1587876994138,0.0,0.0,2.709126809970951,0.0,0.0,1247.240245697939,1983.2273685438,27.210074965545825,0.0,0.0,0.0,2761.9657113488183,0.0,20.357593511558775,0.0,0.0,0.0,0.0,0.0,90.57259207027961,924.109966999882,11.040487301252059,1.751355761911566,0.0,695.1256564490794,0.0
2006,16724.406423964934,15923.73789369376,52.30746461389629,4.549685333147638,11928.04573291896,528.3643570660389,0.0,22054.51381643065,181.6194517542942,0.0,1055.0591358574661,0.0,0.0,2.709126809970951,0.0,0.0,1249.1207665346815,1991.9692123683935,25.31751184909901,0.0,0.0,0.0,2761.0640451218837,0.0,20.153167856541195,0.0,0.0,0.0,0.0,0.0,90.6402376154147,940.8377656915519,10.971010815987862,1.751355761911566,0.0,695.0590775186662,0.0
2007,16714.467310271466,15905.473278156524,52.30746461389629,4.549685333147638,11918.620279315464,440.2922275477493,0.0,22161.127101189682,181.82781388609817,0.0,1058.6319504102098,0.0,0.0,2.709126809970951,0.0,0.0,1251.8371554033026,2007.3863468886354,11.287710169179658,0.0,0.0,0.0,2751.495064080294,0.0,19.53652285500487,0.0,0.0,0.0,0.0,0.0,91.24208106172398,964.4424766600515,11.462150227663313,1.751355761911566,0.0,691.7501389352516,0.0
2008,16683.90470939381,15889.685652326561,52.24125700869009,4.549685333147638,11865.906350202727,255.9937904658776,0.0,22373.742245143425,183.14457452451413,0.0,1066.0763937833776,0.0,0.0,2.709126809970951,0.0,0.0,1255.319095196913,2059.167996468855,4.105875542028783,0.0,0.0,0.0,2745.7176816419005,0.0,19.119689316747188,0.0,0.0,0.0,0.0,0.0,91.85165379728147,985.9683459482599,11.322381252566386,1.751355761911566,0.0,689.9193796586476,0.0
2009,16674.987817127854,15875.600867291465,52.24125700869009,4.549685333147638,11854.76034467216,209.93986150320896,0.0,22417.8799813111,183.5616996816868,0.0,1069.126883934933,0.0,0.0,2.709126809970951,0.0,0.0,1256.930686963579,2073.969933670156,4.035862212744953,0.0,0.0,0.0,2742.998676122214,0.0,18.151119761420677,0.0,0.0,0.0,0.0,0.0,91.58301725740466,1005.6325380589433,11.600350623953299,1.751355761911566,0.0,690.1861744706644,0.0
2010,16670.072359216414,15854.587146149477,52.24125700869009,4.479292789516058,11849.831186970938,194.49002625374308,0.0,22434.461197852914,183.56325564053557,0.0,1068.5792450472559,0.0,0.0,2.6412629992726093,0.0,0.0,1257.1396263802524,2078.2551128781556,3.9663888986160076,0.0,0.0,0.0,2741.950435751063,0.0,17.94271567585259,0.0,0.0,0.0,0.0,0.0,91.78612018770471,1031.7932346833315,11.811281052844228,1.751355761911566,0.0,690.8547383787244,0.0
2011,16665.645844263134,15838.524535147253,52.310198327669106,4.4089283702421955,11850.59060816385,185.00433844158772,0.0,22441.904646501007,183.56325564053557,0.0,1066.931031101495,0.0,0.0,2.5733796745989905,0.0,0.0,1257.1405982394888,2078.3439828055875,3.896133971514601,0.0,0.0,0.0,2740.8990220950254,0.0,17.94271567585259,0.0,0.0,0.0,0.0,0.0,91.98827387153864,1055.299496566747,11.811281052844228,1.751355761911566,0.0,691.6676139053206,0.0
2012,16663.254831698086,15814.548499310707,52.310198327669106,4.4089283702421955,11858.252209016478,184.81176094406973,0.0,22419.628089069567,183.3549435773315,0.0,1063.0036904888257,0.0,0.0,2.5733796745989905,0.0,0.0,1255.0132064606594,2092.8610094372875,3.896133971514601,0.0,0.0,0.0,2741.3863341896285,0.0,17.94271567585259,0.0,0.0,0.0,0.0,0.0,91.98827387153864,1086.59867475479,12.445160569866013,1.751355761911566,0.0,692.1678444065773,0.0
2013,16658.572448422023,15737.510543118844,52.310198327669106,4.4089283702421955,11859.911608607292,181.59439547927204,0.0,22419.83833663722,183.14755102671896,0.0,1061.2712856489775,0.0,0.0,2.5733796745989905,0.0,0.0,1254.736773528403,2093.665793524449,3.896133971514601,0.0,0.0,0.0,2741.053352090975,0.0,17.806801773428486,0.0,0.0,0.0,0.0,0.0,91.98827387153864,1171.5419342822358,12.515590588932303,1.751355761911566,0.0,692.1025548709481,0.0
2014,16636.80456136682,15639.202609987717,52.310198327669106,4.4089283702421955,11841.172477165303,160.4348681972904,0.0,22471.55643902958,183.14937117153457,0.0,1056.9630802587376,0.0,0.0,2.5733796745989905,0.0,0.0,1253.9264314311638,2097.3512545493654,2.435565175733037,0.0,0.0,0.0,2736.598241085753,0.0,17.806801773428486,0.0,0.0,0.0,0.0,0.0,91.85489406348789,1283.6800236668853,12.515590588932303,1.751355761911566,0.0,695.7011679310565,0.0
2015,16631.503721265333,15591.325644737846,52.310198327669106,4.4089283702421955,11840.28362612455,160.3670011346085,0.0,22471.418549899783,183.14937117153457,0.0,1056.8952457320029,0.0,0.0,2.5733796745989905,0.0,0.0,1253.9264314311638,2096.9425375537085,2.435565175733037,0.0,0.0,0.0,2735.7026120931355,0.0,17.806801773428486,0.0,0.0,0.0,0.0,0.0,91.85489406348789,1339.3922949060232,12.515590588932303,1.751355761911566,0.0,695.633489791521,0.0
