year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,18060.594593618014,7819.540905724113,0.0,0.18870382014075535,12219.359540081088,10369.270432558156,5100.848489094981,576.9666254388978,0.0,13058.093244936477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.8437226112658,513.4790238397203,857.9065925172538,0.0,29.496381750841913,46.06477080657856,0.0,0.0,0.0,0.0,0.0,7.065444388730691,1888.7411336794687,321.3098467931976,88.14000912863148,3.489387854649858,41.76946469698071,0.0,4157.429823111618,0.0
1993,18060.217170388518,7819.540905724113,0.0,0.18870382014075535,12219.359540081088,10369.175924632285,5100.848489094981,576.9666254388978,0.0,13057.904115903792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.749049381871,513.0064637034609,857.6230943846896,0.0,29.496381750841913,46.06477080657856,0.0,0.0,0.0,0.0,0.0,7.065444388730691,1888.5523371762588,321.3098467931976,89.84059731811035,3.489387854649858,41.76946469698071,0.0,4157.429823111618,0.0
1994,18060.122718516788,7819.540905724113,0.0,0.18870382014075535,12219.359540081088,10368.892647315412,5100.848489094981,576.9666254388978,0.0,13057.904115903792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.749049381871,512.9119461689966,857.3395552255078,0.0,29.496381750841913,46.06477080657856,0.0,0.0,0.0,0.0,0.0,7.065444388730691,1888.5523371762588,321.3098467931976,90.59638320035825,3.489387854649858,41.76946469698071,0.0,4157.429823111618,0.0
1995,18108.134923567854,7792.84840437636,0.0,0.18870382014075535,12233.804579263127,10294.700816010822,5151.7630655604635,529.9623619406927,0.0,13058.472875732223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.1670003269123,513.4797871783405,859.3224658054024,0.0,29.496381750841913,46.06477080657856,0.0,0.0,0.0,0.0,0.0,7.065444388730691,1923.4549580779328,311.28016574659586,91.06867842479963,4.055189636340904,41.86376641429831,0.0,4161.403797622346,0.0
1996,18117.01457083894,7778.381630602453,0.0,0.18870382014075535,12236.921359567787,10254.06406109642,5181.231051334562,524.7800977147355,0.0,13059.513933056869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.9240451904348,513.4797606115451,859.6047117215613,0.0,29.496381750841913,45.97034489597165,0.0,0.0,0.0,0.0,0.0,7.537396197605282,1945.2027175919218,294.54116032020306,92.29661540106042,4.432272860482589,42.14657649332441,0.0,4170.870745383945,0.0
1997,18139.182802269766,7756.823008902422,0.0,0.18870382014075535,12252.200251345417,10176.768285849485,5234.774837155577,493.8859951875517,0.0,13059.044191393969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.8151541880268,515.0880426445901,861.3010137810367,0.0,29.496381750841913,45.97034489597165,0.0,0.0,0.0,0.0,0.0,7.537396197605282,1993.990163338286,275.5266142888869,92.86314590451693,4.432272860482589,42.14657649332441,0.0,4174.5629541829,0.0
1998,18156.649692077124,7741.505349566356,0.0,0.18870382014075535,12261.830886855361,10156.694256132341,5241.95739877196,472.39235971263344,0.0,13056.500804248331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.6802691158923,515.8448360555152,863.094021622644,0.0,29.496381750841913,45.97034489597165,0.0,0.0,0.0,0.0,0.0,8.00916619196041,2016.1214314495285,265.50359002371806,93.99639902495102,4.997843991052184,42.146561539659764,0.0,4177.017839604815,0.0
1999,18206.12198812124,7697.806613776278,0.0,0.18870382014075535,12302.154234024643,10120.621921995227,5394.570707126262,354.1751387933356,0.0,12985.924628128983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.10797841768,516.1287705430807,873.8415644536427,0.0,29.873507240918027,45.87584473228415,0.0,0.0,0.0,0.0,0.0,8.00916619196041,2034.9211277720108,248.03936346610735,95.31953989526767,4.997843991052184,44.50351542051808,0.0,4180.41597854017,0.0
2000,18243.723667858885,7669.2108362213285,0.0,0.18870382014075535,12337.678242639755,10142.93068865707,5411.346886423845,261.70648852868567,0.0,12938.645798293031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.9255116288803,509.02905405369074,882.2243405796914,0.0,30.062018387358847,45.68701308744506,0.0,0.0,0.0,0.0,0.0,8.480840224264174,2088.250109783523,203.8676551938369,97.8710252172891,5.092184418899454,44.50351542051808,0.0,4181.173556012659,0.0
2001,18278.060228542578,7669.456968368908,0.0,0.18870382014075535,12371.538885523509,10178.409688932767,5380.930788329591,178.70044624913317,0.0,12914.80534847764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.619890554825,508.9345298881374,888.7322153349488,0.0,30.156166136743323,46.06486610001311,0.0,0.0,0.0,0.0,0.0,8.575054419154275,2103.6591147077625,194.22050515998635,104.38173710459695,5.186443142260921,44.50351542051808,0.0,4179.473040237579,0.0
