year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3760.9814711961044,13457.704528156166,31.081038690092235,0.0,2947.1819960209355,624.8406156208224,0.0,12373.727944234117,58.86323413470661,0.0,5091.5660702142,0.0,0.0,0.0,0.0,0.0,3683.6579801648004,1710.5972943314034,31.565663702934213,0.0,0.0,0.0,1826.9082519237747,0.0,18.272850386945137,0.0,0.0,0.0,0.0,0.0,18.178257041331538,1023.899008347371,23.20999623520318,15.40964114583656,0.0,240.39140780810249,0.0
1993,3759.715389358251,13440.75242415918,31.081038690092235,0.0,2946.9315994855137,624.6520122575497,0.0,12372.336615374,58.86323413470661,0.0,5091.1886136170015,0.0,0.0,0.0,0.0,0.0,3683.5323126889375,1710.5343630541229,31.565663702934213,0.0,0.0,0.0,1826.7826540749681,0.0,18.272850386945137,0.0,0.0,0.0,0.0,0.0,18.178257041331538,1044.6391761401653,23.20999623520318,15.40964114583656,0.0,240.39140780810249,0.0
1994,3758.575716728676,13424.41710558448,31.081038690092235,0.0,2946.744431254311,624.5891784263068,0.0,12371.580666580505,58.86323413470661,0.0,5090.814706636795,0.0,0.0,0.0,0.0,0.0,3683.3443521423414,1710.4720532186243,31.565663702934213,0.0,0.0,0.0,1826.6569585538389,0.0,18.209329965896238,0.0,0.0,0.0,0.0,0.0,18.178257041331538,1064.0594018849558,23.20999623520318,15.283750765746259,0.0,240.39140780810249,0.0
1995,3743.359206751247,13464.667297413867,31.334003165100825,0.0,2923.6817230485776,449.5953103686478,0.0,12454.849651599834,59.42769240146534,0.0,5083.009249369581,0.0,0.0,0.0,0.0,0.0,3725.7438491008843,1725.5534866518485,31.50319282367632,0.0,0.0,0.0,1838.7830308554621,0.0,18.082756619541527,0.0,0.0,0.0,0.0,0.0,17.34630890770773,1091.4609325767035,23.20999623520318,15.283750765746259,0.0,241.1458106997485,0.0
1996,3742.0765471171007,13450.740077938288,31.334003165100825,0.0,2912.2118104958868,401.7921339295313,0.0,12477.474242056374,59.42769240146534,0.0,5075.9128077054675,0.0,0.0,0.0,0.0,0.0,3738.087193064876,1730.248248419537,31.50319282367632,0.0,0.0,0.0,1850.1657438677585,0.0,18.145115499109806,0.0,0.0,0.0,0.0,0.0,16.51440871858012,1119.066056446014,24.706850974710044,15.283750765746259,0.0,243.34737396561587,0.0
1997,3735.6827920158357,13436.757281871649,31.334003165100825,0.0,2915.3335761468734,391.31997312559787,0.0,12459.411575391465,59.42769240146534,0.0,5067.647935328268,0.0,0.0,0.0,0.0,0.0,3739.9060260321244,1734.191448198732,31.6904515333742,0.0,0.0,0.0,1859.5335086772402,0.0,18.331567716205726,0.0,0.0,0.0,0.0,0.0,16.258498842309443,1156.495098902999,24.95651406649228,15.283750765746259,0.0,244.47555517336585,0.0
1998,3736.3470351061264,13398.901531463887,31.334003165100825,0.0,2929.7969557746947,366.45671050937875,0.0,12428.045585901911,59.490630637812195,0.0,5063.963088106329,0.0,0.0,0.0,0.0,0.0,3743.6606652874266,1740.0825440011972,32.00389703673333,0.0,0.0,0.0,1872.866496031221,0.0,18.330866696921962,0.0,0.0,0.0,0.0,0.0,16.321235111727184,1211.7070935549862,25.205907564468014,15.283750765746259,0.0,248.23925263917673,0.0
1999,3711.763284595426,13371.466418882363,31.334003165100825,0.0,2942.5891577065076,323.97757753609466,0.0,12420.410018018578,59.490630637812195,0.0,5056.0966756568205,0.0,0.0,0.0,0.0,0.0,3748.6855143808784,1756.5965607811656,32.318569727908596,0.0,0.0,0.0,1896.0726940858785,0.0,18.32994792687694,0.0,0.0,0.0,0.0,0.0,16.001182153195618,1263.9915691654535,25.51799255247403,15.283750765746259,0.0,248.1117016165622,0.0
2000,3701.89345390639,13331.223880085827,31.397128986377773,0.0,2959.6139928401158,294.7348028377141,0.0,12410.089728792327,59.42737653185704,0.0,5055.673503308897,0.0,0.0,0.0,0.0,0.0,3754.753461003421,1765.1962872207475,32.6347405625617,0.0,0.0,0.0,1901.789854896604,0.0,18.32994792687694,0.0,0.0,0.0,0.0,0.0,16.001182153195618,1316.3034083233522,25.70527224986747,15.221346365482866,0.0,248.04788136322645,0.0
2001,3693.8661232840236,13296.140244482656,30.37907403639611,0.0,2969.4972827854767,269.10291513718084,0.0,12407.77686777513,59.55178931684012,0.0,5049.823487082294,0.0,0.0,0.0,0.0,0.0,3756.1352305932123,1773.8783256106574,25.446324993800364,0.0,0.0,0.0,1905.9467070656772,0.0,18.263114304542768,0.0,0.0,0.0,0.0,0.0,15.937251899766974,1377.196979141612,25.892520443458174,15.221346365482866,0.0,247.98166503663145,0.0
2002,3688.5407785947145,13190.71495498163,30.314948817592224,0.0,2972.856161602172,256.1676717366604,0.0,12409.355150123944,59.55178931684012,0.0,5041.331800094786,0.0,0.0,0.0,0.0,0.0,3755.7582239736835,1780.5307851636103,19.2142178142449,0.0,0.0,0.0,1907.7685415008145,0.0,18.137541573102457,0.0,0.0,0.0,0.0,0.0,16.12419191650099,1502.7649480855168,25.892520443458174,15.221346365482866,0.0,247.7916772500812,0.0
2003,3675.4526308934824,13036.157053109193,30.314948817592224,0.0,2964.776841868909,192.87908223734294,0.0,12464.716247247008,59.80442096163407,0.0,5039.891380720398,0.0,0.0,0.0,0.0,0.0,3758.6594497798083,1787.3184060667054,17.144149321848943,0.0,0.0,0.0,1903.2561048926802,0.0,17.56728269364549,0.0,0.0,0.0,0.0,0.0,16.060388864857707,1684.5086368450588,25.892520443458174,15.221346365482866,0.0,248.41635822574383,0.0
2004,3658.5636899048877,12878.798640761193,30.314948817592224,0.0,2969.006179790571,183.35250477729286,0.0,12440.979914981785,59.80442096163407,0.0,5028.501360493031,0.0,0.0,0.0,0.0,0.0,3757.908308342159,1801.0376246161359,18.145074527016675,0.0,0.0,0.0,1911.569684878153,0.0,17.31454026352359,0.0,0.0,0.0,0.0,0.0,16.060388864857707,1877.149742340315,25.892520443458174,15.221346365482866,0.0,248.41635822574383,0.0
2005,3662.9323737836044,12879.99245953291,30.314948817592224,0.0,2971.3756634399238,168.72242441870588,0.0,12449.881891940373,59.80442096163407,0.0,4978.825577003996,0.0,0.0,0.0,0.0,0.0,3757.097610651562,1815.8547367623307,18.64281272975764,0.0,0.0,0.0,1942.3492466052037,0.0,17.626803699814324,0.0,0.0,0.0,0.0,0.0,16.872065379695776,1878.2139885930494,25.892520443458174,15.221346365482866,0.0,248.41635822574383,0.0
