year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,569.357028510105,1.1295035937619216,0.0,3967.5727417069256,213.66613346216198,892.5169115340032,0.0,0.2831967997171501,17.75885014546035,527.7049152100844,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6670.471195104517,14538.286531292904,69712.09251301197,0.0,0.0,13759.215830907899,0.0,9724.742227885292,0.0,9069.212828651518,883.0979419965031,0.0,0.18734018100207983,112.24138053759458,63.79909602943747,31269.59981319969,1669.8349991976206,2.629214633807983,2835.927620944389,0.0
1993,569.357028510105,1.1295035937619216,0.0,3967.478785919637,213.66613346216198,892.3289034873624,0.0,0.2831967997171501,17.75885014546035,527.7049152100844,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6670.471195104517,14538.09858272137,69712.09251301197,0.0,0.0,13758.933502724893,0.0,9724.742227885292,0.0,9069.212828651518,883.0979419965031,0.0,0.18734018100207983,112.24138053759458,64.64512672740895,31269.506023090187,1669.8349991976206,2.629214633807983,2835.927620944389,0.0
1994,569.357028510105,1.1295035937619216,0.0,3967.384829321789,213.57220781777693,892.3289034873624,0.0,0.2831967997171501,17.75885014546035,527.7049152100844,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6670.471195104517,14538.09858272137,69711.90415024989,0.0,0.0,13758.745294178778,0.0,9724.647837114537,0.0,9069.212828651518,883.0979419965031,0.0,0.18734018100207983,112.24138053759458,65.49173965467575,31269.41223127196,1669.741022409767,2.629214633807983,2835.927620944389,0.0
1995,569.357028510105,1.1295035937619216,0.0,3967.2908735345004,213.57220781777693,892.2349026532944,0.0,0.2831967997171501,17.75885014546035,527.7049152100844,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6670.471195104517,14543.770401834825,69711.90415024989,0.0,0.0,13759.11450761071,0.0,9833.191212510088,0.0,9154.60307298104,891.0991155148297,0.0,0.18734018100207983,112.24138053759458,65.96186684139003,31059.651300737463,1671.243956590113,2.629214633807983,2835.927620944389,0.0
1996,569.8269895116405,1.1295035937619216,0.0,3967.102827314828,213.66619905716365,892.0468905927827,0.0,0.2831967997171501,17.75885014546035,527.7049152100844,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6670.471195104517,14473.920660389242,69711.62253594585,0.0,0.0,13756.386761599102,0.0,9836.582023490851,0.0,9168.53414752805,892.0380393645175,0.0,0.18734018100207983,112.24138053759458,67.56003164970564,31110.86600510242,1672.8414858398921,2.629214633807983,2835.927620944389,0.0
1997,569.8269895116405,1.1295035937619216,0.0,3967.102827314828,213.66619905716365,891.9528929534068,0.0,0.2831967997171501,17.75885014546035,527.7049152100844,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6670.377282588725,14457.092019403224,69711.43499606989,0.0,0.0,13757.231556813118,0.0,9844.077226399555,0.0,9172.771280774981,892.9785758672926,0.0,0.18734018100207983,112.24138053759458,69.25353453649446,31112.858925360342,1672.8414858398921,2.629214633807983,2835.927620944389,0.0
1998,569.8269895116405,1.1295035937619216,0.0,3967.102827314828,214.32414332472885,892.4228443428078,0.0,0.2831967997171501,17.75885014546035,527.6109279776647,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6670.377282588725,14249.02119557978,69711.43499606989,0.0,0.0,13750.896344820285,0.0,9880.442848021521,0.0,9192.735396464677,898.898314454055,0.0,0.18734018100207983,112.24138053759458,70.09928291994349,31258.346158331264,1677.6311559788383,2.629214633807983,2835.927620944389,0.0
1999,575.8462684121494,1.2235986228670939,0.0,4081.6867859098916,215.64067871625303,898.9113796633754,0.0,0.3771768052386243,17.75885014546035,527.5169399435747,1704.9977659058882,0.0,0.0,0.0,0.0,0.0,0.0,6692.986851108044,12932.923681660464,69701.16539686533,0.0,0.0,13696.709197525215,0.0,10220.481966613022,0.0,9304.695901512885,916.0048759966013,0.0,0.18734018100207983,112.24138053759458,71.60325750536703,32010.68922313657,1684.1202280972445,2.629214633807983,2835.927620944389,0.0
2000,575.940762898967,1.3176500903328767,0.0,4087.8034375838774,215.82867958597885,900.039395253894,0.0,0.3771768052386243,17.75885014546035,527.5169399435747,1705.2793559199336,0.0,0.0,0.0,0.0,0.0,0.0,6692.892585163627,12540.368430092054,69700.13225612605,0.0,0.0,13635.001787559258,0.0,10497.346292960412,0.0,9362.34359621884,922.9590263439394,0.0,0.18734018100207983,112.24138053759458,73.76451186617108,32103.270368099573,1695.3989214883313,2.629214633807983,2835.927620944389,0.0
2001,578.2919688020593,1.693637158457293,0.0,4104.365787879246,214.8840118119461,901.4516378631705,0.0,0.7531241305853199,17.75885014546035,527.5169399435747,1705.2793559199336,0.0,0.0,0.0,0.0,0.0,0.0,6733.922825273138,11497.399796356056,69689.38044421122,0.0,0.0,13527.614444352725,0.0,10748.189011932629,0.0,9439.56541983307,942.7797707571884,0.0,0.18734018100207983,112.24138053759458,76.02305439030361,32829.41550646018,1719.0544369245063,2.629214633807983,2835.927620944389,0.0
