year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,33555.94859274779,74346.55311031122,3555.3320421803664,4628.217453810854,9290.024811519466,34323.84413596217,5780.661108106535,48595.69728060938,2448.673784685412,12718.135090093567,8.464641159210794,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34173.733447318424,8959.363214094647,618711.3450636042,0.0,639.8239566800685,210549.37827474493,0.0,93163.67034981734,0.0,0.0,4.840962130127123,4.206805468271191,428.30350535738467,2476.2135804730146,3063.7756638399333,5511.542881470711,1.100468300181929,295.1815183160132,11130.78748901294,0.0
1993,33555.04735344089,74346.47295746749,3554.9232435005656,4627.794716474604,9288.337737613532,34322.14783798617,5780.502911174656,48593.186335335595,2448.673784685412,12715.949091592965,8.464641159210794,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34149.87329408353,8957.422976591937,618680.8271030309,0.0,639.8239566800685,210538.294732512,0.0,93162.99863206502,0.0,0.0,4.840962130127123,4.206805468271191,428.30350535738467,2475.334065393495,3148.928561483292,5507.217867033523,1.100468300181929,295.1815183160132,11128.96417293743,0.0
1994,33554.37388908966,74346.38613258614,3554.6792102856944,4626.960972616617,9287.59049652278,34320.29728743454,5780.255367391601,48591.61998677955,2448.673784685412,12713.774970881237,8.464641159210794,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34126.0036585837,8955.059957312485,618654.7272069762,0.0,639.8239566800685,210526.50149074142,0.0,93162.2311799968,0.0,0.0,4.840962130127123,4.206805468271191,428.30350535738467,2474.621267931843,3227.6234471638027,5504.400660241792,1.100468300181929,295.1815183160132,11127.116407181898,0.0
1995,33636.036259000015,74495.13643422394,3557.158140685238,4638.180844106379,9245.864113834907,34297.14365232851,5783.628561571653,47928.7032465026,2453.5614429131897,12732.432160597495,5.366612905092676,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34117.816590505965,8903.017651779115,618725.315558787,0.0,639.8953008264759,210816.0853222817,0.0,93208.02451050084,0.0,0.0,4.758370149723744,4.206805468271191,428.70929124020563,2473.493717476777,3309.071824542445,5526.3633970896835,8.422321940508711,295.1815183160132,11131.245582240792,0.0
1996,33685.12981652211,74538.56034763534,3558.1973179953084,4641.356786029308,9184.87125009384,34324.24194091071,5784.000779202916,47585.003926846104,2455.847679884413,12738.421358529029,5.445779898492966,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34107.72936976108,8863.439226453662,618730.1112221469,0.0,640.1510511389359,211008.57046534485,0.0,93212.90711852671,0.0,0.0,4.430852505149101,5.313152087694167,429.1229721706825,2473.0398468424546,3386.7112700954863,5547.973753611795,13.529618337791323,295.1815183160132,11145.530810926932,0.0
1997,33766.68637209131,74589.62110486116,3570.6698053002915,4656.243262138232,9162.127345237353,34376.91599572812,5783.902236692941,46921.012841757445,2456.56804204057,12738.324914245519,2.90463455582831,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34097.948878169846,8848.042569243875,618777.1753824039,0.0,640.238124030949,211383.90191777845,0.0,93170.187987617,0.0,0.0,4.430852505149101,5.551916669855475,429.2033926233422,2472.903586997507,3456.4860911775518,5568.82158052151,18.444289341609917,295.1815183160132,11171.324589770324,0.0
1998,33883.898384216394,74681.93468250554,3582.35905233391,4683.934533640646,9101.790970207569,34489.1162235763,5783.651741179189,45939.63192088896,2457.7357493902346,12740.41145860843,1.9503735153009685,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34118.46816473962,8801.227359837256,618930.7617290624,0.0,641.4977569962589,211839.67838347636,0.0,93139.3667742857,0.0,0.0,4.430852505149101,5.551916669855475,429.2033926233422,2473.3114220610455,3524.9499358641942,5609.156949331319,20.910018375404636,295.1815183160132,11184.707967607605,0.0
1999,34365.63850469843,74934.05382475899,3624.0102143563204,4794.342899879485,9044.946357758845,35233.083122131255,5775.358735135535,40627.03510203624,2460.3093512892583,12726.144811067492,1.9503735153009685,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34381.630023291684,8817.121272292628,621119.4304491512,0.0,648.1003504951051,213149.2629269031,0.0,92992.67928639147,0.0,0.0,4.430852505149101,5.718049626586632,431.12357669412177,2487.165789113206,3583.23322662164,5732.950858320228,27.03762513011167,295.353452267534,11102.708196384321,0.0
2000,35012.81866174971,75505.1935652912,3662.8644118620628,4944.1776461437785,8989.981689054364,35790.12338729427,5753.480162018089,38393.97371392998,2460.955176986049,12724.530608862766,0.9972958634596448,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34549.97158221575,8697.671530794625,621489.2116231135,0.0,650.321573722583,213129.49986325094,0.0,92813.9192229684,0.0,0.0,4.512887339785273,5.876615935231414,431.0421581587758,2494.39549770185,3654.901954853807,5767.475347915512,27.03762513011167,295.87272442025414,11114.012705236444,0.0
2001,35295.044231206404,75654.25516979276,3677.1054195676215,4997.348281367938,8952.691387156683,35777.48367184233,5788.844373776776,37335.91926074118,2465.783145059241,12781.330967680204,0.9972958634596448,0.0,0.0,1.3012104058519491,0.0,0.0,0.0,34546.57344868281,8613.297618911265,621685.5151471304,0.0,651.4493761339774,213387.28038757064,0.0,92636.78711880046,0.0,0.0,4.512887339785273,11.635813937421764,431.88010430599695,2495.92543234645,3927.609785576211,5816.187598010313,27.03762513011167,295.9590609207217,11106.364622962152,0.0
