year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,34566.02129306658,99730.98486737096,40703.661151570916,23709.210899881487,21333.141807356507,44437.75216342744,0.0,46561.091875018596,0.7665335331482042,0.0,41393.31112214323,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1280.1707095687723,65429.512190315516,587.8855155888313,21160.71962325115,0.0,180.06721579713783,28326.600463342776,0.0,7480.9530989502,0.0,0.0,4224.723450561207,0.0,0.30834458623127,479.81922367474607,2707.4200352604403,2029.0683421750568,277.1844371921296,34.1033057907724,15170.996798568985,0.0
1993,34540.13330110026,99724.38890605376,40697.291696634864,23706.413457940307,21328.64323164434,44431.929138427426,0.0,46558.53377637272,0.7665335331482042,0.0,41391.48451387921,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1280.1707095687723,65427.3383497842,587.8855155888313,21160.35448643384,0.0,180.06721579713783,28321.629504061686,0.0,7477.425465080488,0.0,0.0,4223.991943911255,0.0,0.30834458623127,478.8255489595234,2781.4517112388007,2026.045038451563,277.1844371921296,34.1033057907724,15169.108335961553,0.0
1994,34513.76374362966,99718.75224084477,40688.25136255062,23704.20171959135,21325.77428481012,44427.03849310317,0.0,46556.00220797104,0.7665335331482042,0.0,41389.963091410915,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1280.1707095687723,65425.116148116664,587.8855155888313,21159.53552708834,0.0,180.06721579713783,28316.062306440977,0.0,7473.0451745512,0.0,0.0,4223.552099646155,0.0,0.30834458623127,478.06889622213663,2855.5589827981107,2022.949564427116,277.11443329316194,34.1033057907724,15167.42256663238,0.0
1995,34727.27781768386,100006.97150890247,40831.77301341557,23799.160723332225,21402.36485400066,44485.956219453255,0.0,46269.90871055802,0.7665335331482042,0.0,41185.898260279755,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1287.5082938480803,64886.42467064179,543.0550138057877,21309.280966810868,0.0,183.9770620850069,28464.866805034064,0.0,7244.966750403263,0.0,0.0,4244.6313376522985,0.0,0.30834458623127,478.2728558648707,2943.823609613246,2036.504074191094,278.2584233568506,34.25370073690173,15159.264918203628,0.0
1996,34806.403970072904,100192.08747097428,40970.810157532746,23818.46573900721,21433.473033661467,44368.49317832529,0.0,46244.667837209796,0.7665335331482042,0.0,41118.32444483447,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1289.9748322676564,64902.62671983572,508.60287584713643,21313.574125499814,0.0,184.12063414314963,28482.237546070442,0.0,6885.084380663649,0.0,0.0,4244.2439037802105,0.0,0.30834458623127,481.26324934236663,3037.345909430219,2039.9696224002194,279.7605509897121,34.25370073690173,15168.615707248082,0.0
1997,34884.89327439159,100289.61159464046,41054.07830369418,23825.22086516855,21465.25548813611,44331.52699622443,0.0,46121.804076389926,0.7665335331482042,0.0,40959.320959493256,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1290.047866013466,64855.07213992122,489.5574966702586,21359.872622232073,0.0,184.5563894752672,28521.58705876383,0.0,6743.178456782515,0.0,0.0,4244.353964811144,0.0,0.30834458623127,481.80647633486785,3137.343604372967,2035.5647098109694,280.35629231653843,34.46229505301941,15214.92865917687,0.0
1998,35054.604767859564,100434.6165104428,41134.20203574123,23831.078949237854,21533.964923170093,44132.448667095465,0.0,45681.3805098223,0.7665335331482042,0.0,40896.76933282221,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1287.8668237826923,64990.56563396137,484.5190562346862,21351.014765906064,0.0,184.69859599214354,28682.397772195916,0.0,6571.587122629558,0.0,0.0,4242.841513515262,0.0,0.30834458623127,481.6514115934087,3243.895647317218,2033.6179384266795,280.3695747718208,34.3855718821369,15235.922465473212,0.0
1999,35788.984676948814,101030.75285940482,41343.408729386625,23887.22083507468,21891.224339926866,43373.640993801106,0.0,43950.51393645831,0.7665335331482042,0.0,40511.27516769294,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1291.5118976165206,65460.57364346074,461.26237196704375,21494.043972831638,0.0,183.79747837050317,29498.90076311144,0.0,5984.250738360256,0.0,0.0,4218.906752713735,0.0,0.30834458623127,507.82329988207215,3349.6944501389926,2045.2706554668746,280.56516968965093,34.681039643914076,15216.095817926076,0.0
2000,35948.98155347168,101313.60386912056,41446.75075061035,23896.90167911151,21950.000829241384,43199.8692691773,0.0,43500.020129602024,0.7665335331482042,0.0,40353.8899839632,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1289.6780249630056,65965.64764160283,432.17451780073475,21497.22646963115,0.0,183.26605681547065,29588.67983898553,0.0,5471.673230532075,0.0,0.0,4206.921415151364,0.0,0.30834458623127,509.51067812559216,3463.5511326097344,2041.5705533874657,280.5520845257264,34.681039643914076,15229.248841800998,0.0
2001,35926.14912861627,101363.76620727278,41570.63671359672,23906.775253773867,21923.97105339675,42569.117056797986,0.0,43647.17005910751,0.7665335331482042,0.0,40403.52576884713,0.5631934486557065,0.0,0.6246058289966072,0.0,0.0,1291.5931539934093,66182.81659771503,413.53380905612215,21497.40696652054,0.0,183.49651633003518,29641.972905690876,0.0,5315.949284744159,0.0,0.0,4196.750588908654,0.0,0.30834458623127,510.10934202981036,3658.8886732646292,2039.953828843038,280.55231738188075,34.980347018468755,15245.284016967942,0.0
