year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,12336.724759506464,4537.119781386388,0.0,3437.0951962193867,6574.663118799846,1947.2278720598588,10345.98560691279,4061.121161156234,7.654916581239966,0.0,3372.249310721374,0.0,0.0,14.636040815575713,0.0,0.0,0.0,6658.466827733905,13.573446028225526,260.105844526951,6536.123784566007,0.0,103.48573725310797,0.0,63.15512535060518,0.0,0.0,0.0,0.0,169.21358691175718,0.18932835662357123,505.9647886009017,3.959105676459866,0.0,0.0,4710.379631589075,0.0
1993,12335.777592050958,4536.83567569664,0.0,3436.5267044208003,6572.673849241693,1943.9122254738502,10345.606742050944,4061.121161156234,7.654916581239966,0.0,3372.1545787048576,0.0,0.0,14.636040815575713,0.0,0.0,0.0,6657.7089167888,13.479280939595114,260.105844526951,6535.934201413394,0.0,103.48573725310797,0.0,63.15512535060518,0.0,0.0,0.0,0.0,169.21358691175718,0.18932835662357123,514.6794914721964,3.959105676459866,0.0,0.0,4710.284865870495,0.0
1994,12334.925990948728,4536.83567569664,0.0,3435.8636832986494,6570.589763665713,1941.449094188665,10345.13311618905,4061.121161156234,7.654916581239966,0.0,3372.1545787048576,0.0,0.0,14.636040815575713,0.0,0.0,0.0,6656.951187112879,13.479280939595114,260.105844526951,6535.649851487781,0.0,103.48573725310797,0.0,63.15512535060518,0.0,0.0,0.0,0.0,169.21358691175718,0.18932835662357123,522.5412006935985,3.959105676459866,0.0,0.0,4710.000701198056,0.0
1995,12692.242276074134,4572.098111145042,0.0,3516.5602341954714,6677.460442810705,1994.2801793299097,10124.800212876991,3325.627347148162,7.654916581239966,0.0,3345.308818276055,0.0,0.0,14.730445849665697,0.0,0.0,0.0,6819.988655417213,13.479280939595114,278.56749828301935,6695.979886912511,0.0,103.11013227794925,0.0,64.38462134907766,0.0,0.0,0.0,0.0,169.21341591815533,0.18932835662357123,531.91825490287,3.959105676459866,0.0,0.0,4707.541806431926,0.0
1996,12770.668524063052,4578.151543749569,0.0,3530.1648772120375,6695.6067419570345,2018.8301684377734,10069.169871361897,3122.610784133926,7.654916581239966,0.0,3327.1889639076962,0.0,0.0,14.636146263073517,0.0,0.0,0.0,6890.828892044478,13.573580526187296,284.0598655111672,6744.559400408198,0.0,102.73368913685468,0.0,64.38462134907766,0.0,0.0,0.0,0.0,169.21341591815533,0.18932835662357123,541.3891428951275,3.959105676459866,0.0,0.0,4709.521391263146,0.0
1997,12905.792404598982,4588.180254908197,0.0,3562.4082061629074,6745.320500333655,2047.0851383285988,9999.417405907085,2684.459937029302,7.654916581239966,0.0,3315.761101473107,0.0,0.0,14.636146263073517,0.0,0.0,0.0,7018.650795725445,13.573580526187296,299.3033966766588,6857.88643701563,0.0,103.11240297756018,0.0,64.38462134907766,0.0,0.0,0.0,0.0,168.9295996834779,0.18932835662357123,548.8682999163683,3.959105676459866,0.0,0.0,4709.521391263146,0.0
1998,12904.658309846418,4587.9907937491735,0.0,3561.2716020265707,6742.858378935769,2044.7173249853095,9999.133261059846,2684.459937029302,7.654916581239966,0.0,3315.761101473107,0.0,0.0,14.636146263073517,0.0,0.0,0.0,7017.419420218492,13.479415437556884,299.3033966766588,6857.696977468415,0.0,103.11240297756018,0.0,64.38462134907766,0.0,0.0,0.0,0.0,168.9295996834779,0.18932835662357123,557.9575396955028,3.959105676459866,0.0,0.0,4709.521391263146,0.0
1999,13054.573147233054,4606.798207437288,0.0,3586.7829091513727,6763.478651529074,2134.899911161444,9842.649585054703,1777.250541927336,7.654916581239966,0.0,3243.4101212038404,0.0,0.0,14.352653558261382,0.0,0.0,0.0,7609.251819162434,13.573884429185888,340.37376977217895,7046.622674127533,0.0,99.43677271426756,0.0,64.38462134907766,0.0,0.0,0.0,0.0,169.3083586662088,0.18932835662357123,566.854495401036,3.959105676459866,0.0,0.0,4713.289496260163,0.0
2000,13095.761946087645,4608.2179270629595,0.0,3596.89681763735,6782.230614591892,2151.6451960271597,9754.556418815066,1552.6785404913005,7.654916581239966,0.0,3230.6426663873126,0.0,0.0,14.63583132090633,0.0,0.0,0.0,7718.055873553425,13.574429017614948,365.4601531300735,7134.514891187472,0.0,93.03541369832925,0.0,64.38462134907766,0.0,0.0,0.0,0.0,169.40250174616767,0.18932835662357123,579.1596169633136,3.959105676459866,0.0,0.0,4722.438161071392,0.0
2001,13231.80293451298,4619.3678014726465,0.0,3638.187247298871,6820.6159920814325,2238.424932905627,9641.492450969845,660.2479519490106,7.3720950504088165,0.0,3094.8027247026375,0.0,0.0,14.82447465834598,0.0,0.0,0.0,8379.417997080624,13.856902652418688,395.91088741657103,7259.3881374750345,0.0,92.3794285420907,0.0,64.4787516421556,0.0,0.0,0.0,0.0,172.0426320296244,0.18932835662357123,583.4229487577948,3.959105676459866,0.0,0.0,4726.910245521586,0.0
2002,13259.216282689404,4622.012130182772,0.0,3649.801052080146,6827.614992791273,2256.3562286950414,9574.538284256054,514.6910344245275,7.277654453510566,0.0,3056.2830851979434,0.0,0.0,14.82447465834598,0.0,0.0,0.0,8532.674095287453,13.196366012755757,396.2380196061342,7286.82169346645,0.0,92.3794285420907,0.0,64.57324084964773,0.0,0.0,0.0,0.0,172.13652797304132,0.18932835662357123,587.4017000315138,3.959105676459866,0.0,0.0,4726.910245521586,0.0
2003,13294.104196692386,4623.900932290347,0.0,3665.2904637838265,6811.215145692077,2259.7370015949605,9569.426615547876,499.62634830466095,7.277654453510566,0.0,3056.565260393245,0.0,0.0,14.82447465834598,0.0,0.0,0.0,8551.700027733554,13.290570611538271,342.41674804902954,7296.865570671576,0.0,92.00337412000417,0.0,64.57324084964773,0.0,0.0,0.0,0.0,174.02443751542677,0.18932835662357123,591.6637474465101,3.959105676459866,0.0,0.0,4726.440726311169,0.0
2004,13325.283577988597,4630.042668710051,0.0,3693.5440002347927,6794.72954737167,2256.1331447441503,9553.42420824186,473.75611239869266,7.277654453510566,0.0,3058.0743662473787,0.0,0.0,14.918925207046996,0.0,0.0,0.0,8591.484402448777,13.384701665838108,287.3661888948987,7303.3176913178195,0.0,91.3439914786961,0.0,64.6673673322519,0.0,0.0,0.0,0.0,174.21296010676903,0.18932835662357123,595.2616454639226,3.959105676459866,0.0,0.0,4726.723382412972,0.0
2005,13321.484178058456,4630.704136434752,0.0,3697.130596947123,6769.155567439602,2245.9016388598866,9562.234703474984,472.1508148949719,7.277654453510566,0.0,3058.9291606351117,0.0,0.0,14.918925207046996,0.0,0.0,0.0,8609.661565508539,13.384701665838108,275.07970581269075,7302.655737606191,0.0,91.3439914786961,0.0,64.6673673322519,0.0,0.0,0.0,0.0,174.21296010676903,0.18932835662357123,617.1408504587438,3.959105676459866,0.0,0.0,4726.912280344533,0.0
2006,13319.20134954793,4631.269944183526,0.0,3697.5005908200333,6737.516539944847,2234.716150577635,9576.85260953235,451.5489153382273,7.277654453510566,0.0,3052.696053440472,0.0,0.0,14.918925207046996,0.0,0.0,0.0,8661.50287956458,13.478855459655591,267.2248793045485,7294.793830560509,0.0,91.24915463669643,0.0,64.6673673322519,0.0,0.0,0.0,0.0,174.78235618418722,0.18932835662357123,636.3676416198269,3.959105676459866,0.0,0.0,4727.380839011862,0.0
2007,13316.439879115067,4630.412896396153,0.0,3697.6836592446307,6558.121431736737,2222.110850753297,9718.767794094509,395.9405741990835,7.277654453510566,0.0,3034.9322048503714,0.0,0.0,15.10773053454907,0.0,0.0,0.0,8803.08909522332,13.478855459655591,262.4017718130839,7267.968983918979,0.0,92.09631395952408,0.0,64.76148770696038,0.0,0.0,0.0,0.0,175.44224069015263,0.18932835662357123,653.6046301729276,3.959105676459866,0.0,0.0,4725.308482397187,0.0
2008,13313.69269376245,4630.601536339665,0.0,3696.3569555772824,6539.270170614942,2212.6395953644947,9687.778049968345,334.16765057127253,7.277654453510566,0.0,3022.7299375667612,0.0,0.0,15.10773053454907,0.0,0.0,0.0,8918.380657692154,13.478855459655591,262.02299325844746,7271.475618752833,0.0,92.1903814652392,0.0,64.9496800796642,0.0,0.0,0.0,0.0,176.29361485317617,0.18932835662357123,672.0724942878566,3.959105676459866,0.0,0.0,4724.460266117391,0.0
2009,13311.884421338196,4631.070246353766,0.0,3696.1628735504773,6537.278866925543,2201.64959173189,9641.700911575423,309.9804862524244,7.277654453510566,0.0,3015.0701495576477,0.0,0.0,15.10773053454907,0.0,0.0,0.0,8978.328225628382,13.478855459655591,264.20640305002667,7278.862039949807,0.0,92.09628720801507,0.0,64.9496800796642,0.0,0.0,0.0,0.0,176.19918896666366,0.18932835662357123,695.3718570292679,3.959105676459866,0.0,0.0,4724.27106707478,0.0
