year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,195277.7886184648,14148.516336223203,6.423584127057824,40802.53996752986,63443.229693868576,41720.679718290965,412.1004020068355,414.8785198551199,0.0,55508.915176751485,42.041991529135224,0.0,0.0,11.253501061372482,0.0,0.0,23.051271905878608,9623.473146218628,18243.376467838567,156814.27389587113,0.0,2856.983968250219,198871.6110827861,0.0,38470.9447545482,5.482803530047476,1030.597855168018,17817.532738640308,41.96634550474477,199.2809482705172,3636.821772337657,573.8385538823304,990767.3908622026,1257.8481223589038,334.6807650123717,4401.035921602604,0.0
1993,195276.8852675831,14148.329441398904,6.423584127057824,40801.52814588998,63442.952359386094,41720.58685509661,412.1004020068355,414.8785198551199,0.0,55508.915176751485,42.041991529135224,0.0,0.0,11.253501061372482,0.0,0.0,23.051271905878608,9623.473146218628,18243.097972505573,156813.9947291999,0.0,2856.983968250219,198862.47407752243,0.0,38470.852843774504,5.482803530047476,1030.597855168018,17817.532738640308,41.96634550474477,199.2809482705172,3636.821772337657,589.8555838862776,990763.9084794769,1257.8481223589038,334.6807650123717,4400.76011738844,0.0
1994,195276.24232819336,14148.236181946724,6.423584127057824,40800.32815224193,63442.86002605381,41720.493494747454,412.1004020068355,414.8785198551199,0.0,55508.915176751485,42.041991529135224,0.0,0.0,11.253501061372482,0.0,0.0,23.051271905878608,9623.473146218628,18242.818897936082,156813.25441067413,0.0,2856.983968250219,198853.89639014212,0.0,38470.67122983999,5.482803530047476,1030.509350659838,17817.532738640308,41.96634550474477,199.2809482705172,3636.7279507624166,605.4249083056919,990760.5125847225,1257.7575993587345,334.6807650123717,4400.76011738844,0.0
1995,195851.1895398565,14331.290902886905,6.423584127057824,40873.267312917786,63534.77103001228,41624.760945341484,411.1686107412044,414.8785198551199,0.0,55508.82088214443,41.1941901147497,0.0,0.0,11.253501061372482,0.0,0.0,23.051271905878608,9624.755970759088,18235.74922540292,155887.16519886212,0.0,2856.045586313225,198333.70867351684,0.0,38432.803534220795,5.482803530047476,1030.5069091051387,18031.619943953134,41.96634550474477,199.18765167713212,3637.190919455767,625.7159981846437,991270.2217559562,1261.3969339553428,335.1353753212835,4317.83566895539,0.0
1996,196751.83382711268,14435.803476262163,6.423584127057824,40959.273536368695,63661.950004888844,41675.03773910357,411.1686107412044,442.6667603965087,0.0,55691.40749609802,42.135845617781655,0.0,0.0,11.253501061372482,0.0,0.0,23.333734796577073,9625.690940290779,18252.666663714455,154498.82622333206,0.0,2854.2616624138973,198120.8809115322,0.0,38568.04301391799,5.482803530047476,1030.7852504507796,18071.41138034207,42.531948367491566,193.9097836614324,3638.851667754782,647.9524927831593,991211.3513536924,1265.4480941646152,335.1353753212835,4283.041103793064,0.0
1997,198100.7494897171,14573.129318773277,6.423584127057824,41012.27276828622,63986.94730339803,41813.72567165773,411.1686107412044,448.1311932984367,0.0,55730.966528868725,41.0053815584518,0.0,0.0,11.253501061372482,0.0,0.0,23.333734796577073,9625.50520431037,18252.968441503715,153347.41091444276,0.0,2852.4772631599903,196991.40823847463,0.0,38735.74998220734,5.482803530047476,1032.5462438437642,18102.462854055524,42.531948367491566,193.9097836614324,3639.1292385504044,672.0760645411673,991221.1505485047,1266.656106381513,335.04674160458853,4282.939322212922,0.0
1998,199121.1294966499,14774.16499803111,6.423584127057824,41048.63882859177,64257.0195037443,41946.44055768539,411.1686107412044,450.3958392780376,0.0,55752.35976828782,41.0053815584518,0.0,0.0,11.253501061372482,0.0,0.0,23.333734796577073,9625.504550088817,18254.315758857796,152402.1354513574,0.0,2843.0957186157593,195731.93812604313,0.0,38856.92958862711,5.482803530047476,1033.4704005584658,18146.932690834445,42.531948367491566,191.3128051993636,3640.603154974591,697.1543190012384,991576.4166331415,1274.2253569965405,335.04674160458853,4258.128933285365,0.0
1999,201667.03449523222,15221.39674620614,6.423584127057824,41216.59722005641,65475.487611071345,42365.5588799018,410.0558656298212,498.52062314339605,0.0,55904.57870046172,44.58157656439669,0.0,0.0,11.253501061372482,0.0,0.0,23.333734796577073,9625.319702292985,18268.133861283724,147993.45085720374,0.0,2831.458513899579,195043.4431276664,0.0,39513.1675624918,5.482803530047476,1036.6197429924423,18211.310453800845,44.58675304535339,192.5239971038079,3646.3335881515127,719.3526936615921,990982.982125603,1283.3694824790048,334.7777906896834,4181.423191488086,0.0
2000,202369.6209979102,15559.467492228734,6.423584127057824,41249.0527346977,65909.79044839065,42451.895748341456,409.87583408279744,526.2692430415487,0.0,56044.214180807045,47.310766684935714,0.0,0.0,11.253501061372482,0.0,0.0,23.333734796577073,9625.598525667127,18304.3542995917,145664.07393731704,0.0,2801.329724449699,191672.62505470627,0.0,41133.82121154836,5.482803530047476,1053.488323772494,18517.698252793984,49.756212106424755,193.63937868901075,3648.460165850451,746.5169396593294,992939.3496107582,1292.2122250003229,334.7777906896834,4166.8660633377785,0.0
2001,203536.55689756063,15781.369490666993,6.423584127057824,41348.50621257173,66419.7843724278,42674.77958085249,409.03875048157875,441.84102331447275,0.0,56062.0732385828,22.148584784864813,0.0,0.0,11.253501061372482,0.0,0.0,3.232989658201005,9609.51202938448,18202.526640105385,144526.91678933147,0.0,2794.853467676667,190527.68463506774,0.0,41937.297486846015,5.482803530047476,1064.1361325422722,18546.5205576294,50.03862579771348,192.4331585319514,3651.179570922555,812.0329000912888,992326.4293409986,1294.3184636388603,334.6868392511017,4165.501118200142,0.0
