year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2915.232874448048,1633.2274569345163,1.6327330756453065,5.568409662453888,223.04951495773287,197.22548183644943,477.92556705889126,3675.629946643815,169.1626575637834,3609.0756539459485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.85815421785713,26.111886100224257,1817.1656791067378,0.0,15.896817808305268,2662.6776276555415,0.0,2.6460169283749146,0.0,0.0,0.0,0.0,42.48009965306715,65.39908952534141,24.687602896262156,229.52674932160642,0.0,0.0,67.84520862088506,0.0
1993,2915.232874448048,1633.2274569345163,1.6327330756453065,5.568409662453888,223.04951495773287,197.22548183644943,477.92556705889126,3675.5445321236475,169.1626575637834,3609.0756539459485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.77276447524196,26.111886100224257,1817.080624573716,0.0,15.896817808305268,2662.6776276555415,0.0,2.6460169283749146,0.0,0.0,0.0,0.0,42.48009965306715,65.39908952534141,24.943461692066347,229.52674932160642,0.0,0.0,67.84520862088506,0.0
1994,2915.232874448048,1633.2274569345163,1.6327330756453065,5.568409662453888,223.04951495773287,197.22548183644943,477.92556705889126,3675.4588428991083,169.1626575637834,3609.0756539459485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.77276447524196,26.111886100224257,1817.080624573716,0.0,15.896817808305268,2662.6776276555415,0.0,2.6460169283749146,0.0,0.0,0.0,0.0,42.48009965306715,65.39908952534141,25.02915091660477,229.52674932160642,0.0,0.0,67.84520862088506,0.0
1995,2921.7966498295204,1639.953913739558,1.6327330756453065,5.568409662453888,223.39112539699732,198.16616209729975,477.92556705889126,3634.2397466760663,169.1626575637834,3607.9672527771363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.3940576423555,26.793828637993702,1819.9820296025166,0.0,15.896817808305268,2684.9720236805524,0.0,2.6460169283749146,0.0,0.0,0.0,0.0,42.48009965306715,65.39908952534141,25.114686833998388,229.69715115074473,0.0,0.0,67.84520862088506,0.0
1996,2925.1982447624064,1642.5000631063858,1.6327330756453065,5.568409662453888,223.39112539699732,198.0806200259503,477.92556705889126,3621.5534833908678,169.1626575637834,3607.711758499227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.8192224075446,26.793828637993702,1820.4074778845322,0.0,15.896817808305268,2690.7750646130085,0.0,2.6460169283749146,0.0,0.0,0.0,0.0,42.48009965306715,65.39908952534141,25.370930416771998,229.86680892305444,0.0,0.0,67.84520862088506,0.0
1997,2931.586296881202,1645.5630758439652,1.6327330756453065,5.568409662453888,223.39112539699732,198.50713057257957,477.92556705889126,3585.458341317776,169.1626575637834,3607.029250191551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.4129199958975,26.793828637993702,1825.1917685646865,0.0,15.896817808305268,2711.9560538343276,0.0,2.7308754683899883,0.0,0.0,0.0,0.0,42.48009965306715,65.56979871163468,25.456460178400427,229.86680892305444,0.0,0.0,67.84520862088506,0.0
1998,2944.442274062356,1655.5993148136488,1.6327330756453065,5.568409662453888,223.56150846449808,199.0193291069587,477.92556705889126,3533.422967453045,169.1626575637834,3606.432609879858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.51603068608074,27.21967439433352,1827.9169572076153,0.0,15.896817808305268,2735.9906394781765,0.0,2.7308754683899883,0.0,0.0,0.0,0.0,42.48009965306715,65.56979871163468,26.139420212495676,229.95233457936445,0.0,0.0,67.84520862088506,0.0
1999,3118.565596368669,1795.3561859671088,1.6327330756453065,5.568409662453888,226.89467576384718,216.3208723071798,476.38580439813165,3080.2696102508658,169.1626575637834,3591.577642479904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.99998079301236,29.528628853200512,1854.9094769482415,0.0,16.836404309319732,2813.264927834143,0.0,2.7308754683899883,0.0,0.0,0.0,0.0,42.48009965306715,65.8254327095188,26.82301264501497,246.04699228910448,0.0,0.0,67.84520862088506,0.0
2000,3256.6282583245184,1893.3889234934138,1.6327330756453065,5.568409662453888,230.30942043875072,235.9817890185653,472.8029477259689,2756.3074668115432,169.1626575637834,3572.6701281342957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.1068871964698,32.080769550711345,1882.887986746602,0.0,17.177874119926514,2847.6840712143035,0.0,2.7308754683899883,0.0,0.0,0.0,0.0,42.48009965306715,65.8254327095188,27.250003383240514,247.5032850494344,0.0,0.0,67.84520862088506,0.0
2001,3321.2645549207596,1951.0420147922464,1.6327330756453065,5.7388322564931755,229.62678894425773,227.98881734883014,473.988903885792,2612.2306057390733,169.1626575637834,3573.0975287585925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.79653254293936,33.18648875415341,1889.530743345819,0.0,17.177874119926514,2861.1039557160943,0.0,2.7308754683899883,0.0,0.0,0.0,0.0,42.48009965306715,65.99579283420776,28.10404536856633,249.30017425196553,0.0,0.0,67.84520862088506,0.0
