year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,22071.261115332465,3562.0057604766025,2.671080100295615,0.0,1508.9111193551687,2278.7541242928924,0.0,13770.450840596051,0.20829073778117962,0.0,257765.04683601993,0.0,0.0,1.6958420286934022,0.0,0.0,11496.268061716572,19286.2626759532,17575.218715987703,15.226143788825171,0.0,403.9014318982829,956.2273909493287,0.07256563439701487,15698.8492554615,0.0,644.0629658693347,0.0,6.363777590369893,0.0,33278.63185254706,1019.2538162264673,2987.976812951141,158.74733675020934,2.2127621847809302,43270.55535499023,339.3135732305765
1993,22065.10130978675,3557.4039468618867,2.671080100295615,0.0,1508.7519773872339,2278.1138761712577,0.0,13770.144622055575,0.20829073778117962,0.0,257757.30201301706,0.0,0.0,1.6958420286934022,0.0,0.0,11495.66574672745,19285.968818734396,17575.18274577517,15.226143788825171,0.0,403.9014318982829,955.8515295656339,0.07256563439701487,15692.483194515617,0.0,644.0198861856127,0.0,6.363777590369893,0.0,33278.40030478508,1047.38578869446,2987.976812951141,158.74733675020934,2.2127621847809302,43269.984125511415,339.3135732305765
1994,22056.923644660954,3552.166112257503,2.671080100295615,0.0,1508.3290069536822,2277.686366512772,0.0,13769.652742495393,0.20829073778117962,0.0,257743.72886423572,0.0,0.0,1.6958420286934022,0.0,0.0,11494.977011144423,19285.76484697838,17575.146775562636,15.226143788825171,0.0,403.9014318982829,955.7976690931378,0.07256563439701487,15688.509235802512,0.0,644.0198861856127,0.0,6.363777590369893,0.0,33277.99786326122,1081.66633895501,2987.9229372006976,158.74733675020934,2.2127621847809302,43269.44739742619,339.3135732305765
1995,22174.41323772911,3587.5616295256063,2.940050084939837,0.0,1525.519652801564,2231.7575114734836,0.0,13721.096478763582,0.20829073778117962,0.0,257698.41736271055,0.0,0.0,1.6958420286934022,0.0,0.0,11489.765299467577,19319.544578130462,17585.76509879679,15.355074652050666,0.0,404.5140312377073,966.1238711340574,0.07256563439701487,15658.55514691655,0.0,644.4929818623264,0.0,6.518819227559025,0.0,33231.828492298664,1119.4305033797027,2986.494128987079,158.76699775560795,2.2127621847809302,43227.78552191885,339.3135732305765
1996,22185.848217692965,3596.775082619571,3.04753411333228,0.0,1531.4228368409765,2222.946846398827,0.0,13697.522944327671,0.20829073778117962,0.0,256840.56037200242,0.0,0.0,1.6958420286934022,0.0,0.0,11488.751307974931,19354.099199059296,17648.855290642558,15.763577556303588,0.0,406.74329093346563,970.4616484386834,0.07256563439701487,15770.320070151207,0.0,646.058922077309,0.0,6.712696827428306,0.0,33289.37461186815,1155.1808284913725,2992.1418225344464,158.62994565018144,2.2127621847809302,43775.429422652676,339.3135732305765
1997,22237.266677893684,3601.544860463349,3.04753411333228,0.0,1537.9187597610808,2223.043219574617,0.0,13641.923522759418,0.20829073778117962,0.0,256456.26186792634,0.0,0.0,1.6958420286934022,0.0,0.0,11480.994951393574,19375.491003536186,17673.188135923538,16.24545433428857,0.0,407.28085276142275,976.4661981176115,0.07256563439701487,15804.173527064637,0.0,646.7514356983021,0.0,6.7614566624364745,0.0,33412.94764212165,1183.9691737768726,2994.973693201029,158.5788634625585,2.2127621847809302,43917.817638307344,339.3135732305765
1998,22390.503837767083,3611.161805225001,3.04753411333228,0.0,1549.449089818803,2225.880963325602,0.0,13523.58874030514,0.20829073778117962,0.0,255992.71686278988,0.0,0.0,1.8417435412335603,0.0,0.0,11456.53605918669,19427.10534232611,17699.11048225572,16.90374681496492,0.0,408.30150638282055,990.0909517894421,0.07256563439701487,15815.312714520665,0.0,650.1019402610674,0.0,7.104258336749384,0.0,33605.02630288845,1212.6737201122216,2995.0088625546496,158.50656322806944,2.2127621847809302,44018.36928333813,339.3135732305765
1999,22783.043186353625,3658.5157403695694,3.1016501989028127,0.0,1584.1924443385406,2237.807995513818,0.0,13242.038957203502,0.20829073778117962,0.0,255161.95680017283,0.0,0.0,2.026615332608356,0.0,0.0,11387.83664192837,19602.55519186328,17866.723569027767,21.16104527084507,0.0,411.55155465750937,1013.3615661964291,0.07256563439701487,15860.092445535875,0.0,655.759263225663,0.0,8.525911079983834,0.0,33956.46239253951,1242.2142101095892,3000.1349440434965,158.61592927273682,2.2127621847809302,43900.66425664708,339.3135732305765
2000,23464.303142486217,3685.3968473260575,3.1016501989028127,0.0,1609.7017123877886,2260.16469205837,0.0,12833.387678144134,0.20829073778117962,0.0,254071.44541799376,0.0,0.0,2.026615332608356,0.0,0.0,11208.237549688776,19833.005930629166,17930.26079738579,32.00739320801845,0.0,413.2822830796932,1040.6119985451858,0.07256563439701487,15843.464061718983,0.0,667.024947159715,0.0,9.110785379746169,0.0,34453.7865031215,1273.0992510333108,3003.0847374643513,158.61592927273682,2.2127621847809302,43963.22238726671,339.3135732305765
2001,23508.87065355119,3672.3245581663255,3.1016501989028127,0.0,1612.7495647087396,2257.520996147146,0.0,12795.005933959239,0.20829073778117962,0.0,254169.47730212065,0.0,0.0,2.026615332608356,0.0,0.0,11176.346657635942,19962.359133438433,17980.434062876786,36.597428037490765,0.0,413.694436908327,1040.301275481565,0.07256563439701487,15747.799661878538,0.0,670.7255821299801,0.0,9.901743753037234,0.0,34216.50305165849,1376.1533867761034,3002.0452622026382,158.61592927273682,2.1600647490486944,43945.84012208258,339.3135732305765
