year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,729.0096721280878,4452.598540643738,142.78827690135535,0.7853060705186719,1417.9836183238601,539.3876277118302,0.0,4046.1861564883,1.2491710256610482,0.0,7229.205166353975,0.0,0.0,4.3487938637183925,0.0,0.0,4006.1828270332862,3618.708296998449,191.3237177505575,0.0,0.0,0.0,12033.021410018773,0.0,1241.7968209624044,0.0,0.0,0.0,0.0,0.0,28.421757576522356,898.9871452557167,1679.064260186329,1234.72227809461,0.654957605102584,1432.6304793323168,1134.6353695289345
1993,726.9428321806771,4435.583190033955,142.46369941495095,0.7853060705186719,1417.3366714311298,538.3538742866783,0.0,4045.4111750842135,1.2491710256610482,0.0,7228.61909671316,0.0,0.0,4.3487938637183925,0.0,0.0,4004.1775655670936,3617.7388481706093,191.3237177505575,0.0,0.0,0.0,12032.306355112942,0.0,1241.7968209624044,0.0,0.0,0.0,0.0,0.0,28.421757576522356,925.2544844058995,1679.064260186329,1234.72227809461,0.654957605102584,1432.5014247883817,1134.6353695289345
1994,725.4550217754265,4414.926053920546,142.0697764682105,0.7853060705186719,1417.0136292246234,537.449273716196,0.0,4044.108866102504,1.2491710256610482,0.0,7228.030148887353,0.0,0.0,4.3487938637183925,0.0,0.0,4002.752031340618,3617.285986787497,191.3237177505575,0.0,0.0,0.0,12031.006902815165,0.0,1241.7324693358687,0.0,0.0,0.0,0.0,0.0,28.421757576522356,954.4135500445398,1679.064260186329,1234.72227809461,0.654957605102584,1432.2423277335504,1134.6353695289345
1995,724.8918543588019,4409.962383434799,141.81217268087113,0.0,1419.2713831366418,412.4639532726356,0.0,4056.098075318519,1.2491710256610482,0.0,7150.953557987766,0.0,0.0,4.3487938637183925,0.0,0.0,4052.2512685391102,3646.1468209313557,193.6974012041884,0.0,0.0,0.0,12094.833919509323,0.0,1246.0634334515187,0.0,0.0,0.0,0.0,0.0,27.706723507103828,985.5145309363321,1679.5342213722722,1236.355190232498,0.654957605102584,1445.2464679568857,1134.6353695289345
1996,724.705152011159,4389.954004098912,141.22245718427064,0.0,1418.656750402927,339.21024777572575,0.0,4052.173254436054,1.2491710256610482,0.0,7067.529328735397,0.0,0.0,4.3487938637183925,0.0,0.0,4082.771021178029,3662.073700972247,194.4226361734768,0.0,0.0,0.0,12116.190932458223,0.0,1257.4326140159812,0.0,0.0,0.0,0.0,0.0,27.511577065425367,1014.5637050949769,1690.3635801369069,1239.8948465240771,0.654957605102584,1504.1275495668356,1134.6353695289345
1997,725.2456994779385,4363.041927566557,141.28891116809348,0.0,1419.2869989764222,291.9626493324463,0.0,4025.0877956782538,1.2491710256610482,0.0,7037.274014643119,0.0,0.0,4.3487938637183925,0.0,0.0,4103.342953266804,3675.1052237394915,195.8072406691801,0.0,0.0,0.0,12155.792297034945,0.0,1265.710049860936,0.0,0.0,0.0,0.0,0.0,27.316126142865816,1048.6060758738001,1699.0916637594191,1242.2525494793265,0.654957605102584,1506.5911811610256,1134.6353695289345
1998,728.9103610691955,4356.881106035236,142.28048773407824,0.0,1429.893388053597,296.7055721389494,0.0,3852.404337347646,1.2491710256610482,0.0,6967.292639992006,0.0,0.0,4.414163599409456,0.0,0.0,4099.652816010765,3698.1861395994783,201.9883686805804,0.0,0.0,0.0,12316.392307824402,0.0,1270.56155929242,0.0,0.0,0.0,0.0,0.0,27.381748252413193,1084.0326742814216,1699.6841053894389,1243.1025048549534,0.654957605102584,1507.3878715383548,1134.6353695289345
1999,737.0225442886006,4377.272418025688,142.60755643540193,0.0,1438.0398770988331,238.4595813731424,0.0,3614.9361821357024,1.2491710256610482,0.0,6855.983774253581,0.0,0.0,4.083906711819843,0.0,0.0,4122.284638135864,3741.0540593135343,212.61448147716104,0.0,0.0,0.0,12513.060747343558,0.0,1298.636984491197,0.0,0.0,0.0,0.0,0.0,27.45258425895785,1123.5855008491408,1726.8451722990646,1253.1242206946993,0.654957605102584,1500.0879225084018,1134.6353695289345
2000,738.0730801743161,4356.072691112088,142.54223380331604,0.0,1438.9876912177347,229.19705401720987,0.0,3518.547319337205,1.2491710256610482,0.0,6830.958375017521,0.0,0.0,4.083906711819843,0.0,0.0,4119.282259524609,3767.8141989554065,215.23444211980762,0.0,0.0,0.0,12585.986075705003,0.0,1304.2157740330147,0.0,0.0,0.0,0.0,0.0,27.45258425895785,1161.1049973969634,1732.2840837763702,1255.613441880457,0.654957605102584,1499.7019426525471,1134.6353695289345
2001,734.6582629654783,4309.822565536227,138.9980642349684,0.0,1440.6293891932548,216.73156742460736,0.0,3487.9211820398705,1.2491710256610482,0.0,6820.405540516966,0.0,0.0,4.149252849457609,0.0,0.0,4115.318571605646,3777.2414616124515,216.02680677164668,0.0,0.0,0.0,12597.629164717962,0.0,1304.6747480139002,0.0,0.0,0.0,0.0,0.0,27.45258425895785,1246.4390803820115,1734.0577340077712,1255.744981414479,0.654957605102584,1499.2511941486914,1134.6353695289345
2002,730.3192898556383,4204.6412393500705,134.5703232298152,0.0,1442.833618197028,216.8335672780066,0.0,3427.779397085672,1.2491710256610482,0.0,6797.3344209881625,0.0,0.0,4.149252849457609,0.0,0.0,4109.852136427236,3793.456098779905,215.91476541128583,0.0,0.0,0.0,12622.031867994674,0.0,1304.9406369969051,0.0,0.0,0.0,0.0,0.0,27.45258425895785,1405.7238383723643,1734.3199418740262,1256.2684245733392,0.654957605102584,1498.7307481718071,1134.6353695289345
