year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6860.743686975112,1680.4167979158462,0.0,13334.148010973979,2282.2802722518995,5708.375559470808,1.339282851229163,247.45667494830602,220.81638883461645,0.0,134.70373550363254,0.4421747607830283,0.4438464309563705,91.00759029557449,0.0,0.0,0.29610643951689675,153.56912482023995,462.7368363534437,4527.4692405936785,0.0,25.115290908318773,62020.839847933836,0.0,5209.326803270844,0.0,0.0,0.0,0.0,0.0,58.441969076990496,111.11868844827563,22571.433126324217,11.722693446350595,293.6669935778077,1286.6274198694407,10677.492282644174
1993,6860.743686975112,1680.4167979158462,0.0,13334.148010973979,2282.13465571252,5708.375559470808,1.339282851229163,247.45667494830602,220.81638883461645,0.0,134.70373550363254,0.4421747607830283,0.4438464309563705,91.00759029557449,0.0,0.0,0.29610643951689675,153.56912482023995,462.7368363534437,4527.4692405936785,0.0,25.115290908318773,62020.62087451407,0.0,5209.326803270844,0.0,0.0,0.0,0.0,0.0,58.441969076990496,111.48327840742289,22571.433126324217,11.722693446350595,293.6669935778077,1286.6274198694407,10677.492282644174
1994,6860.667774878824,1680.4167979158462,0.0,13333.635770951856,2281.84184637027,5708.302766158759,1.339282851229163,247.45667494830602,220.81638883461645,0.0,134.70373550363254,0.4421747607830283,0.4438464309563705,91.00759029557449,0.0,0.0,0.29610643951689675,153.56912482023995,462.7368363534437,4527.4692405936785,0.0,25.115290908318773,62020.110480856056,0.0,5209.252144906062,0.0,0.0,0.0,0.0,0.0,58.441969076990496,113.0220852029285,22571.433126324217,11.722693446350595,293.6669935778077,1286.6274198694407,10677.492282644174
1995,6902.164813524264,1706.1682515478622,0.0,13387.145975198651,2287.035094510368,5759.384543527674,1.339282851229163,247.45667494830602,220.81638883461645,0.0,136.1733415305459,0.4421747607830283,0.4438464309563705,93.72655171466643,0.0,0.0,0.29610643951689675,153.56912482023995,459.7781381479562,4527.4692405936785,0.0,25.115290908318773,61866.29438239548,0.0,5208.856629381684,0.0,0.0,0.0,0.0,0.0,58.441969076990496,114.4855902589154,22546.142704083988,11.722693446350595,293.44193347320856,1286.6274198694407,10677.492282644174
1996,6909.227655201011,1704.7405691874344,0.0,13415.010771114,2280.8827305459213,5771.759632398541,1.339282851229163,247.45667494830602,220.81638883461645,0.0,142.8594504289726,0.4421747607830283,0.4438464309563705,104.52843035639968,0.0,0.0,0.29610643951689675,154.15670966360796,454.4128580250312,4527.4692405936785,0.0,25.115290908318773,61806.514518527365,0.0,5231.3542418435745,0.0,0.0,0.0,0.0,0.0,58.441969076990496,116.75584638833992,22529.40105903095,11.722693446350595,292.76260140433544,1286.6274198694407,10677.492282644174
1997,6908.15925263902,1705.5503275492247,0.0,13428.998862687622,2277.61243011294,5768.417297863338,1.339282851229163,247.45667494830602,220.81638883461645,0.0,144.39118230629333,0.4421747607830283,0.4438464309563705,114.80304914643833,0.0,0.0,0.29610643951689675,154.45064976674547,454.339883167731,4527.4692405936785,0.0,25.115290908318773,61923.9645103643,0.0,5273.7305384220035,0.0,0.0,0.0,0.0,0.0,58.441969076990496,118.29175196067213,22351.299673100482,11.121941939414336,290.9584165355907,1286.6274198694407,10677.492282644174
1998,6911.844560131082,1710.2472587752118,0.0,13446.829264390451,2277.335267481572,5773.472136913473,1.339282851229163,247.45667494830602,220.81638883461645,0.0,146.743421438051,0.4421747607830283,0.4438464309563705,116.20026098673644,0.0,0.0,0.29610643951689675,154.96541292560306,454.26828858125094,4527.4692405936785,0.0,25.115290908318773,61957.23391074634,0.0,5346.695439581691,0.0,0.0,0.0,0.0,0.0,58.441969076990496,119.24529305369728,22215.46810336856,11.046469403125686,284.4946797849523,1286.6274198694407,10677.492282644174
1999,6941.864635690096,1728.4224054942504,0.0,13489.52328657905,2263.6291411247894,5792.230295005298,1.339282851229163,249.01547938691857,220.81638883461645,0.0,158.3885865158822,0.4421747607830283,0.4438464309563705,138.8456759691442,0.0,0.0,0.29610643951689675,167.59648880193703,451.9807960981965,4527.4692405936785,0.0,25.115290908318773,61834.78227044927,0.0,5480.477652718258,0.0,0.0,0.0,0.0,0.0,58.441969076990496,120.4928092718892,22063.25832087726,11.046469403125686,273.9095866102935,1294.7099623838692,10677.492282644174
2000,6942.988220541998,1725.3061190102003,0.0,13491.866401381121,2257.8983274277894,5794.911132600777,1.339282851229163,249.46000249298876,220.81638883461645,0.0,159.42804959461978,0.4421747607830283,0.4438464309563705,138.8456759691442,0.0,0.0,0.29610643951689675,167.74604155243134,451.6821851200333,4527.4692405936785,0.0,25.115290908318773,61831.67910106602,0.0,5516.30808169951,0.0,0.0,0.0,0.0,0.0,58.441969076990496,121.29696391547591,22034.523584719405,10.596357481657305,270.927655422525,1294.7099623838692,10677.492282644174
2001,6944.414339637625,1725.4575660736537,0.0,13491.76521755622,2255.503911205874,5794.16046954684,1.339282851229163,249.97019539514346,220.81638883461645,0.0,159.6464860604338,0.4421747607830283,0.4438464309563705,138.8456759691442,0.0,0.0,0.29610643951689675,166.27420889806848,451.82987725038515,4527.4692405936785,0.0,25.115290908318773,61848.21195761721,0.0,5548.292342800505,0.0,0.0,0.0,0.0,0.0,58.441969076990496,142.35827430806856,21975.111877526047,10.143409049943592,263.47809110050446,1294.7099623838692,10677.492282644174
