year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,421.54370315511005,65.70947582297151,3.191496910559812,0.0,199.35663903962012,499.44108523276424,3403.2518200662776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,76.59665565530817,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.55432898604724,17.262119653291133,54.03557126077927,0.0,0.0,0.0,2963.9664482297417,0.0
1993,421.3560362880989,65.70947582297151,3.191496910559812,0.0,199.35663903962012,499.44108523276424,3403.0642475445143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,76.59665565530817,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.262119653291133,54.50459990465511,0.0,0.0,0.0,2963.9664482297417,0.0
1994,421.1684654763848,65.70947582297151,3.191496910559812,0.0,199.26274549482582,499.2532282157081,3402.7826715891238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,76.50286469133282,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.262119653291133,55.44307403200124,0.0,0.0,0.0,2963.8726623953257,0.0
1995,425.3916987876958,66.55410426683054,3.191496910559812,0.0,210.05300560512097,500.6607341167364,3383.0776569446066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,78.28564060076914,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.074436140154443,56.2873685137257,0.0,0.0,0.0,2963.8726623953257,0.0
1996,425.2980980694355,66.55410426683054,3.097693157115472,0.0,209.86537672186483,500.47316416302294,3381.857405557557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,78.28564060076914,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.074436140154443,58.07014894497557,0.0,0.0,0.0,2963.8727366598,0.0
1997,425.0164214715563,66.83565409768823,3.097693157115472,0.0,210.05303800765358,500.47316416302294,3380.731401310936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,78.28556110998498,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.074436140154443,59.00869816361336,0.0,0.0,0.0,2963.8727366598,0.0
1998,425.0163335739714,66.83565409768823,3.097693157115472,0.0,209.95929449269744,500.848566733843,3380.167725748836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,77.81665591216843,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.074436140154443,59.75970776525094,0.0,0.0,0.0,2963.8727366598,0.0
1999,431.0220417183004,66.92951102475067,3.097693157115472,0.0,210.6159380119083,500.6608725798876,3372.1915221011163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,78.28576760627168,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.074436140154443,60.698285282220446,0.0,0.0,0.0,2963.8727366598,0.0
2000,430.7405503994911,67.49310578182231,3.003778175477928,0.0,210.33446153788537,499.62974606588864,3371.7205789592444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,11.352496476179837,0.3752184163904708,1.2200548492760346,0.0,0.0,78.09819936106398,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,17.074436140154443,62.48121120069704,0.0,0.0,0.0,2963.8727366598,0.0
2001,430.45935760429995,67.39927069346847,2.816182593002665,0.0,207.98799011913843,490.99941449124066,3382.0406726551614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18756396372931738,12.196639033119105,0.3752184163904708,1.2200548492760346,0.0,0.0,77.4416274559432,0.0,0.8448904986899695,0.0,0.0,0.18780443995842008,30.97138137838426,23.460539730945356,16.98065801525018,63.606751437280494,0.0,0.0,0.0,2963.8727366598,0.0
