year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,107921.55976715809,123161.22666546375,10901.048832970166,78132.23630825024,29765.02177940418,91598.2662964324,0.0,42866.31870912462,1.2148516617841576,0.0,48535.40536713282,0.0,0.0,0.152447215092466,0.0,0.0,3180.6573206174453,86989.27920422771,2596.9426083263793,5870.108097214162,0.0,186.65926375399124,74915.14860744998,0.0,31643.878642154115,0.0,0.0,2510.202192933963,0.0,0.0,2051.898681750015,3460.4234817881243,14186.278173098026,1649.3463828325205,1.416419011368147,36112.355168067385,0.0
1993,107902.63356920515,123159.29406106693,10900.82568690908,78129.814449543,29759.388282387707,91593.41704949278,0.0,42852.348658064104,1.2148516617841576,0.0,48534.73003978192,0.0,0.0,0.152447215092466,0.0,0.0,3180.6573206174453,86987.80558950652,2596.9426083263793,5870.032792049807,0.0,186.65926375399124,74912.6365277038,0.0,31642.77920291385,0.0,0.0,2509.8363267463405,0.0,0.0,2051.450053972906,3573.2505387854526,14130.391629578518,1649.193375681263,1.416419011368147,36110.17452406323,0.0
1994,107883.42267168412,123156.70233334381,10899.920168080476,78126.9676368729,29756.299067122574,91589.72152936732,0.0,42840.17395824492,1.2148516617841576,0.0,48534.121067719054,0.0,0.0,0.152447215092466,0.0,0.0,3180.6573206174453,86987.06769712591,2596.9426083263793,5870.032792049807,0.0,186.65926375399124,74909.03758756373,0.0,31641.59261482118,0.0,0.0,2509.5415368247664,0.0,0.0,2051.300102643215,3679.9268173777027,14076.138539952823,1648.965406498017,1.416419011368147,36109.07083016008,0.0
1995,108651.2118897899,123736.898975698,11028.841974958295,78566.11345685287,29980.534211872226,90406.38658301171,0.0,41616.05768982217,1.2148516617841576,0.0,47349.35512623388,0.0,0.0,0.152447215092466,0.0,0.0,3198.1431153604985,87875.33530774742,2605.680897982765,5927.520630644659,0.0,187.04099087034703,75136.33354360577,0.0,31532.773870815683,0.0,0.0,2533.1083907260586,0.0,0.0,2057.245895472657,3792.1487228393617,14260.61890461419,1647.2385303169344,1.416419011368147,36145.67284091386,0.0
1996,108720.94107785127,123816.42324513155,11047.112669675507,78662.4697879807,29993.11784844307,89935.50061292617,0.0,41468.90991419877,1.2148516617841576,0.0,47291.16316463105,0.0,0.0,0.152447215092466,0.0,0.0,3210.464223823975,88115.9078032588,2604.8670694243074,5933.899393310931,0.0,187.04099087034703,75199.95308309318,0.0,31448.96172348755,0.0,0.0,2537.360671973606,0.0,0.0,2060.0684283606342,3906.189024926436,14253.944126711027,1649.222684891318,1.416419011368147,36190.74400517906,0.0
1997,108740.19609927456,123885.22055854063,11065.19701438261,78718.0790738531,30009.55629546976,89732.13174080953,0.0,41229.17732421102,1.2148516617841576,0.0,47162.55323051902,0.0,0.0,0.152447215092466,0.0,0.0,3215.973467538072,88310.35109806401,2604.6433524266063,5954.639604013214,0.0,186.96628065781076,75290.4868178826,0.0,31392.14543776779,0.0,0.0,2543.054537299852,0.0,0.0,2060.1522177799256,4020.3443309004538,14230.716794436043,1649.3803756384762,1.416419011368147,36233.29589868404,0.0
1998,108805.20645975167,124010.83032909813,11117.966105579644,78865.01351659652,30036.43073882218,89488.10631005063,0.0,40819.69157602092,1.2148516617841576,0.0,46939.32056896691,0.0,0.0,0.152447215092466,0.0,0.0,3220.767155457947,88635.713105437,2602.7853410930757,5957.952596663739,0.0,186.89304345643825,75382.5074363644,0.0,31246.419158948145,0.0,0.0,2559.157035635954,0.0,0.0,2060.9406281270617,4138.894277950343,14242.14885470947,1649.9244580164166,1.416419011368147,36267.59285340295,0.0
1999,109346.26135255549,124491.21515170453,11360.635180873809,79224.12513227375,30141.24631529834,86941.79761076582,0.0,39596.64128037238,1.2148516617841576,0.0,46756.53118941052,0.0,0.0,0.152447215092466,0.0,0.0,3237.8114289567106,91252.49452153395,2584.8554585255956,5959.068981493109,0.0,186.24415511453134,75529.19443904326,0.0,30565.966634658304,0.0,0.0,2564.3263100298814,0.0,0.0,2068.506531601205,4253.029556672413,14165.70078139816,1663.223145325611,1.2731705285622867,36345.529641025394,0.0
2000,108932.57068459697,124653.40420202391,11647.12507104921,79300.8752618326,30242.245397336672,85799.05936842889,0.0,38668.42673459743,1.2148516617841576,0.0,46484.16264752462,0.0,0.0,0.152447215092466,0.0,0.0,3242.7599935473686,92485.61602326692,2593.432539960076,5951.220673320255,0.0,186.09324487057057,75993.94342475299,0.0,30701.48413818412,0.0,0.0,2618.5937333986926,0.0,0.0,2072.673020804936,4380.906120203474,14270.945968105087,1668.8459969225596,1.2731705285622867,36340.02055390509,0.0
2001,108750.1463689307,124670.86304603572,11737.670739335095,79360.34700413315,30245.155397412498,85412.876067731,0.0,38327.72476805208,1.2148516617841576,0.0,46274.82554021297,0.0,0.0,0.152447215092466,0.0,0.0,3249.0338692342593,93002.59476661496,2582.13707741834,5946.845782868779,0.0,185.8031454200368,76162.87645059648,0.0,30804.887969431522,0.0,0.0,2631.240010894106,0.0,0.0,2075.4220530356824,4538.40578149222,14285.47502173306,1672.2314789158092,1.2731705285622867,36317.84245913412,0.0
