year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1357.7335707283753,2703.017359725556,0.0,37308.44260140801,1436.1686338646286,1778.2133002120527,0.0,10.156725076175231,0.0,0.0,64.45917738789899,0.0,0.0,0.0,0.0,0.0,0.0,90.71036037357054,16.312712181723903,66470.47668587824,0.0,89.69316641670754,11657.533711242091,0.0,13348.959452373154,0.0,0.0,87.6211598562821,0.0,0.9843507620715067,13.016126609129076,84.95673161375265,322510.82228130754,58.51489034040778,9792.2088596835,11605.440432094392,0.0
1993,1357.7335707283753,2703.017359725556,0.0,37308.08800008373,1436.1686338646286,1778.142745445674,0.0,10.156725076175231,0.0,0.0,64.45917738789899,0.0,0.0,0.0,0.0,0.0,0.0,90.71036037357054,16.312712181723903,66470.47668587824,0.0,89.69316641670754,11656.787410580933,0.0,13348.81306019244,0.0,0.0,87.6211598562821,0.0,0.9843507620715067,13.016126609129076,86.78743880639465,322510.30942304747,58.51489034040778,9792.2088596835,11605.440432094392,0.0
1994,1357.7335707283753,2703.017359725556,0.0,37307.65745739539,1436.1686338646286,1777.707885529337,0.0,10.156725076175231,0.0,0.0,64.45917738789899,0.0,0.0,0.0,0.0,0.0,0.0,90.71036037357054,16.312712181723903,66470.19225302276,0.0,89.69316641670754,11656.193884242648,0.0,13348.588459942148,0.0,0.0,87.6211598562821,0.0,0.9843507620715067,13.016126609129076,89.48537677567475,322509.5794471269,58.51489034040778,9792.2088596835,11605.440432094392,0.0
1995,1352.4061226999515,2689.081623745803,0.0,37372.53199930279,1380.4765597008382,1698.2456551838523,0.0,10.228555313692981,0.0,0.0,58.07355308248667,0.0,0.0,0.0,0.0,0.0,0.0,88.20882387022502,16.312712181723903,66470.05003659485,0.0,89.69316641670754,11570.072315813786,0.0,13356.155020877104,0.0,0.0,87.6211598562821,0.0,0.9843507620715067,13.016126609129076,92.55577110336617,322617.74030245986,58.51489034040778,9792.58204486129,11670.891498358798,0.0
1996,1353.906537354188,2689.454670786414,0.0,37417.086596534384,1345.0401625791228,1696.549981104571,0.0,10.228555313692981,0.0,0.0,58.002224670117,0.0,0.0,0.0,0.0,0.0,0.0,88.20882387022502,16.312712181723903,66469.84156095944,0.0,89.69316641670754,11553.66993241032,0.0,13378.577289185227,0.0,0.0,87.4698615344247,0.0,0.9843507620715067,13.016126609129076,97.01057575241191,322607.1428381813,58.51489034040778,9792.58204486129,11662.149387727852,0.0
1997,1352.855434286663,2689.1637421530168,0.0,37459.01188971819,1341.1502683576325,1675.0863867537694,0.0,10.228555313692981,0.0,0.0,58.1537230173316,0.0,0.0,0.0,0.0,0.0,0.0,88.20882387022502,16.312712181723903,66470.44951568045,0.0,89.69316641670754,11539.200845567,0.0,13434.22893282816,0.0,0.0,87.4698615344247,0.0,0.9843507620715067,13.016126609129076,100.73807473757542,322558.06795890577,58.51489034040778,9792.58204486129,11650.32498523987,0.0
1998,1361.4257586609333,2696.8417352529227,0.0,37603.436730954316,1389.896138938857,1872.8520878192217,0.0,10.228555313692981,0.0,0.0,57.739890053131035,0.0,0.0,0.0,0.0,0.0,0.0,87.29232313949224,16.312712181723903,66470.76029326141,0.0,89.69316641670754,11322.40058199087,0.0,13593.020727168196,0.0,0.0,87.31855447843124,0.0,0.9843507620715067,13.016126609129076,104.2365630704968,322221.09324492473,58.51489034040778,9792.729886335876,11635.647971461949,0.0
1999,1364.810010986774,2716.2975503652956,0.0,37949.32867268858,1512.2440196590574,1913.1094092807261,0.0,10.228555313692981,0.0,0.0,58.1186302940977,0.0,0.0,0.0,0.0,0.0,0.0,87.29232313949224,16.462969422236252,66472.03877007528,0.0,89.69316641670754,11243.01163724757,0.0,13658.045868320472,0.0,0.0,86.86454980564827,0.0,1.514561214013897,13.016126609129076,108.34083634787518,321752.49253171287,57.75759611175981,9792.643692412486,11582.13081171144,0.0
2000,1368.2091654831331,2729.529012972057,0.0,38055.484467737675,1648.603652943696,1996.4643347329497,0.0,10.68311226703307,0.0,0.0,58.19438509810507,0.0,0.0,0.0,0.0,0.0,0.0,87.29232313949224,16.76595204863498,66471.96765106513,0.0,89.69316641670754,11208.329800572712,0.0,13823.505659294058,0.0,0.0,87.24365279037619,0.0,1.8933352336948281,13.016126609129076,112.11460767655332,321278.29445039394,57.68198786377256,9792.422963802659,11578.052480993118,0.0
2001,1367.2104735818473,2730.8106733553423,0.0,38096.32615714478,1659.125451196145,2019.4092464686803,0.0,10.68311226703307,0.0,0.0,58.19438509810507,0.0,0.0,0.0,0.0,0.0,0.0,87.29232313949224,7.547257776600731,66471.89655365361,0.0,89.69316641670754,11130.674624201074,0.0,13831.587635792408,0.0,0.0,87.47113380988333,0.0,1.8933352336948281,13.016126609129076,128.14683421148132,321262.64367505483,57.68180203605772,9791.55333348373,11582.58498860376,0.0
2002,1368.4919712210417,2737.103941653625,0.0,38207.18993911987,1718.903502424433,2043.9368161114267,0.0,10.68311226703307,0.0,0.0,58.19438509810507,0.0,0.0,0.0,0.0,0.0,0.0,87.29232313949224,6.639586319906592,66471.68319353508,0.0,89.69316641670754,11141.436208525958,0.0,13914.651377731252,0.0,0.0,87.2442921329625,0.0,1.8933352336948281,13.016126609129076,153.97121894999816,320935.81412185857,57.68180203605772,9790.969025783164,11588.95284296739,0.0
