year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,14.832949114303993,2622.7831771074975,0.0,7.354878574783926,1.4781515350458463,1.2154793306301668,0.0,0.2592141476116932,0.0,1.724538990759714,0.0,0.0,0.0,247.0715991878519,0.0,0.0,0.0,0.5184557893979261,0.7782795182964997,102.67029707185179,0.0,1.3819222832690183,0.0,0.0,3141.441821112189,0.0,0.0,0.0,0.0,80.54603542731869,20.985845914713142,1096.4595585525387,69738.60038996914,99.81855915720969,85.1039140696508,2972.5244608854114,0.0
1993,13.533372306284825,2567.324217573931,0.0,6.662591277941094,1.3912538336808713,1.2154793306301668,0.0,0.2592141476116932,0.0,1.724538990759714,0.0,0.0,0.0,233.34127486169112,0.0,0.0,0.0,0.5184557893979261,0.7782795182964997,93.11634449332703,0.0,1.3819222832690183,0.0,0.0,3117.297324642579,0.0,0.0,0.0,0.0,78.56285359322374,20.985845914713142,1400.3332143519585,69550.27909260319,97.90530456414972,83.80105431751149,2967.1378933453384,0.0
1994,12.577750194841107,2513.251107668265,0.0,5.880343397594594,1.3912538336808713,1.2154793306301668,0.0,0.2592141476116932,0.0,1.724538990759714,0.0,0.0,0.0,223.08492627726335,0.0,0.0,0.0,0.5184557893979261,0.7782795182964997,79.64987649126616,0.0,1.3819222832690183,0.0,0.0,3102.0977958257645,0.0,0.0,0.0,0.0,74.84220914256545,20.985845914713142,1688.2796578122638,69370.07189277906,96.94855346203722,82.93456518603988,2959.6758596941795,0.0
1995,11.971410616286109,2471.656282330763,0.0,4.837654147446653,1.3912538336808713,1.2154793306301668,0.0,0.2592141476116932,0.0,1.3789351890450152,0.0,0.0,0.0,218.1298986929812,0.0,0.0,0.0,0.7791259372778228,0.25933971787906934,66.96035802969489,0.0,0.9499288306283671,0.0,0.0,3088.6823250414345,0.0,0.0,0.0,0.0,72.84251166465333,20.726621947896067,1979.4850076177142,69184.68674443233,97.11953431792604,82.24132617740683,2931.9765757362125,0.0
1996,10.15620735726246,2431.3402555220578,0.0,4.837654147446653,1.3912538336808713,1.2154793306301668,0.0,0.0,0.0,2.0662152963162996,0.0,0.0,0.0,214.90480543637264,0.0,0.0,0.0,0.2606701478798966,0.17289118587857127,64.27469582792341,0.0,0.9499288306283671,0.0,0.0,3070.965819137982,0.0,0.0,0.0,0.0,73.44352224605298,20.553760198695397,2262.9990838893227,69006.9139658811,97.82311264737011,80.42644604034093,2892.8537607825497,0.0
1997,9.291655419754365,2410.3488014570944,0.0,4.837654147446653,1.3912538336808713,1.2154793306301668,0.0,0.0,0.0,2.0662152963162996,0.0,0.0,0.0,212.6491555431638,0.0,0.0,0.0,0.2606701478798966,0.0,63.75911474318995,0.0,0.9499288306283671,0.0,0.0,3057.244459878375,0.0,0.0,0.0,0.0,73.53016481520166,20.29441852333856,2461.9635959710417,68866.30104446148,96.86994729142167,79.21640411759954,2875.3595639312484,0.0
1998,9.291655419754365,2389.5495603426148,0.0,4.837654147446653,1.3912538336808713,1.2154793306301668,0.0,0.0,0.0,2.0662152963162996,0.0,0.0,0.0,211.783297146995,0.0,0.0,0.0,0.2606701478798966,0.0,62.98548453319827,0.0,0.9499288306283671,0.0,0.0,3044.5123325641434,0.0,0.0,0.0,0.0,73.09694359739103,20.29441852333856,2597.6250804422725,68774.13946463987,97.73891281893664,79.21640411759954,2866.594772006794,0.0
1999,9.291655419754365,2382.2534939722345,0.0,4.924721243873103,1.3912538336808713,1.2154793306301668,0.0,0.0,0.0,2.2384122749728204,0.0,0.0,0.0,212.8234239691294,0.0,0.0,0.0,0.2606701478798966,0.0,63.76818463352617,0.0,0.9499288306283671,0.0,0.0,3046.7603270087097,0.0,0.0,0.0,0.0,74.99253394084133,20.29441852333856,2624.41068413982,68755.86716276986,97.73953750030635,79.21640411759954,2859.1512360827132,0.0
2000,9.291655419754365,2384.191236105684,0.0,4.924721243873103,1.5648497913388484,1.2154793306301668,0.0,0.0,0.0,2.2384122749728204,0.0,0.0,0.0,212.73629098276723,0.0,0.0,0.0,0.2606701478798966,0.0,63.51038239572167,0.0,0.9499288306283671,0.0,0.0,3047.7972759911436,0.0,0.0,0.0,0.0,74.90571289932082,20.29441852333856,2657.6801088392494,68724.0440244491,97.21983207177031,79.21640411759954,2855.508124324731,0.0
2001,9.117044557278422,2383.406260608613,0.0,4.924721243873103,1.0423255418632928,1.2154793306301668,0.0,0.0,0.0,2.2384122749728204,0.0,0.0,0.0,212.82308729577687,0.0,0.0,0.0,0.2606701478798966,0.0,63.33824333093041,0.0,0.9499288306283671,0.0,0.0,3019.695089177588,0.0,0.0,0.0,0.0,74.99244151780033,20.29441852333856,2659.9256213249478,68751.63853862457,97.48308481316012,79.21640411759954,2854.9877564780477,0.0
