year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,563.3322180143032,61447.27114249303,26.873955090071203,0.0,4793.699886829994,4085.0917863866325,0.0,1601.748964852348,0.0,0.0,9754.085267654564,0.0,0.0,9.183834956170324,0.0,0.0,23.349234442848633,6177.492149881327,22406.682394505875,0.8631813359257159,0.0,0.0,87153.09706229328,0.0,4677.994116644004,0.0,0.0,0.0,0.0,0.0,11432.299415646434,8569.867865168238,511.22044213281265,13.667088872533078,5.178588401389373,25709.967765856592,0.0
1993,563.2129107960585,61325.99941510613,26.873955090071203,0.0,4793.115880949425,4083.7035515979214,0.0,1601.224015512934,0.0,0.0,9750.884549313576,0.0,0.0,9.183834956170324,0.0,0.0,23.349234442848633,6158.754090886265,22398.152712866486,0.8631813359257159,0.0,0.0,87065.48009458694,0.0,4676.582004684958,0.0,0.0,0.0,0.0,0.0,11425.501982133823,8832.449540686492,501.28607002972285,13.667088872533078,5.178588401389373,25707.503659208476,0.0
1994,562.912953456887,61211.12305752396,26.873955090071203,0.0,4791.955904861533,4082.716908505892,0.0,1600.6522942263834,0.0,0.0,9748.308225898594,0.0,0.0,9.183834956170324,0.0,0.0,23.296005879758017,6144.246342657735,22391.8482379263,0.8631813359257159,0.0,0.0,86974.65689740941,0.0,4675.214059305356,0.0,0.0,0.0,0.0,0.0,11421.008249699547,9080.980205173108,493.1883059218726,13.607693831802395,5.178588401389373,25705.151459396373,0.0
1995,570.5839707030663,61784.96740938898,26.873955090071203,0.0,4838.25783029759,4126.107007434466,0.0,1600.2409011624839,0.0,0.0,9823.527798086314,0.0,0.0,9.015234804570023,0.0,0.0,23.296005879758017,6142.660957154466,22382.637254903595,0.8631813359257159,0.0,0.0,86141.38655192974,0.0,4688.826851318959,0.0,0.0,0.0,0.0,0.0,11291.610056191152,9297.11241744255,486.91241642479145,13.429959544997837,5.178588401389373,25709.47801396341,0.0
1996,565.5212583668163,61857.58347692205,26.873955090071203,0.0,4869.014263625368,4144.190511789814,0.0,1599.877369214859,0.0,0.0,9917.632476603476,0.0,0.0,9.131290779964887,0.0,0.0,23.296005879758017,6145.297192012049,22370.960731802155,0.8631813359257159,0.0,0.0,85815.76413291026,0.0,4703.1165582736,0.0,0.0,0.0,0.0,0.0,11211.23222687527,9478.098705325707,482.74395801986253,13.429959544997837,5.178588401389373,25723.160518684803,0.0
1997,559.5416661836756,62180.81433172985,26.873955090071203,0.0,4906.5355493166835,4169.53945972258,0.0,1603.3119963197792,0.0,0.0,10548.254076505724,0.0,0.0,9.127931607537544,0.0,0.0,23.296005879758017,6218.915900508497,22296.563646952935,0.8631813359257159,0.0,0.0,84939.43357026312,0.0,4715.447554884469,0.0,0.0,0.0,0.0,0.0,10905.817596857243,9611.982668866058,479.4564191943401,13.370560878892684,5.178588401389373,25748.6417009597,0.0
1998,565.5683321475987,62373.43042720098,26.813666268353757,0.0,4947.46312243085,4191.520073719862,0.0,1603.247129382873,0.0,0.0,10568.573363428844,0.0,0.0,9.013720930271175,0.0,0.0,23.240202935170693,6221.997256038183,22294.684423317794,0.8631813359257159,0.0,0.0,84567.48191609561,0.0,4723.9450400711885,0.0,0.0,0.0,0.0,0.0,10858.115315629175,9736.677046997496,477.0179758190191,13.370560878892684,5.178588401389373,25754.765018428763,0.0
1999,535.6436410270411,62694.62293820363,26.753320080454348,0.0,4993.268095417673,4223.992201721516,0.0,1609.185665401552,0.0,0.0,10969.293167805525,0.0,0.0,9.350317922478435,0.0,0.0,23.721721929472153,6310.638555656275,22245.523058827814,0.8631813359257159,0.0,0.0,84007.76417790074,0.0,4751.676848534507,0.0,0.0,0.0,0.0,0.0,10440.36180993254,9864.552675444595,474.99745538635466,13.370560878892684,5.178588401389373,25762.20837965003,0.0
2000,513.7453282384052,62740.86006322216,26.692973892554935,0.0,5018.215568416981,4243.429841525335,0.0,1616.547564713992,0.0,0.0,11276.566713042668,0.0,0.0,9.452727554175615,0.0,0.0,24.668146964119156,6397.278916582868,22208.609065559092,0.8631813359257159,0.0,0.0,83698.79247067588,0.0,4766.086131378075,0.0,0.0,0.0,0.0,0.0,10178.409968638018,9984.341233542476,472.0916197748709,13.255197263428423,5.178588401389373,25767.88106073596,0.0
2001,476.42164023744795,62372.66846311187,26.572414185958586,0.0,5012.482026883664,4225.261072685304,0.0,1620.0855588219517,0.0,0.0,11392.981914035583,0.0,0.0,9.55527245928229,0.0,0.0,25.50063431640413,6333.21993787145,22166.592359804577,0.8631813359257159,0.0,0.0,83359.18368143697,0.0,4769.872002032873,0.0,0.0,0.0,0.0,0.0,10043.511514241605,10926.829421913011,439.5185999370255,13.255197263428423,4.966153666861592,25743.625315217003,0.0
2002,468.26127768673757,62033.66999659784,26.332608136846456,0.0,5003.3712269571215,4219.854078648161,0.0,1619.9214953893807,0.0,0.0,11446.879496063331,0.0,0.0,9.377547617481248,0.0,0.0,25.76964023873045,6331.009296124332,22139.344622763747,0.8631813359257159,0.0,0.0,83020.1996314054,0.0,4762.474810584361,0.0,0.0,0.0,0.0,0.0,10013.815785566132,11667.73296179403,424.5509762394815,13.19937555369297,4.966153666861592,25731.37219908882,0.0
2003,449.77616148359084,61775.69207408873,25.615064446873248,0.0,4983.758293714933,4198.4464962942275,0.0,1620.7086710080564,0.0,0.0,11494.273977225219,0.0,0.0,9.202404470246284,0.0,0.0,25.830864790856143,6336.936539679799,22124.200453227713,0.8631813359257159,0.0,0.0,82849.88338717744,0.0,4755.917761521185,0.0,0.0,0.0,0.0,0.0,9999.48695756073,12156.490245837365,420.16950954452665,13.021464087946642,4.966153666861592,25717.726700296058,0.0
2004,422.53946050754917,61466.834906960576,25.01430792234833,0.0,4916.344919047694,4096.297800221349,0.0,1630.5660014526493,0.0,0.0,11564.389862517606,0.0,0.0,9.409062886320529,0.0,0.0,29.28147409721127,6370.121980633075,22099.43847690566,0.8631813359257159,0.0,0.0,82790.4150779137,0.0,4753.565625345128,0.0,0.0,0.0,0.0,0.0,9969.984394442383,12675.819226594742,415.95771412832414,12.963238647390956,4.966153666861592,25708.19349623178,0.0
2005,387.9479982286745,61431.329632600966,25.01430792234833,0.0,4884.623243299965,4045.488306718071,0.0,1630.5660014526493,0.0,0.0,11579.267193126632,0.0,0.0,9.409062886320529,0.0,0.0,29.386448156840867,6377.287444705372,22109.07717510256,0.8631813359257159,0.0,0.0,82894.30404848928,0.0,4752.317461174065,0.0,0.0,0.0,0.0,0.0,9967.47967628004,12701.305745238138,414.6952384781796,13.0836943100401,4.966153666861592,25704.55434828539,0.0
2006,357.6213775333915,61406.77794809758,25.01430792234833,0.0,4862.851688482947,4027.7770248698953,0.0,1631.6167904318327,0.0,0.0,11587.86623942657,0.0,0.0,9.467635952814936,0.0,0.0,29.554843253719095,6384.942928061361,22119.297361893132,0.7564095328833631,0.0,0.0,82949.14025953435,0.0,4752.830068503506,0.0,0.0,0.0,0.0,0.0,9958.608632446021,12727.205402468448,413.2334580643032,13.0836943100401,4.966153666861592,25700.354137006303,0.0
2007,308.41128224679125,61319.56782078313,25.01430792234833,0.0,4792.661626161709,3966.493810499166,0.0,1633.2212078999066,0.0,0.0,11601.896221346131,0.0,0.0,9.592312022757694,0.0,0.0,29.554843253719095,6400.444474204579,22129.317767242006,0.7564095328833631,0.0,0.0,83158.29539431608,0.0,4758.117273515818,0.0,0.0,0.0,0.0,0.0,9952.920096172953,12750.123818582202,413.68824485384044,13.205116383489964,4.966153666861592,25694.718180851964,0.0
2008,229.08895567875405,61193.42548221842,25.01430792234833,0.0,4687.780991515291,3894.0791481229408,0.0,1635.2018546653208,0.0,0.0,11622.827877067311,0.0,0.0,9.697107003142296,0.0,0.0,29.499337223667244,6415.169910486062,22136.119421580108,0.7564095328833631,0.0,0.0,83455.0349566988,0.0,4764.948422160639,0.0,0.0,0.0,0.0,0.0,9948.065589075399,12795.85399189124,413.62798382410307,13.257586025468225,4.966153666861592,25688.550875099398,0.0
2009,221.56365394879396,61171.65500043526,25.01430792234833,0.0,4672.32002135084,3882.6312137630616,0.0,1636.4665061466262,0.0,0.0,11638.764148174705,0.0,0.0,9.641732776990244,0.0,0.0,29.547984157157035,6426.460545174781,22135.372492438375,0.7564095328833631,0.0,0.0,83473.31042015449,0.0,4771.400796746012,0.0,0.0,0.0,0.0,0.0,9943.794119721277,12804.252666689,413.64504441359554,13.200429362903161,4.966153666861592,25688.20271488227,0.0
2010,216.0333704421546,61162.08371664659,25.01430792234833,0.0,4666.044462662963,3879.936592289595,0.0,1635.833840183892,0.0,0.0,11634.205816043073,0.0,0.0,9.641732776990244,0.0,0.0,29.49607229360708,6429.284629239623,22147.719918920386,0.7564095328833631,0.0,0.0,83476.27330322242,0.0,4779.776213570885,0.0,0.0,0.0,0.0,0.0,9939.290837366132,12814.271107810398,413.6978823939616,13.200429362903161,4.966153666861592,25685.43956511052,0.0
