year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,10973.60412482269,4908.256698290202,534.6436602849435,3105.063695705635,11048.70076141925,8654.807197586722,11798.178927950908,513.9637225617893,350.32508486845404,86.75775023627395,98.00168942333018,0.0,0.0,0.0,0.0,0.0,36.60183462069315,3612.0202185132584,237.49570122671872,3786.1712867270335,0.0,0.0,110786.74858968912,0.0,7.410985493194592,0.0,0.0,0.7267011540636541,0.0,0.0,2824.102067572545,201.72485958503674,17.5568938819736,0.0,0.0,3436.1700887343454,0.0
1993,10969.266862539023,4908.178362246359,534.6436602849435,3104.9813084523075,11048.70076141925,8654.572218636727,11798.178927950908,513.9637225617893,350.32508486845404,86.75775023627395,98.00168942333018,0.0,0.0,0.0,0.0,0.0,36.60183462069315,3612.0202185132584,237.49570122671872,3785.5418903511127,0.0,0.0,110786.74858968912,0.0,7.253925104516814,0.0,0.0,0.7267011540636541,0.0,0.0,2824.020557461439,207.3257909915667,17.5568938819736,0.0,0.0,3436.1700887343454,0.0
1994,10964.05972577183,4907.942807270148,534.6436602849435,3104.9813084523075,11048.622512676458,8653.945234502407,11798.178927950908,513.9637225617893,350.32508486845404,86.75775023627395,98.00168942333018,0.0,0.0,0.0,0.0,0.0,36.60183462069315,3612.0202185132584,237.49570122671872,3784.599708406458,0.0,0.0,110786.66825653354,0.0,7.253925104516814,0.0,0.0,0.7267011540636541,0.0,0.0,2824.020557461439,214.49623071233393,17.5568938819736,0.0,0.0,3436.1700887343454,0.0
1995,10974.680844911893,4911.832726640444,535.8924481500559,3112.9128972781295,11058.24370252138,8654.40487586498,11768.824010472816,444.63726062179484,350.97098180375997,86.59978145345576,97.68806013064513,0.0,0.0,0.0,0.0,0.0,36.60183462069315,3615.9870904891022,237.49570122671872,3756.504073056434,0.0,0.0,110822.62408443607,0.0,7.253925104516814,0.0,0.0,0.7267011540636541,0.0,0.0,2823.209695729502,219.30304469005992,17.5568938819736,0.0,0.0,3485.0819061097413,0.0
1996,10976.231928785628,4913.14534144863,535.9710347089944,3112.8316719270547,11055.710898550304,8647.408201453154,11766.759376455237,405.2220990906753,351.05110952621703,87.49432006751113,97.68806013064513,0.0,0.0,0.0,0.0,0.0,36.60183462069315,3616.7926619895334,237.49570122671872,3745.2315706236454,0.0,0.0,110820.250374364,0.0,6.933168159142387,0.0,0.0,0.7267011540636541,0.0,0.0,2821.8324403040806,225.6118047028755,17.5568938819736,0.0,0.0,3540.485347177435,0.0
1997,10976.98992205813,4914.305170908259,535.9710347089944,3114.562319854755,11046.260616472175,8642.662233281248,11772.898681218325,379.78205716794497,351.92843561222793,88.70723846577125,97.84911738968673,0.0,0.0,0.0,0.0,0.0,36.60183462069315,3617.439826712462,234.54543300941774,3729.3376965157595,0.0,0.0,110813.51436910487,0.0,6.933168159142387,0.0,0.0,0.7267011540636541,0.0,0.0,2821.411970233473,231.99641450947476,17.5568938819736,0.0,0.0,3587.051405309382,0.0
1998,10976.26000039111,4914.396149470807,535.9710347089944,3114.318055598423,11043.510050040064,8633.872380789579,11794.725874571042,336.4008394486738,353.08249576955103,88.70723846577125,98.25671355344245,0.0,0.0,0.0,0.0,0.0,36.60183462069315,3618.82376541194,234.13505970357187,3697.6523233419416,0.0,0.0,110800.47069455688,0.0,6.933168159142387,0.0,0.0,0.7267011540636541,0.0,0.0,2817.107654616699,239.1697846947343,17.5568938819736,0.0,0.0,3660.353827399099,0.0
1999,10976.662181889405,4919.810617711605,532.089328324462,3120.1752825064186,10964.744240488797,8406.224251637714,12030.834783086193,324.2263398298366,359.1559475152796,98.55026660402713,101.30276710510127,0.0,0.0,0.0,0.0,0.0,39.36671570120176,3646.668582662029,223.29732048470416,3583.447209851224,0.0,0.0,110907.76331106249,0.0,6.696581045991353,0.0,0.0,0.7267011540636541,0.0,0.0,2806.835342572223,244.63210014269515,17.5568938819736,0.0,0.0,3708.2657750908056,0.0
2000,10969.92362598848,4918.423934982812,526.6486512508814,3119.502539226336,10920.85229250545,8020.039895813989,12275.638776515929,330.10572618540624,362.6009521739763,109.79156705114245,107.22095174757963,0.0,0.0,0.0,0.0,0.0,44.65602456235064,3659.0842501968523,215.84036152814608,3526.2818392628055,0.0,0.0,111117.436963822,0.0,6.858226500331172,0.0,0.0,0.7267011540636541,0.0,0.0,2802.1981725565147,250.80180702820263,17.5568938819736,0.0,0.0,3716.84238641291,0.0
2001,10998.66194321346,4931.730100216402,526.3737850404675,3122.9349433824095,10863.667051554106,7711.605952822007,12640.782551400596,326.2669161237656,369.057371737268,127.2020942487869,113.41450551446876,0.0,0.0,0.0,0.0,0.0,55.07444440946885,3662.651215965294,198.96866103987804,3372.128921267545,0.0,0.0,111184.60297692611,0.0,6.858226500331172,0.0,0.0,0.7267011540636541,0.0,0.0,2799.668942262718,265.68811846039915,17.5568938819736,0.0,0.0,3723.4102232266937,0.0
