year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2049.72533740731,4740.798540434845,2.5782071484737283,77908.81512212609,4962.722686873648,5110.298880895161,0.0,34.006110930347575,0.0,0.0,538.4235487586357,0.0,0.0,154.23921087773556,0.0,0.0,0.0,199.81928023187066,293.678129405345,44939.63730997976,0.0,0.1513490786374644,27727.04282090022,0.0,23771.623471345945,0.0,0.0,0.0,0.0,0.0,666.2042179411625,619.4100367466134,241788.79799168967,0.4519327787206478,324.1701263167069,24574.722479595654,346.27426212214573
1993,2048.865458625224,4739.2194764881115,2.5782071484737283,77903.32442366144,4960.329049704763,5108.712775771404,0.0,34.006110930347575,0.0,0.0,538.4235487586357,0.0,0.0,154.23921087773556,0.0,0.0,0.0,199.81928023187066,293.678129405345,44939.63730997976,0.0,0.1513490786374644,27720.938659750827,0.0,23771.334716061672,0.0,0.0,0.0,0.0,0.0,666.0670508453528,638.0627568067083,242008.2744058094,0.4519327787206478,324.1701263167069,24355.032812431386,346.27426212214573
1994,2048.2823272009605,4738.0728533862375,2.5782071484737283,77897.61138041146,4959.286072393827,5105.912662428954,0.0,34.006110930347575,0.0,0.0,538.4235487586357,0.0,0.0,154.23921087773556,0.0,0.0,0.0,199.81928023187066,293.678129405345,44939.63730997976,0.0,0.1513490786374644,27716.928844782124,0.0,23772.842738724084,0.0,0.0,0.0,0.0,0.0,671.3475930944343,657.7231386393586,242943.49154975425,0.4519327787206478,339.0463440350191,23393.78620742228,346.27426212214573
1995,2051.7242503279267,4754.565433597604,2.5782071484737283,78002.74809363873,4942.883869919149,5093.1079250557805,0.0,34.006110930347575,0.0,0.0,427.90305610991754,0.0,0.0,154.09638883148375,0.0,0.0,0.0,197.4596278681181,293.88826778461316,44940.86129024937,0.0,0.1513490786374644,27604.799039375284,0.0,23723.14317025225,0.0,0.0,0.0,0.0,0.0,671.344299117059,676.4259657596908,243658.72364835264,0.4519327787206478,352.97279951321553,22823.48206577345,346.27426212214573
1996,2056.616567449758,4762.946333559902,2.5782071484737283,78053.07424121414,4856.10829527407,5072.171727016169,0.0,34.006110930347575,0.0,0.0,330.5898010660845,0.0,0.0,157.29026743312278,0.0,0.0,0.0,196.7500972777107,293.2264732194226,44964.55591015009,0.0,0.1513490786374644,27620.31224452467,0.0,23767.199870732424,0.0,0.0,0.0,0.0,0.0,672.3028563807694,695.1130631562934,244742.110875901,0.4519327787206478,412.09232137512436,21717.66824579566,346.27426212214573
1997,2058.3863611528523,4770.619277526548,2.5782071484737283,78099.78704935739,4842.721683159287,5053.440845442288,0.0,34.006110930347575,0.0,0.0,294.8726426782613,0.0,0.0,161.79178607587212,0.0,0.0,0.0,195.96196279884174,291.46328750707744,44977.3786854189,0.0,0.1513490786374644,27615.227581287534,0.0,23776.644344201544,0.0,0.0,0.0,0.0,0.0,672.3028563807694,714.8389850261764,245056.76929772715,0.4519327787206478,422.7808805839605,21365.141665201976,346.27426212214573
1998,2065.0970383287727,4781.364210500451,3.185405349034995,78186.19005289409,4796.400835859634,5037.92691812555,0.0,34.006110930347575,0.0,0.0,288.5610256010749,0.0,0.0,177.96219471050395,0.0,0.0,0.0,196.61531126225182,283.7402356465927,44978.19205906387,0.0,0.1513490786374644,27556.468287984862,0.0,23801.406494373325,0.0,0.0,0.0,0.0,0.0,672.3028563807694,733.9871968630097,245187.0340719558,0.4519327787206478,427.4735294482749,21198.79967432698,346.27426212214573
1999,2058.50312689629,4809.4884918467715,3.33707238907208,78503.28034783571,4701.234198940285,4952.168197889444,0.0,35.333020312870254,0.0,0.0,299.1131033241284,0.0,0.0,219.28022855494564,0.0,0.0,0.0,235.77307794906284,274.4539378274624,44982.15266129765,0.0,0.1513490786374644,27488.502770635732,0.0,23955.47448436356,0.0,0.0,0.0,0.0,0.0,673.3302417185147,750.0485896358554,245257.9396046649,0.4519327787206478,435.7082782390856,20771.592075284145,346.27426212214573
2000,2057.3510356504603,4814.527777015151,3.33707238907208,78501.43796756433,4194.227458880675,4784.4125441773485,0.0,35.333020312870254,0.0,0.0,259.95432572705533,0.0,0.0,220.78276294847652,0.0,0.0,0.0,237.48852904398137,275.5904553483356,44982.562153569925,0.0,0.1513490786374644,27783.815179590674,0.0,24591.583756883214,0.0,0.0,0.0,0.0,0.0,673.3302417185147,769.5718837273723,245453.26747931386,0.4519327787206478,454.8043848279097,20313.3354809161,346.27426212214573
2001,2045.150980052397,4806.7677383653945,3.33707238907208,78394.88284683676,3995.989724421586,4660.396209637487,0.0,35.40222978890242,0.0,0.0,225.0888446942902,0.0,0.0,223.45476304584778,0.0,0.0,0.0,238.64625949433133,273.9366635785187,44988.24191395379,0.0,0.1513490786374644,27698.145955219683,0.0,24997.001125227256,0.0,0.0,0.0,0.0,0.0,673.3302417185147,1019.3900809384544,245887.03497167228,0.4519327787206478,477.19155984167537,19763.324328729082,346.27426212214573
