year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,21.836907119167968,0.27586390515288917,8.010878031286802,0.0,1725.8330637284714,180.6758650110196,3478.668661688843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20684805378274,32.78843574325182,0.0,0.2758475704548261,0.0,0.0,0.0,2071.4182378638257,0.0
1993,21.836907119167968,0.27586390515288917,8.010878031286802,0.0,1725.8330637284714,180.6758650110196,3478.668661688843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20684805378274,32.78843574325182,0.0,0.2758475704548261,0.0,0.0,0.0,2071.4182378638257,0.0
1994,21.836907119167968,0.27586390515288917,8.010878031286802,0.0,1725.8330637284714,180.6758650110196,3478.668661688843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20684805378274,32.78843574325182,0.0,0.2758475704548261,0.0,0.0,0.0,2071.4182378638257,0.0
1995,21.836907119167968,0.27586390515288917,8.010878031286802,0.0,1720.6786463473102,183.15844329404024,3499.362623951546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,34.16731912876732,0.0,0.2758475704548261,0.0,0.0,0.0,2051.649230787802,0.0
1996,21.836907119167968,0.5517302855581407,8.010878031286802,0.0,1724.5357719019805,184.07801645333683,3506.6999740156625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,34.442666350524796,0.0,0.2758475704548261,0.0,0.0,0.0,2038.9839684075557,0.0
1997,21.836907119167968,0.6434018659260061,8.010878031286802,0.0,1724.5357719019805,184.07801645333683,3509.266698502579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,35.0843545469866,0.0,0.2758475704548261,0.0,0.0,0.0,2035.6838841438096,0.0
1998,21.836907119167968,0.6434018659260061,8.010878031286802,0.0,1720.2012327103864,184.07801645333683,3513.6012376941726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,35.0843545469866,0.0,0.2758475704548261,0.0,0.0,0.0,2035.6838841438096,0.0
1999,21.836907119167968,0.6434018659260061,8.010878031286802,0.0,1711.830089987932,183.98589712397188,3521.2376378541426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,35.91121643883647,0.0,0.2758475704548261,0.0,0.0,0.0,2035.6838841438096,0.0
2000,21.836907119167968,0.6434018659260061,8.010878031286802,0.0,1710.7254668359747,183.98589712397188,3523.079885717319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,36.09562321348488,0.0,0.2758475704548261,0.0,0.0,0.0,2034.761852657942,0.0
2001,21.836907119167968,0.6434018659260061,8.010878031286802,0.0,1702.7200778497765,183.98589712397188,3531.545889471049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,36.37199328147367,0.0,0.2758475704548261,0.0,0.0,0.0,2034.0248678224214,0.0
2002,21.836907119167968,0.6434018659260061,8.010878031286802,0.0,1682.7046373242365,183.70984226586,3551.837384854702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748485797288385,36.37199328147367,0.0,0.2758475704548261,0.0,0.0,0.0,2034.0248678224214,0.0
2003,21.836907119167968,0.8277148916011865,8.010878031286802,0.0,1602.5949032308513,183.34364849174713,3633.2344654971926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758930453650162,37.84572745573899,0.0,0.2758475704548261,0.0,0.0,0.0,2031.2615859735658,0.0
2004,15.475350835001278,2.025672454451949,8.010878031286802,0.0,360.9458910266725,169.6941055717439,4894.8026636416835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758930453650162,38.39826627655213,0.0,0.2758475704548261,0.0,0.0,0.0,2029.6030028537627,0.0
2005,15.475350835001278,2.394360414081743,8.010878031286802,0.0,321.5878295874095,169.6941055717439,4934.0690663703745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758930453650162,38.48992498712371,0.0,0.2758475704548261,0.0,0.0,0.0,2029.234314894133,0.0
2006,12.248726860740616,2.394360414081743,8.010878031286802,0.0,311.37902989867615,169.51070593312826,4947.780091865837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758930453650162,39.22652561690131,0.0,0.2758475704548261,0.0,0.0,0.0,2028.4055120705013,0.0
2007,9.667455105057249,2.394360414081743,7.826684445984315,0.0,274.8672352632914,168.77540815374712,4987.700691687275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758930453650162,39.31848355121554,0.0,0.2758475704548261,0.0,0.0,0.0,2028.4055120705013,0.0
2008,9.667455105057249,2.486386054325704,7.826684445984315,0.0,267.68237649892825,168.77540815374712,4994.977573641485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758930453650162,39.41050796657956,0.0,0.2758475704548261,0.0,0.0,0.0,2028.129438825046,0.0
2009,5.3390877357036075,2.486386054325704,5.985365820891802,0.0,235.54963725566552,168.4069081150596,5033.830940688004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.943001321690688,39.68549182530385,0.0,0.2758475704548261,0.0,0.0,0.0,2027.4879423281586,0.0
2010,3.7728714687663323,2.5783117547599934,5.709258299804148,0.0,215.38157311917686,168.4069081150596,5055.841328612518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.943001321690688,39.59356612486956,0.0,0.2758475704548261,0.0,0.0,0.0,2027.4879423281586,0.0
