year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,20682.553145844853,15292.35161882751,0.6573557334764623,16317.432420972,13644.060359517334,48360.9866964882,31.54566270753426,229140.17690891202,20764.667382373456,208442.50905598127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16680.818470020164,3922.7433874024723,102160.59257612917,0.0,7704.769927915929,9045.508059136575,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27474.313983193566,335.0045217382844,22.916751681683785,0.0,0.9315899385010036,14812.796903975079,0.0
1993,20682.46174772937,15291.889664989263,0.6573557334764623,16317.432420972,13643.783790979287,48360.61871086539,31.54566270753426,229140.08493738412,20764.667382373456,208441.7744617161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16679.3434292405,3922.191761322912,102159.84908931189,0.0,7704.769927915929,9044.8641265297,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27474.313983193566,340.5350711827671,22.824760428243145,0.0,0.9315899385010036,14812.796903975079,0.0
1994,20682.002410910816,15291.889664989263,0.6573557334764623,16317.432420972,13643.507785238668,48360.06613522282,31.54566270753426,229139.34728166554,20764.667382373456,208441.13258087193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16677.58624868151,3921.4580350156607,102159.01398573119,0.0,7704.769927915929,9044.404180145377,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27474.313983193566,346.98848277862965,22.824760428243145,0.0,0.9315899385010036,14812.796903975079,0.0
1995,20926.21728648337,15726.768170533156,0.6573557334764623,16335.92347274648,13987.037891680751,48368.06464893552,31.54566270753426,228168.6737884756,20765.038889456853,208227.99995390003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16697.098980245224,3905.1078978471655,102273.08520181298,0.0,7709.9597944878215,9035.103744493754,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27488.31341402052,352.1522979520979,22.824760428243145,0.0,0.9315899385010036,14814.831976610367,0.0
1996,21131.809719877918,16195.028190019413,0.6573557334764623,16342.589539562765,14083.633798749388,48344.29248375278,31.54566270753426,227568.8775820028,20766.803351770155,208397.08741380105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16635.904079705648,3878.0230861483774,102035.06903467282,0.0,7700.256683750393,9036.035409215337,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27494.50998248164,357.58914018314465,22.824760428243145,0.0,0.9315899385010036,14813.867913988106,0.0
1997,21428.741214274934,16527.67776096843,0.6573557334764623,16343.906300533363,14226.284171908404,48417.31295633991,29.518909017854625,226798.74725971546,20768.11265551837,208386.53366945888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16552.499463242882,3860.925248276839,102046.954746887,0.0,7696.51665474705,9036.128913132716,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27511.820748322363,365.23776764282053,23.382980401701978,0.0,0.8384287350030293,14815.539573631642,0.0
1998,22397.221187477106,17400.17294218003,0.6573557334764623,16373.22979115549,14369.364727300204,48592.66905502488,29.518909017854625,224599.10908974177,20769.134940531447,208371.13970589222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16349.94763060565,3833.1453008868716,102188.5037351713,0.0,7701.918264106167,9058.054136343188,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27578.966891930777,371.766510882736,23.47513588569939,0.0,0.8384287350030293,14828.503039887528,0.0
1999,23089.101998772414,18398.027547467267,0.6573557334764623,16512.233870741624,14957.573032651015,49236.93772822782,21.241018988602857,221295.8622710997,20769.88425876482,208014.61535948562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16286.722521500365,3842.39598125615,102814.07709838545,0.0,7760.132582126386,9076.473416984229,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27682.4556221898,378.49222725279225,24.122559003182637,0.0,0.8384287350030293,14675.491899123517,0.0
2000,23685.83361731221,19029.819521886573,0.6573557334764623,16575.32130883535,15415.852278149976,49739.04331431987,21.241018988602857,219078.2875799027,20770.24966570922,208001.81197607698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16330.4997613651,3926.4851059881216,102325.9769315395,0.0,7764.416588780836,9164.608772896103,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,27909.90576706212,389.4481558649464,24.122559003182637,0.0,0.8384287350030293,14682.917070339201,0.0
2001,23906.770112213228,19177.831880024234,0.6573557334764623,16610.412196354955,15546.626705537561,49806.465241122765,21.241018988602857,218638.99418815374,20770.24966570922,208064.5279109935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16249.26928637868,3926.706019154532,101983.18108213748,0.0,7763.167471547937,9173.479792354756,0.0,0.0,0.0,0.0,0.0,4.241426590531067,2.9215482761018308,28079.95408913873,411.7892018107262,24.030849967123388,0.0,0.8384287350030293,14681.144282432972,0.0
