year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,73836.22442766152,48717.698641568124,0.7966841209047134,4296.651170807465,7229.887083198679,3440.2193020289665,78.3273323334877,31612.09927125795,97.43131110564694,65734.30252780004,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6442.052393476407,6205.480379244303,107498.4557431582,0.0,2019.7689868561772,14147.141009781079,0.0,20.461995637130165,0.0,0.0,0.0,0.0,3.049388870572624,220.19738872232838,335.92663303110504,915.9325916051571,0.0,0.09072741528787365,4705.369283100114,0.0
1993,73835.95367075708,48717.60799049315,0.7966841209047134,4296.55968400267,7229.887083198679,3440.0375851698527,78.3273323334877,31610.103429700688,97.43131110564694,65731.85882181858,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6438.519975708173,6204.4865689997705,107495.37250111328,0.0,2019.7689868561772,14146.868502283922,0.0,20.461995637130165,0.0,0.0,0.0,0.0,3.049388870572624,220.19738872232838,349.06414216170674,915.7512192114536,0.0,0.09072741528787365,4705.369283100114,0.0
1994,73835.86420568071,48717.33799645227,0.7966841209047134,4296.55968400267,7229.887083198679,3439.8558767818736,78.3273323334877,31608.472058142503,97.43131110564694,65730.04914641484,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6434.992592213229,6203.129638899924,107493.19970892064,0.0,2019.6793856638615,14146.507253157073,0.0,20.461995637130165,0.0,0.0,0.0,0.0,3.049388870572624,220.19738872232838,360.6451372190337,915.6603947278609,0.0,0.09072741528787365,4705.369283100114,0.0
1995,73902.50756827093,48764.15927328105,0.7966841209047134,4304.261826362905,7235.738141388635,3391.960581254916,78.3273323334877,31514.04869402242,97.70005731083228,65756.2626146209,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6425.472279535938,6189.206861745925,107483.4908727973,0.0,2020.6779068446176,14155.240492331079,0.0,20.37267796862932,0.0,0.0,0.0,0.0,3.049388870572624,220.2841524941792,372.5128735919144,912.8931014082094,0.0,0.09072741528787365,4708.510164809925,0.0
1996,73937.95177134912,48788.1131810291,0.7966841209047134,4304.357078257826,7236.026243326118,3344.913599733513,78.3273323334877,31572.105168446884,97.79132396514515,65866.36258850442,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6408.538133219699,6159.062935996576,107303.9385342366,0.0,2018.4147471090605,14171.607293763363,0.0,20.28336030012847,0.0,0.0,0.0,0.0,3.049388870572624,220.46260183614433,383.5678320227562,912.2672760053354,0.0,0.09072741528787365,4729.5364709384885,0.0
1997,74019.8869668402,48870.80761657664,0.7966841209047134,4305.450612519272,7232.518079905543,3285.368707233254,78.3273323334877,31672.33482730953,97.79132396514515,66226.02287670596,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6399.430797875785,6111.822183811075,106762.47174886415,0.0,2019.2582466322917,14189.044379890152,0.0,20.28336030012847,0.0,0.0,0.0,0.0,3.049388870572624,220.27952660292937,392.88552116045093,914.4533607446633,0.0,0.09072741528787365,4735.190003103195,0.0
1998,74211.28939208722,49040.52418731045,0.7966841209047134,4317.098969725992,7246.93261840426,3262.0919033688033,78.41736499939502,31408.032204743682,98.33242697977393,66392.40470636154,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6373.063814182074,6028.508616712541,106636.304492941,0.0,2019.5511733105866,14136.819310424506,0.0,20.28336030012847,0.0,0.0,0.0,0.0,3.049388870572624,222.96303746627206,399.58302296927025,922.7114437514689,0.0,0.09072741528787365,4738.715426334932,0.0
1999,75126.94861346374,49757.458660797325,0.7966841209047134,4329.860189524697,7287.05617312626,2927.537662840367,78.41736499939502,30640.52269473103,98.33242697977393,67021.19286232366,0.2721204859589167,0.0,0.0,0.0,0.0,0.0,0.0,6388.955472382196,5307.855556168829,106192.21542425959,0.0,2024.9151529909948,14075.775930540565,0.0,20.28336030012847,0.0,0.0,0.0,0.0,3.049388870572624,224.40362623335247,405.65497705782036,926.0672708067202,0.0,0.09072741528787365,4720.174052847287,0.0
2000,75740.63188798694,50223.21816726689,0.7966841209047134,4333.722602331131,7286.691909351541,2474.493844334121,78.50739613141735,30493.59064216067,98.7825580742658,67866.05635825389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6412.1224781171795,4842.444884430831,105309.1389722534,0.0,2020.0950757438184,14057.129491994217,0.0,20.28336030012847,0.0,0.0,0.0,0.0,3.049388870572624,224.31668302442276,414.97508711981175,932.9624914818546,0.0,0.09072741528787365,4724.735702503325,0.0
2001,75992.30427963063,50441.786220020236,0.7966841209047134,4334.894279932082,7294.115135452757,2360.8940273924723,78.68744918750613,30387.724341862806,98.87258767219164,68003.38801166255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6422.93690522312,4635.014879449688,105149.89657672068,0.0,2024.6994344039597,14007.332522465169,0.0,20.372838252409988,0.0,0.0,0.0,0.0,3.049388870572624,225.2102457785249,417.76820541685584,933.5969128529579,0.0,0.09072741528787365,4724.404739483274,0.0
2002,76833.95861052882,51084.919430796384,0.7966841209047134,4341.46640466337,7328.105229752082,2312.8732260319625,78.68744918750613,30295.14258121262,98.87258767219164,68029.53136158513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6428.11672132103,3450.0589774334026,105090.0720765083,0.0,2025.508207000796,13829.206381674374,0.0,20.462364368082017,0.0,0.0,0.0,0.0,3.049388870572624,228.07841566289412,422.442874038577,933.9547037065762,0.0,0.09072741528787365,4722.441989715847,0.0
2003,77264.52431802897,51383.38483377363,0.7966841209047134,4346.406040989372,7337.2797574664355,2254.8015016550053,78.86851714653906,30249.67685691069,99.77793477977399,68051.78702863233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6429.867921044634,2961.070660053537,105047.83151148508,0.0,2029.2506070802865,13687.556910654412,0.0,20.462364368082017,0.0,0.0,0.0,0.0,3.049388870572624,228.71249135300198,425.22886364630676,933.6044632708747,0.0,0.09072741528787365,4723.8070105209335,0.0
