year,Bern,Pristina,Roseau,Djibouti,Banjul,Skopje,Bridgetown,Bujumbura,Kingstown,Castries,Basseterre,Port Louis,Saint George's,Manama,Saint John's,Montevideo,Lomé,Tunis,Abu Dhabi,Ashgabat
2002,36.29001,40.22,40.48001,46.130005,32.820007,48.23001,45.76001,50.79001,29.630005,38.320007,52.079987,51.420013,36.920013,51.29001,47.170013,43.920013,48.820007,48.360016,56.600006,56.940002
2003,42.820007,45.26001,44.579987,45.850006,33.73001,48.700012,46.389984,47.570007,33.610016,43.700012,56.660004,53.53,41.639984,54.69998,50.660004,47.48001,50.920013,51.670013,59.48001,55.059998
2004,36.670013,41.48001,42.630005,46.360016,34.25,48.01001,49.190002,51.22,32.670013,39.820007,48.23001,51.920013,41.420013,52.29001,47.01001,45.04001,52.420013,48.570007,59.130005,54.01001
2005,38.380005,43.48001,44.309998,48.630005,31.570007,48.51001,48.29001,48.73001,33.28,41.97,47.200012,52.820007,42.380005,50.170013,46.01001,45.110016,48.570007,51.360016,58.130005,59.190002
2006,39.910004,41.51001,43.79001,44.570007,38.670013,45.23001,47.97,51.660004,34.630005,45.200012,46.76001,50.570007,43.100006,51.910004,45.820007,44.200012,48.880005,51.76001,57.839996,55.139984
2007,36.01001,48.48001,44.79001,50.130005,34.25,51.44998,47.940002,49.03,36.54001,44.47,49.5,49.920013,43.610016,51.440002,47.630005,45.51001,53.19998,51.78,59.19998,56.98001
2008,37.54001,44.950012,46.320007,47.29001,30.380005,49.01001,44.950012,45.309998,35.0,42.130005,49.820007,49.51001,43.200012,50.070007,50.329987,47.97,47.670013,51.51001,59.47,57.880005
2009,36.23001,44.160004,41.360016,51.29001,30.029999,47.01001,46.51001,47.829987,30.160004,41.380005,47.860016,51.130005,40.450012,53.170013,46.559998,47.059998,50.579987,51.26001,57.47,55.660004
2010,38.350006,43.26001,43.920013,47.47,40.350006,48.54001,47.309998,47.559998,33.04001,43.360016,46.829987,52.579987,43.26001,50.51001,46.01001,46.29001,52.110016,50.98001,59.320007,56.79001
2011,36.29001,44.48001,44.610016,49.360016,33.48001,48.440002,46.28,50.360016,32.76001,43.440002,44.889984,51.76001,38.049988,52.110016,46.450012,43.880005,50.570007,49.880005,59.23001,56.190002
2012,37.139984,46.320007,42.48001,48.72,31.600006,50.190002,47.200012,48.820007,35.700012,44.139984,45.23001,53.070007,39.76001,52.860016,45.880005,46.23001,49.48001,51.579987,59.98001,55.089996
2013,41.070007,44.190002,42.54001,49.630005,34.54001,48.98001,44.450012,47.320007,32.850006,43.079987,45.860016,49.950012,42.820007,52.440002,45.380005,48.01001,49.29001,50.660004,57.170013,55.73001
2014,35.450012,43.0,44.880005,49.01001,30.420013,45.79001,47.420013,48.23001,33.420013,42.660004,46.860016,50.98001,41.75,52.559998,48.04001,44.73001,49.73001,49.190002,56.940002,56.589996
2015,43.28,46.079987,44.639984,49.110016,,50.320007,48.829987,47.360016,30.940002,45.26001,54.360016,50.880005,38.610016,52.320007,50.700012,44.79001,47.73001,51.51001,59.320007,58.589996
2016,36.100006,40.54001,46.360016,50.79001,44.200012,47.76001,49.01001,48.78,31.570007,44.54001,49.139984,51.28,44.25,52.690002,44.610016,45.23001,50.450012,49.98001,58.440002,54.76001
2017,38.570007,44.110016,43.559998,51.320007,37.450012,49.670013,48.22,48.700012,31.25,45.410004,46.670013,53.0,39.420013,52.53,46.690002,47.79001,48.79001,51.600006,60.48001,58.109985
2018,41.200012,40.54001,41.389984,46.200012,38.570007,45.389984,45.47,47.76001,34.51001,41.079987,49.389984,50.23001,39.320007,52.610016,50.329987,45.579987,48.22,50.880005,58.79001,59.01001
