year,Lusaka,Harare,Dili,Port Vila,Tegucigalpa,Georgetown,Reykjavík,Port-au-Prince,Kampala,Paramaribo,Niamey,Dushanbe,Asunción,Managua,Freetown,Islamabad,Kathmandu,Bloemfontein,Pretoria,Port Moresby
2002,50.22,46.26001,49.03,39.03,47.5,48.73001,21.850006,54.73001,42.329987,46.070007,50.350006,50.360016,45.54001,55.190002,43.73001,45.51001,36.29001,56.380005,50.829987,59.76001
2003,52.54001,47.54001,46.070007,43.72,52.94998,50.76001,25.01001,52.570007,47.880005,45.309998,61.350006,51.420013,54.110016,55.170013,47.809998,50.700012,40.889984,57.110016,52.01001,52.48001
2004,51.670013,44.880005,46.23001,43.670013,52.579987,46.28,27.320007,54.639984,46.920013,43.360016,61.089996,49.860016,53.860016,56.860016,46.98001,47.97,42.47,56.639984,50.139984,50.079987
2005,50.450012,45.72,46.78,43.54001,53.850006,48.320007,25.029999,54.690002,49.110016,49.79001,56.79001,50.48001,53.420013,54.809998,47.070007,50.920013,45.420013,56.660004,50.820007,52.670013
2006,54.04001,47.76001,50.04001,41.440002,53.53,46.829987,26.040009,52.630005,48.880005,48.29001,64.82001,53.160004,49.53,55.170013,50.389984,50.22,39.570007,54.329987,50.700012,50.670013
2007,49.940002,46.670013,47.76001,40.23001,51.320007,47.360016,28.660004,53.170013,45.700012,45.100006,58.600006,51.01001,51.48001,53.130005,48.48001,52.79001,43.920013,55.23001,49.130005,50.910004
2008,51.920013,46.880005,46.600006,38.350006,52.51001,46.170013,29.630005,53.829987,43.070007,48.51001,61.440002,51.100006,53.04001,54.690002,43.700012,45.54001,44.130005,55.76001,48.23001,51.079987
2009,49.450012,45.610016,44.200012,41.380005,53.28,48.98001,27.910004,52.139984,45.820007,47.820007,57.839996,49.440002,51.29001,56.29001,47.920013,52.610016,43.389984,55.570007,47.610016,50.47
2010,51.420013,46.75,44.190002,39.53,53.329987,47.98001,27.920013,53.309998,44.98001,50.51001,56.940002,49.389984,53.44998,55.98001,47.920013,57.04001,46.29001,51.320007,48.51001,48.78
2011,51.23001,48.100006,45.0,40.0,50.950012,47.54001,26.540009,54.380005,48.73001,48.950012,59.76001,50.670013,51.610016,57.089996,47.76001,48.630005,43.170013,51.25,47.440002,51.48001
2012,49.170013,44.950012,47.420013,39.660004,49.48001,48.51001,25.529999,51.320007,46.380005,46.639984,53.329987,48.47,55.690002,53.139984,48.04001,55.110016,47.920013,55.910004,45.950012,52.360016
2013,51.350006,45.559998,48.559998,37.950012,51.25,46.860016,23.790009,50.450012,43.360016,47.420013,56.5,51.690002,52.73001,55.26001,51.29001,49.660004,42.670013,53.79001,48.51001,53.350006
2014,53.880005,46.73001,47.03,40.79001,51.110016,45.820007,22.549988,52.570007,47.570007,47.23001,61.160004,50.079987,51.420013,54.320007,49.610016,48.53,43.639984,53.97,48.54001,53.190002
2015,54.570007,49.26001,48.51001,43.110016,51.78,47.26001,25.130005,49.72,47.809998,47.309998,56.48001,50.920013,50.350006,55.01001,48.48001,46.850006,48.98001,58.51001,52.48001,53.860016
2016,53.410004,47.860016,48.28,47.380005,51.54001,49.54001,23.609985,51.98001,46.110016,46.76001,54.190002,50.0,50.880005,54.76001,53.670013,47.110016,42.51001,58.309998,54.320007,53.070007
2017,53.78,47.53,46.670013,41.700012,51.51001,46.04001,22.420013,53.850006,45.940002,46.200012,61.53,51.29001,53.660004,54.860016,49.570007,50.309998,45.880005,54.97,49.559998,51.190002
2018,54.29001,51.440002,47.820007,40.76001,50.070007,47.04001,22.700012,53.610016,40.889984,46.690002,64.29001,52.139984,50.73001,54.350006,50.410004,50.700012,41.25,57.79001,52.600006,51.51001
