year,Lusaka,Harare,Dili,Port Vila,Tegucigalpa,Georgetown,Reykjavík,Port-au-Prince,Kampala,Paramaribo,Niamey,Dushanbe,Asunción,Managua,Freetown,Islamabad,Kathmandu,Bloemfontein,Pretoria,Port Moresby
2002,48.6920104,45.012496,46.812003,36.320007,43.854988,48.3699893,18.708007799999997,49.548001,40.6205109,44.3870115,49.455009249999996,47.69750125,43.9520142,53.51750319999999,40.85000599999999,35.077492,33.3290109,50.5530022,46.160512849999996,53.8590056
2003,47.5560151,42.9740049,45.430004999999994,43.0325025,51.888,47.18351285,21.232010100000004,50.369015600000004,45.130005,44.226002,58.838006299999996,46.5059998,48.4230139,54.90550415,46.9840035,43.38650139999999,36.880984399999996,51.1210053,46.3125048,50.481500249999996
2004,47.170013,42.3225025,43.729001,39.006011199999996,48.8680118,44.64801,22.665486299999998,50.2690091,41.190002,42.4760072,56.34350714999999,46.7600076,49.50551435,52.265997049999996,46.0140138,42.354501299999995,38.308007599999996,51.690008,46.435005000000004,48.58250699999999
2005,46.98451045,42.72101045,44.3680015,42.1975095,50.7060112,46.6370054,22.940002,49.87100995,45.0440113,44.9580005,52.81151405,47.369501,49.259009999999996,54.572498,44.91650455,41.79951089999998,39.614007599999994,51.744508499999995,45.93351285,50.576012799999994
2006,48.507507,44.548010000000005,45.1220036,37.8025055,50.7810036,46.3370109,19.852501,50.2050007,45.03700559999999,45.360016,56.2140014,48.2900085,45.50600559999999,55.007512999999996,47.695007,44.6600035,37.274490549999996,46.5579992,44.09899610000001,50.2100065
2007,44.9399962,41.51001,42.942007399999994,36.9759944,50.2840148,45.5550033,22.741002999999996,50.51001,44.4200046,42.48001,57.08800039999999,47.389992,48.759997999999996,52.1010043,45.86850714999999,42.15300294999999,39.814007749999995,49.9770108,45.7420103,50.13001
2008,46.808008,43.125,43.12600199999999,37.7600051,51.3159984,45.639505099999994,22.216507149999995,48.8710081,41.86101000000001,47.01001,52.908505299999995,47.7630005,49.8645111,53.245505599999994,42.4925,39.78201279999999,39.444009099999995,50.24250244999998,44.2290007,49.787994399999995
2009,46.2320006,42.615005499999995,41.9305008,39.189007800000006,50.6000085,47.5215013,22.9070069,50.47351049999999,42.772516,46.6895051,55.1924895,47.764999,48.203998199999994,54.556006,47.1930015,48.194501,40.570007,49.058009,41.74400915,49.47800839999999
2010,47.1900028,43.18800955,42.610016,35.686007,51.568006,45.795004399999996,22.690002,49.38601,42.3380064,45.87400525,53.416006599999996,46.26600975,45.790008,51.4775103,45.588500599999996,48.6740018,42.1474995,45.529508199999995,44.6280102,48.601505949999996
2011,47.062507749999995,44.8275043,43.1910063,36.860012399999995,49.534004,46.541007199999996,22.717506,48.4955,44.7919895,46.078015199999996,55.60250925,47.85501075,45.5350115,54.10648835,46.65451315,43.515515099999995,36.692512099999995,47.4740104,42.55501209999998,51.3695066
2012,46.458008,42.0605088,43.6390015,37.4380106,47.5460081,46.13350535,23.2774996,49.569009099999995,45.7975075,46.610016,52.141512549999995,46.5470106,50.14500699999999,50.8519983,46.120013,49.28701,41.336009,50.54000175,42.366505749999995,51.6940076
2013,47.75,42.64800375,44.42949375,36.4640138,47.6940076,45.320015,21.469995,48.67700635,42.1030065,46.38051435,52.0105094,48.0260006,50.766000399999996,55.0320068,47.0040108,37.4340148,39.3810121,49.5145005,44.60799964999999,49.2339966
2014,50.23001,44.5240095,45.91698950000001,38.77501,48.920013,45.27201,20.046011299999996,48.0085107,44.4095139,44.398003599999996,58.69151254999998,46.919012099999996,48.53000999999998,53.792011949999996,48.0855101,43.7275039,41.4620109,48.610016,44.549009500000004,51.5239936
2015,47.610009250000004,44.516009249999996,44.8534879,41.9340026,51.482001,46.5440004,20.91401175,47.5980044,44.2580016,47.03050255,54.61999029999999,48.110016,44.13501,54.19751,46.43500475,41.240006,43.5190055,54.05400069999999,46.0380142,51.378999799999995
2016,49.252009799999996,44.42200939999999,47.25998895,43.84599195,48.188007999999996,46.9380076,20.4675065,48.881008949999995,44.060004,46.669006499999995,53.0890073,46.4910045,48.670013,53.38101,50.67100549999999,45.0625079,39.8630065,53.43599879999999,46.52201,51.850010299999994
2017,48.2400088,45.034002799999996,44.88401015,40.33500675,49.4580091,45.5980056,21.785003500000002,50.310004799999994,44.624004899999996,45.412512,56.880005,48.9410123,46.79001,53.52800609999999,48.0750115,46.12501029999999,39.8870149,49.962011600000004,44.9810095,50.746007999999996
2018,50.392505,44.48201259999999,46.034008799999995,39.282501249999996,49.4520088,46.7450012,19.19651165,51.9020139,40.63150185,45.658001399999996,60.329012549999995,49.3400115,45.1760072,53.331504599999995,48.8250021,46.578508649999996,37.91200559999999,51.6030059,46.480005,50.642509249999996
