year,Honiara,Panama City,Rabat,Chișinău,Maputo,Mogadishu,Muscat,Colombo,Ulaanbaatar,Windhoek,Abuja,Bissau,Amman,Vilnius,Riga,Bishkek,Maseru,Antananarivo,Quito,San José
2002,37.700012,41.48001,42.910004,45.54001,49.059998,48.829987,54.01001,50.860016,49.700012,56.170013,45.389984,41.950012,52.48001,35.320007,36.880005,47.600006,46.450012,47.920013,46.829987,45.130005
2003,43.26001,52.630005,45.350006,46.670013,53.410004,52.79001,58.440002,49.389984,46.190002,59.01001,50.820007,55.48001,51.54001,32.910004,39.880005,43.0,51.98001,49.440002,46.54001,49.48001
2004,43.97,54.690002,45.01001,45.29001,52.110016,51.25,56.360016,51.01001,47.889984,53.0,48.360016,57.070007,51.880005,31.720001,36.23001,47.29001,51.26001,50.29001,48.829987,50.450012
2005,40.860016,51.380005,44.829987,45.829987,50.910004,52.630005,57.160004,50.410004,49.190002,56.54001,53.820007,53.79001,51.04001,32.950012,38.48001,50.29001,55.070007,48.920013,46.610016,53.809998
2006,41.01001,51.380005,44.389984,45.070007,51.110016,50.98001,56.320007,52.04001,44.98001,54.19998,50.880005,54.309998,51.44998,38.72,41.670013,46.639984,47.860016,48.829987,45.130005,53.78
2007,40.360016,51.23001,46.26001,51.79001,52.54001,49.200012,52.47,51.410004,52.54001,56.26001,48.070007,52.440002,54.48001,35.23001,37.28,49.380005,51.76001,48.920013,45.559998,51.329987
2008,40.26001,49.610016,43.920013,47.04001,51.579987,51.389984,54.820007,51.28,47.48001,53.130005,53.04001,52.920013,53.01001,31.290009,36.97,49.54001,50.200012,49.910004,43.850006,50.139984
2009,38.170013,50.28,47.200012,47.579987,52.380005,52.19998,57.570007,50.380005,43.860016,57.29001,48.04001,54.809998,52.059998,30.630005,39.23001,44.880005,48.200012,49.79001,47.54001,53.190002
2010,39.130005,51.28,45.940002,48.139984,53.04001,51.01001,53.670013,53.309998,50.78,53.920013,48.329987,54.820007,56.130005,35.04001,42.29001,48.190002,46.200012,49.170013,46.630005,50.190002
2011,41.570007,49.940002,47.23001,45.579987,51.76001,52.940002,56.78,52.420013,43.04001,52.670013,49.320007,54.79001,53.110016,33.880005,40.880005,46.29001,49.48001,49.600006,44.880005,48.950012
2012,42.51001,47.829987,43.26001,51.820007,49.48001,50.139984,54.579987,52.559998,43.73001,55.26001,49.01001,56.420013,54.26001,35.600006,40.320007,45.610016,51.309998,49.570007,46.670013,49.5
2013,41.79001,50.889984,44.79001,45.410004,50.47,48.820007,49.190002,51.73001,43.79001,55.29001,43.660004,55.070007,50.130005,33.380005,39.660004,46.610016,52.5,49.809998,49.01001,47.630005
2014,46.100006,49.48001,44.51001,46.29001,49.820007,50.670013,56.04001,51.75,46.139984,51.670013,52.44998,54.110016,53.350006,37.049988,40.450012,49.170013,47.850006,50.48001,43.47,51.76001
2015,40.920013,52.01001,43.559998,50.01001,53.410004,51.360016,58.070007,52.139984,47.72,55.190002,45.630005,52.01001,52.130005,35.170013,38.670013,48.170013,54.070007,48.829987,47.820007,51.889984
2016,43.170013,51.94998,44.53,44.73001,54.600006,51.850006,55.160004,52.420013,46.950012,53.660004,51.630005,56.420013,52.04001,35.630005,41.26001,46.26001,54.440002,50.130005,48.29001,48.98001
2017,44.28,49.820007,44.72,46.450012,54.440002,52.44998,56.04001,49.570007,49.79001,52.630005,52.01001,51.690002,53.070007,32.610016,35.880005,48.329987,51.19998,49.910004,43.579987,52.170013
2018,38.54001,51.03,42.940002,47.360016,49.920013,51.940002,53.170013,50.940002,45.51001,55.420013,44.47,54.160004,51.44998,33.76001,42.110016,49.79001,55.160004,48.450012,47.880005,51.51001
