year,San Salvador,Kingston,N'Djamena,Malabo,Asmara,Zagreb,Tallinn,Lilongwe,Guatemala City,Libreville,Suva,Nouakchott,Bamako,Beirut,Tbilisi,Nur-Sultan,Vientiane,Brazzaville,Conakry,Yamoussoukro
2002,53.22,43.04001,48.670013,32.420013,43.73001,43.04001,35.570007,52.420013,48.160004,,36.130005,51.110016,50.950012,47.079987,47.660004,43.690002,42.420013,47.610016,41.070007,41.079987
2003,53.04001,47.04001,59.630005,31.420013,53.440002,48.920013,38.600006,52.69998,51.360016,,43.889984,55.76001,57.070007,47.450012,48.860016,42.889984,54.29001,47.98001,46.23001,44.570007
2004,54.920013,45.880005,60.109985,43.160004,51.100006,43.47,32.860016,51.0,51.01001,40.53,45.200012,54.920013,56.360016,48.130005,48.160004,48.440002,50.350006,53.389984,47.76001,47.440002
2005,52.889984,44.670013,56.360016,37.79001,51.639984,43.559998,37.76001,55.600006,53.329987,38.360016,43.130005,54.690002,57.51001,47.450012,47.630005,48.320007,54.75,48.889984,45.130005,45.420013
2006,53.54001,45.639984,57.860016,,49.950012,47.360016,40.570007,54.48001,52.360016,,43.410004,55.360016,55.110016,47.420013,50.380005,46.51001,49.360016,52.690002,48.139984,50.29001
2007,53.360016,45.200012,60.98001,39.670013,52.75,48.920013,36.76001,52.79001,53.26001,,45.910004,60.73001,56.28,47.72,48.380005,47.420013,57.440002,52.51001,46.570007,44.26001
2008,51.320007,45.700012,58.29001,43.03,50.380005,45.78,35.01001,53.139984,53.170013,40.450012,39.889984,56.320007,52.389984,47.389984,48.04001,48.559998,52.639984,50.48001,46.25,47.78
2009,52.670013,47.920013,57.01001,35.440002,52.630005,45.630005,35.54001,51.889984,53.73001,,43.389984,57.26001,56.839996,48.850006,48.170013,45.660004,50.51001,53.860016,44.070007,47.820007
2010,52.570007,45.98001,53.26001,44.820007,51.059998,47.700012,40.48001,53.48001,56.339996,,46.04001,54.079987,56.130005,47.610016,50.79001,46.820007,45.47,50.53,50.559998,48.97
2011,53.01001,46.54001,56.47,44.559998,53.26001,49.320007,39.450012,54.079987,52.130005,,40.03,52.600006,54.76001,45.920013,48.880005,44.100006,43.360016,52.160004,48.070007,46.78
2012,50.98001,48.820007,57.5,,51.570007,47.950012,36.820007,52.880005,50.139984,42.25,43.850006,54.839996,56.440002,46.860016,48.76001,48.079987,53.110016,54.920013,46.880005,46.75
2013,52.940002,46.880005,56.48001,,50.380005,47.5,35.910004,51.389984,50.200012,,46.889984,53.73001,55.5,47.110016,49.910004,43.100006,44.660004,50.850006,51.170013,49.570007
2014,52.69998,47.26001,57.570007,43.420013,49.79001,47.01001,39.29001,53.910004,50.01001,40.98001,47.03,55.589996,57.26001,45.600006,50.200012,48.23001,50.26001,50.950012,46.880005,42.820007
2015,53.420013,46.670013,57.889984,37.880005,51.360016,49.420013,35.600006,54.839996,50.73001,,42.410004,50.200012,54.76001,46.950012,49.940002,47.880005,49.170013,51.170013,44.160004,46.110016
2016,54.559998,48.940002,59.880005,47.380005,52.570007,44.110016,34.549988,53.78,52.22,,44.410004,54.170013,56.160004,45.420013,47.880005,40.97,47.579987,52.610016,50.200012,48.97
2017,53.670013,46.170013,55.26001,42.059998,51.410004,47.380005,33.97,51.54001,51.26001,,47.01001,55.23001,55.320007,48.350006,50.54001,49.450012,52.54001,51.51001,45.79001,46.98001
2018,53.320007,48.48001,54.880005,38.610016,49.889984,46.78,39.0,51.670013,51.059998,43.48001,45.76001,55.110016,57.76001,46.860016,50.97,43.829987,51.75,51.059998,48.01001,46.440002
