year,San Salvador,Kingston,N'Djamena,Malabo,Asmara,Zagreb,Tallinn,Lilongwe,Guatemala City,Libreville,Suva,Nouakchott,Bamako,Beirut,Tbilisi,Nur-Sultan,Vientiane,Brazzaville,Conakry,Yamoussoukro
2002,52.4170055,41.21850895,48.091504549999996,32.420013,42.28501,41.513009600000004,34.73151,49.5185026,48.0400148,,35.530004999999996,47.6429961,47.54400039999999,45.200012,44.420006999999984,37.8365068,42.1989961,47.5590118,40.811506449999996,40.6399995
2003,52.102008,43.810010899999995,55.8575106,31.420013,48.84350714999999,45.0679966,34.131009999999996,48.000012,50.06400775,,42.229009899999994,50.721000299999986,54.52399359999999,44.6650075,44.08401015,40.339507749999996,45.760003999999995,47.54351,44.81200524999999,44.274011
2004,51.048004,43.70250455,56.67400489999999,41.600007000000005,46.4520088,40.717004599999996,29.7339964,46.37751,48.2050018,40.348,42.5770139,50.67099545,53.282500999999996,44.2040114,44.115005499999995,42.271007399999995,48.860016,48.3000025,44.7085113,45.8960106
2005,52.28500375,42.472009199999995,55.3580136,37.79001,49.33000245,41.434008999999996,33.2680118,53.12201060000001,48.97450435,38.2535157,42.49549905,52.403495050000004,55.9924995,44.5880076,43.128009199999994,41.630005,48.143507149999984,48.06550865,44.4800063,44.6880124
2006,51.44400649999999,42.3680054,55.6600035,,46.79351495,42.564005949999995,33.938012799999996,50.80998975,47.597988799999996,,40.5009916,51.484002,52.135009499999995,44.558008199999996,46.644004949999996,40.532008000000005,42.909009999999995,51.250005599999994,45.4700085,48.96700729999999
2007,51.7659806,42.032509000000005,57.028009999999995,39.275512549999995,49.21600959999999,44.074515100000006,32.8635054,48.54951,50.29001,,42.755008200000006,51.974010799999995,52.55700339999999,44.8320068,45.7045117,42.097998399999994,44.329987,49.765007,44.8240002,43.4050157
2008,50.71851495,42.810005249999996,55.3000085,42.4854992,47.482009,42.24951,31.960003999999998,48.1885065,50.690003000000004,40.450012,37.0900088,51.026001,49.754510249999996,43.95299205,45.142988949999996,43.002013899999994,43.75,49.79948765,45.1270051,46.48001
2009,51.070007,43.902001,54.6620052,35.440002,50.559998,42.850004999999996,31.866506700000002,46.48001,49.807008999999994,,39.1110016,50.8850025,52.627003699999996,45.305003299999996,42.7330085,37.41351285,47.1660097,50.8359928,43.7525097,46.62000999999999
2010,50.680510000000005,42.401003949999996,52.230504499999995,44.64200715,46.5480054,42.9520076,35.823006899999996,50.712010899999996,50.130005,,43.5119999,49.8535157,48.49200949999999,44.01600975,46.3500052,42.2180106,45.14950865,49.1630123,46.4150085,48.97
2011,51.9519956,42.90351105,53.9260076,44.4169987,47.5639988,43.8560058,32.560013,50.08900969999999,49.108506549999994,,37.72,48.7150118,52.7670077,43.336005199999995,43.5730041,38.507989599999995,42.9705075,52.004009849999996,43.7960142,43.91201
2012,50.635016,43.3520142,54.319499799999996,,47.559998,45.2675091,30.62751,49.493011499999994,49.217010099999996,42.25,42.6400055,49.2110105,49.5420046,44.3780061,44.4435055,42.5100076,50.991006399999996,49.92001299999999,44.40249045,45.212003
2013,49.735016,43.2665083,50.2979998,,47.12351345,46.2010056,33.992003999999994,49.29001,48.335006,,42.546014400000004,50.410512849999996,54.47300884999999,43.630005,43.9680114,38.7970036,43.890010000000004,49.4805115,46.3495151,47.1450045
2014,52.1180076,44.1090057,52.02700939999999,43.420013,46.95901105,41.6380111,36.041012699999996,50.98400819999999,48.157506999999995,40.4480094,41.088006799999995,50.764509399999994,53.1745109,43.06149935,46.7935103,42.79001,47.53500510000001,50.46701025,44.850006,42.706005499999996
2015,52.2990034,45.735009,52.66400759999998,37.84550485,47.457495699999996,45.5220104,30.899505750000003,51.350008800000005,49.2940128,,38.5299985,48.5880096,53.4730041,44.2240104,47.18951095,43.352002,44.0255065,50.043012649999994,42.92750424999999,45.73600585
2016,51.70400399999999,45.7075035,55.449515100000006,46.80400555,48.5050045,39.6349945,29.56948735,50.669006499999995,49.9930114,,44.124010999999996,48.7410101,53.440008,43.3400115,45.3875045,37.99150455,44.015007,47.875510899999995,49.35401,48.78299905
2017,53.4505001,42.4580008,53.805004999999994,41.9000004,48.604996,44.1425025,31.89801,49.482506,48.074014049999995,,42.838007999999995,51.22500625,53.84100849999999,44.617508,44.9970015,42.8365066,48.247486699999996,51.263006749999995,43.5935103,46.78001
2018,53.19998,46.118005399999994,52.992010199999996,38.4185152,48.4705005,43.360003999999996,36.25500425,49.1180116,50.4715056,43.48001,43.49001,52.722510899999996,56.548,44.892005850000004,46.74499934999999,38.9490014,51.404999000000004,49.920013,47.36201,45.7360031
