year,Ottawa,Belgrade,Bandar Seri Begawan,Sucre,Belmopan,Bangui,Yaoundé,Tirana,Yerevan,Baku,Phnom Penh,La Paz,Cotonou,Sofia,Minsk,Thimphu,Gaborone,Canberra,Ouagadougou,Sarajevo
2002,44.139984,45.200012,44.820007,47.820007,37.0,41.78,45.23001,50.98001,51.19998,52.01001,45.410004,43.72,47.440002,48.51001,40.0,34.51001,55.5,47.380005,47.130005,43.829987
2003,46.630005,47.920013,46.600006,48.320007,50.880005,42.860016,48.130005,52.139984,48.79001,49.329987,46.160004,44.600006,50.670013,46.139984,39.5,35.920013,58.79001,49.72,58.48001,45.320007
2004,44.809998,48.880005,45.98001,48.380005,47.73001,51.190002,47.48001,48.700012,50.860016,51.690002,55.51001,47.450012,54.44998,48.54001,35.48001,33.98001,56.98001,50.48001,54.51001,43.28
2005,44.820007,46.820007,42.73001,45.26001,49.380005,43.079987,43.54001,50.639984,49.28,51.69998,50.360016,43.950012,48.47,45.809998,38.610016,39.5,56.47,50.450012,54.79001,42.04001
2006,43.51001,45.850006,42.54001,46.880005,47.160004,42.079987,43.200012,48.170013,49.79001,50.700012,55.809998,44.360016,50.440002,45.320007,39.670013,36.110016,59.26001,47.98001,53.920013,42.410004
2007,47.29001,48.850006,46.130005,48.630005,48.950012,46.47,49.01001,50.070007,49.5,51.75,48.98001,46.579987,46.690002,51.22,38.73001,36.48001,55.28,53.28,53.139984,45.910004
2008,44.98001,46.950012,44.309998,45.610016,47.73001,48.360016,49.690002,49.01001,50.23001,51.559998,52.04001,46.860016,47.670013,47.570007,37.98001,35.23001,53.48001,49.610016,55.089996,45.350006
2009,47.28,46.910004,44.570007,50.329987,48.54001,47.410004,43.100006,50.190002,47.579987,51.26001,49.73001,47.820007,49.98001,47.660004,39.420013,37.04001,52.69998,51.670013,56.690002,43.110016
2010,49.72,44.309998,47.920013,51.570007,46.389984,49.070007,47.51001,49.320007,53.360016,52.420013,49.04001,46.070007,49.410004,46.820007,41.26001,35.26001,54.570007,52.070007,55.44998,44.450012
2011,47.130005,46.420013,43.25,46.79001,48.73001,51.79001,46.070007,48.950012,50.54001,53.380005,37.950012,46.98001,51.51001,47.610016,38.75,39.200012,55.25,47.160004,54.78,44.51001
2012,46.160004,51.76001,43.25,47.420013,46.910004,45.059998,42.170013,51.160004,50.01001,52.420013,53.73001,46.79001,48.79001,48.950012,42.570007,38.54001,55.0,46.700012,54.73001,46.610016
2013,49.25,49.01001,45.03,46.79001,45.410004,43.579987,44.98001,49.950012,52.04001,52.880005,45.950012,44.26001,46.450012,48.320007,39.76001,37.410004,52.809998,49.410004,55.600006,45.920013
2014,43.76001,40.54001,49.01001,47.380005,47.03,49.570007,47.670013,47.850006,51.29001,50.410004,53.73001,44.5,48.860016,44.320007,42.850006,38.360016,53.820007,54.690002,56.170013,41.690002
2015,45.48001,48.690002,44.130005,47.079987,48.670013,47.070007,43.070007,51.110016,52.559998,53.47,52.559998,46.610016,48.809998,49.070007,42.0,38.200012,58.570007,48.98001,54.690002,45.75
2016,45.350006,44.920013,45.420013,49.190002,45.04001,48.320007,46.170013,47.48001,50.53,53.079987,60.389984,47.170013,46.660004,46.26001,40.51001,35.130005,58.380005,48.78,54.94998,40.880005
2017,42.660004,49.860016,43.72,47.329987,49.600006,51.73001,48.450012,50.910004,52.110016,51.860016,54.04001,45.079987,48.100006,49.350006,37.5,39.320007,54.690002,51.559998,58.19998,45.51001
2018,48.579987,45.570007,44.110016,48.100006,46.610016,45.690002,44.950012,47.820007,53.070007,54.880005,45.820007,42.29001,47.809998,45.700012,39.880005,40.380005,59.51001,52.610016,56.160004,40.98001
