year,Naypyidaw,Nuku'alofa,Hargeisa,Victoria,São Tomé,Apia,Valletta,Malé,Jerusalem,Praia,Nassau,Nicosia,Hanoi,Ankara,Budapest,Sanaa,Bucharest,Damascus,Lisbon,Khartoum
2002,37.920013,38.01001,50.76001,38.570007,31.420013,44.100006,39.320007,,50.070007,51.940002,35.410004,55.73001,37.01001,50.170013,46.139984,48.940002,48.600006,53.04001,50.070007,60.04001
2003,50.670013,42.22,56.670013,42.380005,36.26001,45.25,40.440002,,50.110016,48.73001,42.25,55.19998,43.920013,51.820007,46.639984,51.070007,50.079987,53.630005,48.920013,64.41
2004,61.440002,40.380005,54.410004,43.54001,40.660004,44.97,41.690002,,50.200012,49.75,41.610016,57.110016,41.73001,49.600006,45.579987,50.440002,46.51001,53.73001,46.850006,60.410004
2005,57.410004,41.700012,53.48001,42.98001,38.110016,47.04001,40.070007,,50.700012,51.53,37.130005,56.920013,40.139984,49.360016,46.559998,49.559998,45.559998,53.610016,48.320007,59.630005
2006,52.130005,41.110016,54.72,39.950012,34.53,37.889984,41.200012,,48.950012,51.920013,39.630005,54.320007,39.860016,49.380005,47.110016,50.04001,46.610016,51.130005,49.860016,60.19998
2007,51.880005,40.04001,57.160004,42.03,34.76001,43.420013,38.47,,51.190002,53.22,37.200012,56.76001,41.630005,51.889984,49.660004,53.29001,52.76001,54.360016,49.329987,61.130005
2008,48.22,40.28,55.070007,41.25,34.100006,42.190002,39.440002,,50.98001,49.670013,45.23001,56.350006,34.51001,50.28,45.01001,51.329987,49.809998,54.880005,48.170013,59.420013
2009,48.820007,38.950012,58.47,38.389984,35.04001,42.100006,39.700012,,50.880005,50.200012,38.01001,55.25,37.440002,49.79001,45.0,52.380005,49.860016,54.48001,47.940002,58.109985
2010,51.579987,44.0,52.600006,39.860016,37.820007,44.860016,42.53,,53.51001,50.23001,38.72,55.170013,40.54001,49.860016,45.410004,49.130005,50.170013,54.47,50.450012,58.380005
2011,47.700012,40.26001,54.329987,40.04001,34.630005,43.53,38.940002,,50.28,51.190002,41.0,55.130005,39.200012,47.950012,47.559998,50.820007,49.98001,52.880005,47.329987,58.440002
2012,48.28,39.450012,54.190002,43.610016,38.049988,44.350006,40.79001,,52.29001,52.570007,39.01001,59.130005,36.04001,51.110016,48.380005,48.04001,51.070007,56.410004,48.160004,57.589996
2013,51.23001,38.600006,52.070007,40.79001,36.200012,38.97,40.820007,,48.26001,52.28,38.630005,54.670013,43.97,48.54001,49.360016,46.920013,49.22,52.670013,51.579987,58.23001
2014,47.940002,40.920013,53.94998,40.579987,34.910004,44.170013,38.570007,,51.920013,50.360016,40.130005,54.610016,37.610016,48.820007,47.570007,50.73001,47.01001,53.190002,47.54001,59.5
2015,49.410004,42.04001,54.889984,42.200012,33.139984,43.78,39.880005,,49.860016,52.29001,38.29001,55.01001,39.610016,49.070007,48.850006,50.53,49.75,52.75,48.309998,58.070007
2016,54.04001,44.04001,56.47,42.610016,34.79001,44.950012,38.380005,,49.920013,50.29001,39.630005,56.130005,39.130005,49.389984,48.860016,49.0,49.130005,53.690002,46.76001,59.75
2017,46.910004,39.170013,56.22,42.54001,36.23001,36.660004,39.75,,52.110016,53.130005,40.920013,58.320007,33.820007,50.660004,46.329987,51.0,51.04001,55.380005,52.170013,58.26001
2018,45.820007,42.559998,54.610016,42.450012,36.610016,43.29001,39.170013,,49.820007,54.76001,37.78,56.440002,36.630005,49.360016,46.48001,50.97,46.03,53.910004,46.570007,58.53
