year,Oslo,Warsaw,Pyongyang,Dar es Salaam,Dublin,Monrovia,Kuala Lumpur,Havana,Prague,Kuwait City,Santo Domingo,Accra,Tripoli,Helsinki,København,Abidjan,Brasília,Brussels,Dhaka,Luanda
2002,38.100006,37.579987,42.72,46.670013,29.290009,36.200012,,53.570007,39.920013,59.670013,46.450012,47.26001,42.29001,35.049988,38.579987,43.130005,52.79001,47.04001,40.820007,49.420013
2003,41.01001,42.170013,39.0,49.690002,37.889984,36.130005,47.850006,53.54001,42.670013,60.910004,49.360016,48.410004,50.5,40.350006,38.75,33.01001,51.820007,47.04001,42.920013,53.5
2004,38.380005,37.22,41.25,45.200012,36.889984,39.380005,49.320007,53.5,44.920013,59.75,47.76001,50.450012,48.570007,34.01001,36.889984,43.450012,56.589996,42.73001,48.940002,51.889984
2005,41.850006,42.04001,42.700012,47.22,39.820007,35.47,49.860016,51.01001,42.660004,57.73001,49.889984,48.01001,48.01001,37.350006,40.139984,41.0,54.72,50.01001,43.950012,49.880005
2006,38.72,42.26001,43.26001,49.190002,37.110016,36.130005,47.820007,52.559998,45.01001,59.839996,50.139984,46.48001,50.110016,39.880005,39.79001,43.28,51.78,51.360016,45.73001,38.190002
2007,40.299988,42.670013,43.350006,47.630005,39.299988,35.570007,47.360016,54.28,45.110016,59.73001,49.440002,49.76001,49.630005,37.29001,41.51001,37.170013,53.51001,44.940002,45.54001,53.51001
2008,41.29001,40.0,42.75,46.53,36.549988,38.070007,47.380005,52.380005,41.170013,59.820007,49.78,46.26001,45.5,35.389984,38.950012,41.329987,54.170013,44.570007,45.100006,38.700012
2009,41.630005,40.410004,43.23001,48.700012,38.049988,39.600006,31.420013,53.26001,41.79001,58.51001,48.200012,50.26001,48.47,34.76001,36.360016,47.76001,48.110016,46.070007,48.380005,
2010,35.850006,42.660004,43.78,48.110016,38.600006,38.130005,53.440002,55.03,47.940002,58.859985,49.5,53.850006,49.070007,39.630005,39.360016,41.130005,51.059998,47.360016,43.570007,49.28
2011,38.570007,38.26001,42.110016,47.320007,37.03,39.200012,46.380005,52.420013,40.04001,60.01001,49.559998,47.04001,45.940002,37.820007,35.820007,38.700012,51.360016,47.23001,41.630005,29.820007
2012,36.880005,41.79001,42.23001,49.79001,35.54001,40.170013,,53.03,41.559998,60.940002,48.950012,47.22,50.26001,35.170013,37.78,42.380005,51.809998,46.98001,45.860016,47.410004
2013,38.51001,43.22,42.76001,49.950012,40.579987,39.170013,47.880005,52.850006,44.880005,59.26001,50.73001,48.420013,44.070007,37.070007,38.880005,44.76001,49.380005,45.850006,46.420013,50.610016
2014,43.76001,40.01001,43.47,47.53,39.26001,33.610016,52.170013,54.170013,43.48001,60.190002,49.670013,50.130005,47.670013,37.29001,39.73001,46.630005,52.73001,44.880005,48.350006,
2015,36.110016,44.320007,44.329987,49.570007,36.200012,39.950012,51.910004,53.889984,48.670013,60.26001,50.389984,45.450012,44.630005,32.97,38.79001,41.22,52.630005,51.130005,43.410004,
2016,35.579987,41.110016,44.01001,48.820007,35.04001,36.130005,51.54001,53.48001,43.29001,61.25,50.200012,50.190002,49.51001,33.29001,38.660004,39.79001,52.380005,45.320007,44.01001,40.130005
2017,37.630005,38.03,42.79001,50.47,38.29001,37.570007,48.23001,52.350006,42.910004,59.889984,49.76001,44.920013,45.29001,31.579987,36.579987,47.01001,56.139984,45.47,45.51001,45.170013
2018,42.950012,42.110016,49.54001,47.51001,41.920013,38.450012,,53.23001,46.51001,58.76001,49.380005,50.880005,48.820007,39.420013,40.070007,44.75,52.320007,49.25,43.880005,52.670013
