year,Oslo,Warsaw,Pyongyang,Dar es Salaam,Dublin,Monrovia,Kuala Lumpur,Havana,Prague,Kuwait City,Santo Domingo,Accra,Tripoli,Helsinki,København,Abidjan,Brasília,Brussels,Dhaka,Luanda
2002,34.854010900000006,37.169998,38.4760071,45.9365088,28.945013000000003,36.1040099,,41.9239992,35.8680118,57.259010149999995,45.7700115,46.72450865,38.820007,33.9485105,36.13999619999999,42.67900115,50.7055113,42.3280092,38.97700665,49.420013
2003,35.2329987,36.7740112,37.05800479999999,47.3960032,31.880005,35.989004699999995,47.850006,49.8050075,39.782998699999986,56.1695104,47.9160032,47.6950106,43.26001,35.2490079,34.7720104,33.0080095,48.322006099999996,43.8570131,38.59850675,52.9890035
2004,34.883004899999996,33.66501,36.1580106,43.7380045,31.69200245,39.231994799999995,49.18400445,47.9100096,37.35000599999999,56.4590127,46.070007,46.227509999999995,40.54001,30.0,33.5335097,41.7825102,52.630005,40.2799985,43.110016,50.850012400000004
2005,35.510009,37.43301,34.1890048,45.372009399999996,34.3505001,35.323,49.57051555,46.870011500000004,38.4760006,55.728511049999994,47.5080136,47.98601,41.6450035,31.756002599999995,33.70200939999998,40.5555035,49.06801165,42.362008499999995,41.047501,49.75950475
2006,35.8275073,39.78950939999999,34.5670085,47.386004699999994,34.5400085,36.01100675,47.695007,49.94000799999999,39.537512,56.66500549999999,48.2320128,46.012011199999996,41.6525115,33.28,37.01600975,41.3275,46.790001999999994,44.977004799999996,43.170013,37.9290035
2007,34.099999999999994,37.825,37.51348754999999,46.27400179999999,33.5424898,35.447006099999996,47.35051585,51.10000625,39.94600655,55.1349945,45.9360042,46.758006200000004,42.825496,31.525009500000003,33.3300106,36.4020139,50.1620116,39.3020088,40.827510000000004,52.4400103
2008,37.380005,37.29001,38.77199159999998,44.10251,32.45000974999999,37.751505949999995,47.380005,48.35401465,37.58950635,54.212007,47.34801,46.143005499999994,41.94701,29.08950495,36.29350999999998,38.924998699999996,49.297498,41.40001,42.21100744999999,38.55901165
2009,35.15051584999999,35.1820128,38.6340118,47.59850675,34.108999999999995,38.8800078,31.420013,49.895005,37.48901,55.062008999999996,47.776507249999995,49.81001,40.970009499999996,32.410016,33.32699829999999,47.01001,45.3460094,42.10700719999999,42.22801,
2010,33.58200955,38.633004549999995,37.044005999999996,45.127013899999994,32.77501,37.878006049999996,53.2915019,51.73200909999999,40.491012399999995,55.70600579999999,46.92751,50.275006,40.978002,34.871005,33.918012649999994,40.9260072,48.0700084,43.1700102,40.896005349999996,47.2825025
2011,32.9050048,34.823999,36.900009,46.9590118,30.6060044,38.8720121,46.380005,50.4485105,36.7075115,55.085002749999994,48.5340088,46.773506749999996,40.801006799999996,34.380005,33.1850124,38.365013000000005,48.1580078,38.7270114,39.416002399999996,29.820007
2012,32.9110094,38.2170021,36.6490052,46.6590023,31.7020078,39.19801165,,49.3590057,39.730506649999974,56.898003599999996,47.54001,46.065002,42.920013,30.9325105,33.927010200000005,41.510006499999996,49.032512999999994,40.665006749999996,40.008009,46.885004
2013,34.64800399999999,38.57151045,38.56700745,48.5579987,37.37801519999997,38.23001059999999,47.880005,50.0370115,40.80801049999999,56.325515849999995,48.04050295,48.29651015,42.445008699999995,33.537505749999994,35.5200095,41.999992750000004,46.76051105,43.02950835,40.082504199999995,49.822516
2014,37.9770139,37.0730101,37.29199860000001,47.0820072,36.40251,33.610016,51.91350985,50.3840058,40.2100065,57.17251235,48.09800429999999,48.456004549999996,40.2620064,34.7235005,37.94001,45.862503249999996,48.8940036,40.98001039999998,42.53,
2015,32.47601279999999,41.384011649999984,39.574508800000004,47.380005,31.202499500000002,39.6980132,51.7450046,52.20701105,42.99150829999999,56.092010200000004,48.235016,45.0975105,41.4259918,29.585006399999994,33.094986,39.04900325,49.4150085,41.6050007,40.807500000000005,
2016,33.14600534999999,36.4940054,36.355512649999994,46.46750625,32.8330048,36.1240052,51.54001,48.709011799999985,37.7059936,55.870006999999994,48.0460094,46.78100549999999,39.1600105,29.670013,33.5029961,39.580007200000004,49.0429957,38.400011799999994,40.214505100000004,40.0960055
2017,32.59700360000001,35.374005249999996,38.472511,48.2249985,33.7575,37.2800076,47.9030096,49.0145051,38.6800108,56.6359924,48.5,44.86151165,41.6839904,28.614990399999996,32.11100605,46.61601,51.93898959999999,40.91401,39.0605088,45.170013
2018,40.683010499999995,39.324014049999995,38.208007599999995,46.543000799999994,38.66801435,38.0180114,,50.822509749999995,40.60701135,56.597511,48.1930079,50.743510199999996,41.380005,35.2840026,37.635009499999995,44.285003599999996,46.7440012,46.57400815,41.0975105,49.296008449999995
