year,Algiers,Yangon,Caracas,Kyiv,Tashkent,Madrid,Stockholm,Bangkok,Lima,Dakar,Johannesburg,Amsterdam,Seoul,Manila,Berlin,Kinshasa,New Delhi,Athens,Baghdad,Addis Ababa
2002,39.799988,39.350006,44.76001,41.420013,51.889984,50.309998,36.04001,46.170013,48.23001,51.53,42.48001,41.440002,46.200012,55.73001,40.070007,50.059998,39.320007,48.04001,60.73001,39.880005
2003,41.850006,48.29001,49.630005,39.160004,52.170013,51.660004,36.23001,47.01001,55.940002,48.22,43.98001,43.23001,46.04001,57.610016,43.200012,52.860016,47.0,48.610016,63.850006,46.420013
2004,42.200012,53.670013,46.29001,41.22,50.53,50.79001,32.920013,54.630005,54.79001,52.0,45.860016,37.73001,51.01001,56.889984,39.73001,51.059998,47.160004,48.380005,62.04001,45.610016
2005,41.059998,47.829987,48.29001,42.309998,52.25,51.23001,35.630005,49.54001,56.059998,50.070007,42.320007,42.100006,45.880005,61.850006,42.690002,50.450012,48.04001,47.639984,61.51001,46.76001
2006,43.630005,49.860016,45.850006,39.889984,51.53,50.47,37.23001,43.820007,56.860016,51.079987,41.940002,44.170013,43.950012,57.440002,44.920013,53.570007,44.98001,46.690002,60.47,44.610016
2007,41.670013,49.47,44.920013,43.100006,50.690002,51.380005,36.78,43.110016,55.690002,48.54001,41.73001,38.54001,47.450012,57.570007,46.110016,54.309998,44.79001,50.78,59.98001,48.73001
2008,41.809998,47.630005,46.54001,41.950012,51.98001,49.809998,38.130005,43.809998,55.690002,50.360016,41.48001,40.079987,51.44998,57.51001,45.820007,52.940002,44.860016,48.700012,61.01001,49.130005
2009,42.54001,46.450012,48.600006,42.600006,48.360016,50.130005,35.130005,47.200012,54.420013,49.0,39.48001,41.23001,50.29001,58.25,40.130005,56.820007,46.51001,48.829987,59.940002,49.54001
2010,40.850006,49.559998,47.26001,45.0,48.860016,52.889984,37.850006,50.320007,54.22,46.670013,39.170013,42.350006,46.690002,60.070007,48.889984,53.76001,48.670013,47.190002,61.76001,46.200012
2011,41.410004,44.570007,44.700012,42.51001,49.29001,50.110016,35.160004,46.420013,56.660004,51.309998,41.070007,37.98001,48.920013,58.570007,41.850006,56.26001,46.98001,47.380005,59.600006,47.600006
2012,42.54001,48.73001,44.690002,46.03,50.309998,50.639984,34.320007,48.53,56.170013,47.450012,40.110016,39.880005,47.410004,57.309998,41.73001,54.51001,47.639984,50.309998,61.559998,49.110016
2013,40.950012,46.79001,44.889984,43.04001,50.0,50.920013,34.54001,43.059998,57.78,47.04001,40.329987,43.51001,48.48001,59.48001,44.98001,52.070007,41.48001,47.73001,59.910004,46.389984
2014,40.73001,48.920013,47.130005,42.79001,49.100006,50.76001,40.410004,51.329987,54.079987,49.29001,41.79001,38.04001,47.160004,59.859985,42.670013,55.26001,47.059998,48.350006,59.820007,45.04001
2015,43.22,49.29001,47.880005,43.820007,50.130005,51.940002,34.420013,40.97,54.610016,51.170013,44.53,39.73001,49.170013,58.23001,45.630005,54.389984,45.940002,47.04001,60.420013,48.670013
2016,41.26001,54.440002,46.940002,43.630005,47.47,48.630005,34.04001,41.78,53.820007,50.170013,47.26001,39.22,48.54001,59.859985,43.880005,52.860016,46.559998,47.54001,59.98001,43.79001
2017,41.26001,49.570007,47.360016,43.350006,49.380005,54.860016,34.630005,43.570007,58.73001,50.639984,42.670013,41.170013,46.200012,57.889984,42.130005,56.850006,48.320007,51.309998,60.79001,48.329987
2018,42.76001,49.570007,46.360016,41.829987,49.600006,51.360016,39.47,41.48001,54.01001,50.079987,45.380005,41.98001,52.579987,58.98001,45.420013,53.03,46.820007,47.28,62.01001,43.690002
