year,Algiers,Yangon,Caracas,Kyiv,Tashkent,Madrid,Stockholm,Bangkok,Lima,Dakar,Johannesburg,Amsterdam,Seoul,Manila,Berlin,Kinshasa,New Delhi,Athens,Baghdad,Addis Ababa
2002,38.1870028,39.3099916,43.726008,38.8960106,48.25800625,47.534008199999995,32.6690091,46.170013,47.222006099999994,47.78701,39.2710021,36.892509249999996,39.444012199999996,55.660009,37.172501049999994,49.8214989,37.130005,46.1640138,58.726008,38.6940062
2003,39.7885056,45.435005000000004,46.214510149999995,35.9350045,48.31049845,48.922507749999994,31.061010499999995,45.804012699999994,53.51901,44.827991000000004,40.26001,38.13350534999999,42.138511399999985,56.3770051,39.824498,51.330009249999996,41.785005,45.4440124,58.656005799999996,43.73350995
2004,37.4400148,49.09600819999999,45.432001,37.4069982,48.410006499999994,46.32800909999998,29.741009700000003,52.49400699999999,52.726988999999996,45.97,39.1719904,32.53600399999999,40.880005,54.619498099999994,35.915991599999984,49.546004999999994,43.6760072,45.3000124,59.18900255,43.192009999999996
2005,37.7880014,44.602,44.55700349999999,36.39150975,49.130005,48.51001,30.9060116,47.9800115,53.186494849999995,45.320007,38.7170018,36.24050649999999,40.016009249999996,55.378011699999995,38.600006,49.6580075,43.444992,44.28,56.4145,44.03750625
2006,38.2645005,45.69701,44.7135103,37.2630001,48.9350125,47.33000499999999,32.4680118,43.6640016,54.31750475,45.48450609999999,37.068006649999994,40.22850974999999,38.000012,56.195007000000004,41.97200939999999,52.125,41.089515799999994,44.3390136,58.08650645,41.49801
2007,37.1360062,45.513009600000004,44.130005,40.602490450000005,48.05901,45.76500195,33.7640078,41.37400829999999,54.41100729999998,45.1340082,38.95150775,33.58400819999999,43.1200025,55.67599999999999,40.0880064,50.725,41.41449829999999,47.66751,58.169982999999995,43.162507500000004
2008,38.64800939999999,44.97200985,45.130005,36.8660157,48.47701015,47.32650025,32.6390103,43.27900115,54.1825025,45.314990900000005,37.78850805,36.2580095,41.20451195,55.9430086,42.199998699999995,52.062506,40.70200759999999,45.3380064,57.3270139,46.22900049999999
2009,38.6970121,44.9560058,45.9929983,40.098010399999986,47.125505249999996,48.29001,32.486007,44.000012,53.3920074,44.1745151,36.83000245,35.417013149999995,43.1520139,56.71100105,35.7155096,53.170013,42.4295027,45.1630123,56.19801284999999,46.4700025
2010,38.918508849999995,47.434510450000005,45.83301555,42.9660024,47.23150955,47.9590114,33.8460094,49.985007749999994,52.300005399999996,43.53101,37.6795049,36.98700435,41.166512649999994,57.324005,40.920013,52.49300665,43.4430113,44.98001,57.554487449999996,41.743511749999996
2011,38.40251075,42.85051,44.067505,39.26549545,47.5,46.4320124,32.43700215,45.48901195,54.3680054,44.574993899999996,36.039009,33.1060067,41.750001000000005,57.12248975,37.673013299999994,54.313501499999994,41.97450365,45.3140076,56.58501,45.065507149999995
2012,38.397003299999994,45.143001899999994,43.2325055,42.0180004,47.08400319999999,45.765008800000004,30.787009100000002,47.8430004,53.0470007,44.308993900000004,36.351011099999994,36.7020012,41.3739992,57.1400145,37.15151174999999,51.86351285,41.822502,47.208003,57.600007500000004,44.4310033
2013,38.1020158,43.82750675,44.244012399999995,39.7850096,47.184,47.4885071,31.61350585,42.8729991,53.317490250000006,44.46750625,37.4109864,35.95700535,43.0875085,57.761007299999996,40.87849705,51.095006999999995,38.704012649999996,45.286006,57.44751075,44.1059986
2014,38.7940077,45.8100125,45.95799905,39.0110154,46.9380064,46.10501269999999,34.9040096,46.002007799999994,53.20401269999999,45.932013600000005,38.1249939,35.4020076,40.07601030000001,56.700012,38.890010000000004,52.64051,42.1220104,44.8675142,57.568507149999995,42.1400055
2015,39.855004999999984,46.8035094,46.913986099999995,41.83800675,47.4140118,49.145004,30.93900595,40.902001,50.8870148,43.2655111,38.98701194999999,35.76800539999999,44.382506549999995,55.77900985,40.7615001,53.3639984,43.480011000000005,45.371005499999995,57.070007,44.405014
2016,37.811007,44.23601,46.4805015,37.965506049999995,44.860016,46.39301435,30.575012,41.6380014,52.614990250000005,42.7945084,39.6650085,35.546506949999994,43.0260065,58.51001,37.0750115,50.6315015,41.735007749999994,45.02500385,55.75,42.932001899999996
2017,38.76400759999999,45.558009,43.84751,37.880005,46.71800354999999,48.400012,28.651003899999996,42.0080076,54.2625034,45.170013,37.4365088,35.2440054,41.4819975,56.477004699999995,37.70850970000001,53.782509000000005,42.67000199999999,45.9960084,57.410004,45.883004799999995
2018,39.2585085,45.2200015,45.5320008,39.8170085,47.6450035,49.402007,35.9230132,40.59201,52.05000425,43.0925063,39.23301,39.628009199999994,45.280014,55.559998,42.958008,52.0699903,41.7100145,44.1320127,57.426007199999994,42.022001249999995
