Filenames;Cities
01-world_capital_city_lst_max_per_year.csv, 01-world_capital_city_lst_p95_per_year.csv;Vatican City, San Marino, Vaduz, Luxembourg, Palikir, Majuro, Funafuti, Melekeok, Monaco, Tarawa, Moroni, Andorra, Port-of-Spain, Kigali, Mbabane, Juba, Ljubljana, Bratislava, Doha, Podgorica
02-world_capital_city_lst_max_per_year.csv, 02-world_capital_city_lst_p95_per_year.csv;Bern, Pristina, Roseau, Djibouti, Banjul, Skopje, Bridgetown, Bujumbura, Kingstown, Castries, Basseterre, Port Louis, Saint George's, Manama, Saint John's, Montevideo, Lomé, Tunis, Abu Dhabi, Ashgabat
03-world_capital_city_lst_max_per_year.csv, 03-world_capital_city_lst_p95_per_year.csv;Lusaka, Harare, Dili, Port Vila, Tegucigalpa, Georgetown, Reykjavík, Port-au-Prince, Kampala, Paramaribo, Niamey, Dushanbe, Asunción, Managua, Freetown, Islamabad, Kathmandu, Bloemfontein, Pretoria, Port Moresby
04-world_capital_city_lst_max_per_year.csv, 04-world_capital_city_lst_p95_per_year.csv;Honiara, Panama City, Rabat, Chi_in_u, Maputo, Mogadishu, Muscat, Colombo, Ulaanbaatar, Windhoek, Abuja, Bissau, Amman, Vilnius, Riga, Bishkek, Maseru, Antananarivo, Quito, San José
05-world_capital_city_lst_max_per_year.csv, 05-world_capital_city_lst_p95_per_year.csv;San Salvador, Kingston, N'Djamena, Malabo, Asmara, Zagreb, Tallinn, Lilongwe, Guatemala City, Libreville, Suva, Nouakchott, Bamako, Beirut, Tbilisi, Nur-Sultan, Vientiane, Brazzaville, Conakry, Yamoussoukro
06-world_capital_city_lst_max_per_year.csv, 06-world_capital_city_lst_p95_per_year.csv;Ottawa, Belgrade, Bandar Seri Begawan, Sucre, Belmopan, Bangui, Yaoundé, Tirana, Yerevan, Baku, Phnom Penh, La Paz, Cotonou, Sofia, Minsk, Thimphu, Gaborone, Canberra, Ouagadougou, Sarajevo
07-world_capital_city_lst_max_per_year.csv, 07-world_capital_city_lst_p95_per_year.csv;Naypyidaw, Nuku'alofa, Hargeisa, Victoria, São Tomé, Apia, Valletta, Malé, Jerusalem, Praia, Nassau, Nicosia, Hanoi, Ankara, Budapest, Sanaa, Bucharest, Damascus, Lisbon, Khartoum
08-world_capital_city_lst_max_per_year.csv, 08-world_capital_city_lst_p95_per_year.csv;Oslo, Warsaw, Pyongyang, Dar es Salaam, Dublin, Monrovia, Kuala Lumpur, Havana, Prague, Kuwait City, Santo Domingo, Accra, Tripoli, Helsinki, København, Abidjan, Brasília, Brussels, Dhaka, Luanda
09-world_capital_city_lst_max_per_year.csv, 09-world_capital_city_lst_p95_per_year.csv;Algiers, Yangon, Caracas, Kyiv, Tashkent, Madrid, Stockholm, Bangkok, Lima, Dakar, Johannesburg, Amsterdam, Seoul, Manila, Berlin, Kinshasa, New Delhi, Athens, Baghdad, Addis Ababa
10-world_capital_city_lst_max_per_year.csv, 10-world_capital_city_lst_p95_per_year.csv;Tehran, Buenos Aires, Kabul, Vienna, Taipei, Washington D.C., London, Riyadh, Cape Town, Moscow, Mexico City, Rome, Beijing, Nairobi, Jakarta, Bogota, Cairo, Tokyo, Paris, Santiago, Singapore, Wellington
