year,Berlin,Paris,Rome,Madrid,Warsaw,Bucharest,Amsterdam,Brussels,Prague,Athens,Stockholm,Lisbon,Budapest,Vienna,Sofia,Copenhagen,Helsinki,Bratislava,Dublin,Zagreb,Vilnius,Ljubljana,Riga,Tallinn,Nicosia,Luxembourg,Valletta
2002,308.4475,311.4525,313.36,316.9175,307.34,314.7725,306.5675,310.572495,309.16,316.077485,303.947495,313.1275,310.80499999999995,310.59999500000004,311.24998500000004,307.0675,302.9175,308.53,300.035,308.612485,308.305,307.36998500000004,306.565,302.75,323.964995,305.495,308.83248
2003,309.897989,314.498491,317.726,319.33050000000003,307.07250000000005,315.58,306.54200000000003,313.024989,310.231,316.933989,299.33399099999997,314.13748899999996,312.772,313.01898,312.902991,305.253991,302.212489,311.11,303.063489,313.1615,304.03697999999997,313.143989,304.328,302.262491,325.046,306.3565,310.20300000000003
2004,306.20099999999996,309.61349099999995,314.310991,316.893991,303.9115,312.5795,301.174489,305.93749099999997,308.395,316.138489,298.301,313.4265,310.495989,310.759,311.309991,303.614,298.872,309.284489,301.841491,310.156,303.871,308.9945,300.70499,297.82948899999997,325.451489,299.934,308.369
2005,309.18649999999997,312.719,314.373489,318.468,306.61,312.064991,305.4365,310.41197999999997,307.825,316.1265,300.60598,314.671991,309.245991,310.2435,309.513,304.695489,300.709989,308.217,304.038989,310.2745,304.81100000000004,310.6875,302.681,300.707,324.7975,302.885491,307.7145
2006,311.201989,313.75649999999996,313.897,316.84649099999996,309.037491,314.395,309.263491,312.226991,309.858489,315.236,302.567989,313.2385,309.1485,311.467,310.085991,307.188491,301.7545,308.28249999999997,304.638,310.5355,306.596489,312.11799099999996,306.4885,302.0815,324.183,303.3265,309.086991
2007,309.284,307.519,314.976991,316.854991,310.8945,318.419,303.3885,306.126989,311.158,317.903489,302.99999,311.667489,312.646,312.809491,314.2815,304.273489,300.10799099999997,313.2085,305.0055,312.45899099999997,305.716,311.59048,303.099991,301.10299100000003,325.2795,299.938,308.8555
2008,310.560491,308.5945,316.02,316.9335,306.743489,315.951,304.48348899999996,309.461,308.451491,316.432,301.445491,313.471489,310.610491,308.6425,313.0355,304.061,297.69998899999996,308.921,301.9445,311.892,304.45398,311.64,302.83299999999997,298.468991,326.185491,299.65999999999997,309.218489
2009,306.817991,309.22349099999997,316.27648899999997,318.366,305.1445,315.60949999999997,304.32,309.28299999999996,308.24949999999995,316.512989,299.9745,314.11650000000003,311.8955,309.565989,312.853,303.873491,298.8835,309.198991,304.579489,311.052,303.592,311.1835,300.87149999999997,299.0055,324.8125,301.0655,309.7425
2010,309.75948,310.767,314.654489,318.553,308.036489,316.2115,305.655989,311.0165,310.4605,316.7695,302.2965,314.583489,310.033989,312.169,312.09099100000003,303.99998,303.610991,310.1605,303.7555,311.584,308.862,311.2335,306.79499999999996,302.91499999999996,323.88598,301.612,308.8195
2011,306.733991,306.76399999999995,315.314489,317.01849999999996,305.157989,314.684991,302.441,307.35450000000003,307.9135,316.0605,299.3015,312.1905,312.09049999999996,308.85298900000004,313.50600000000003,302.6835,301.386991,307.9525,303.91799100000003,312.1355,305.257,311.018989,303.59648,299.551,324.30899999999997,300.286,308.565
2012,306.5195,309.22747999999996,316.799489,317.166,308.70199099999996,317.9255,303.1285,309.076491,308.5415,317.9395,298.5745,311.921,311.0665,310.8785,314.727,303.57598,298.88,309.82550000000003,301.83898,312.79,303.133489,313.399,303.14,298.465489,324.717989,300.33698,310.27250000000004
2013,308.67947999999996,311.59299999999996,316.099,318.156,308.0535,315.502,305.60699999999997,311.2435,309.639491,316.269,301.623,314.64,312.176,311.35150000000004,313.816489,305.493,300.77798,311.18649999999997,306.000989,312.43598000000003,306.186,312.963491,303.017,301.993989,325.3935,301.96999,310.058
2014,306.632,310.578989,313.2935,316.1365,305.252,314.224491,304.549991,309.01599999999996,310.4345,316.717489,302.188,311.8605,310.8965,312.1395,311.484,304.120991,301.99150000000003,310.28749999999997,305.743989,310.4015,306.6815,309.53000000000003,306.3555,302.16648,324.273489,300.41049999999996,308.257
2015,310.1495,311.460991,316.62,319.29699999999997,309.92348899999996,316.885989,304.8555,308.26550000000003,311.731991,316.084489,301.000991,313.92,313.9445,314.07148900000004,314.6425,303.945991,298.10900000000004,312.564491,301.42798899999997,312.87398,305.2205,313.3785,303.827,297.547,324.228991,305.688989,310.507989
2016,308.0255,310.03099999999995,315.45,318.8125,307.201,315.7725,305.7955,309.32548,309.752,316.599,300.01599999999996,314.50600000000003,311.8825,310.91148,312.846489,304.855,298.9285,310.0025,304.126,311.128489,305.4865,310.91197999999997,301.832,298.045,326.71799999999996,301.662,309.168
2017,306.10099099999996,311.657,317.5825,318.649991,305.545,315.2595,304.223989,308.261,309.3515,316.898,298.338491,313.48449999999997,311.952491,311.82099999999997,313.911491,301.29449999999997,297.3305,311.355,303.410489,312.885491,303.887,313.871489,300.9405,298.3075,325.95550000000003,303.7355,310.284
2018,311.216,313.4995,315.101,319.09248,308.6535,314.229991,307.138491,312.89750000000004,312.12149999999997,316.025491,303.941,313.031991,311.0165,311.209,311.0135,308.5235,301.35,310.666991,309.358991,311.468991,307.18498999999997,310.634,306.130991,302.87048899999996,325.6555,306.99899999999997,308.772
