year,Berlin,Paris,Rome,Madrid,Warsaw,Bucharest,Amsterdam,Brussels,Prague,Athens,Stockholm,Lisbon,Budapest,Vienna,Sofia,Copenhagen,Helsinki,Bratislava,Dublin,Zagreb,Vilnius,Ljubljana,Riga,Tallinn,Nicosia,Luxembourg,Valletta
2002,308.9,312.97,314.21,317.58,307.76,317.02,306.85,312.02,310.43,316.66998,304.05,313.6,311.71,311.37,313.22998,307.6,303.18,309.02,300.16,309.28998,309.13,307.41998,306.93,302.78,324.49,306.43,309.19998
2003,310.03,314.78998,317.99,319.6,309.41,316.68,307.62,314.84,310.44,317.22,302.69998,314.44,314.07,313.13998,313.19998,306.63998,302.46,311.77,303.85,313.75,307.69998,313.76,304.57,303.16998,325.31,307.88,310.94
2004,306.96,310.94998,315.94998,317.28998,305.27,312.97,302.94,307.88998,309.0,316.87,300.16,314.4,312.96,311.76,311.41998,303.9,300.06,310.61,302.53998,310.97,304.63,310.21,303.18,300.09,326.26,300.33,308.6
2005,309.94,314.05,315.16,319.26,308.37,314.97998,306.74,312.69998,308.21,316.77,304.38998,315.19998,310.38998,310.59,310.8,307.44,303.24,309.02,304.38,310.28,305.68,310.77,304.32,303.6,325.65,303.53998,308.05
2006,313.38,316.71,317.12,318.69998,311.53998,315.33,311.03998,314.78998,312.46,316.49,303.36,314.19,312.85,314.25,311.44998,310.44998,301.87,311.28,304.88,311.96,307.35,314.44998,309.31,303.11,324.37,306.72,309.66998
2007,309.68,307.86,315.66998,317.78998,312.88,320.08,305.33,307.15,315.03,319.57,305.53998,312.85,314.56,315.28998,315.97,304.4,301.88998,313.94,307.09,314.66998,305.87,313.28998,303.53998,301.94998,326.55,300.07,309.07
2008,312.03998,308.71,316.46,318.27,306.76,316.16,304.83,311.1,309.69998,316.52,303.41998,313.84,311.53998,309.77,313.25,305.37,298.69,311.11,302.61,313.19,305.94998,311.97,303.46,301.22998,326.72998,300.21,309.51
2009,306.94998,310.22998,316.37,318.74,306.58,316.55,304.65,310.13,308.53,317.47,300.75,314.43,312.0,310.82,314.25,303.88998,299.12,309.97998,304.97,312.35,304.78,311.53,301.68,299.22,325.06,302.38,310.43
2010,310.47998,312.78,316.09,320.06,310.66,316.47,306.25,312.65,312.93,316.94,305.69,314.71,311.86,314.38,313.28998,306.19998,305.13998,314.06,305.51,313.41,311.37,311.8,310.81,305.61,324.91998,305.22,309.43
2011,307.78998,306.83,315.76,318.08,305.18,315.28998,304.96,307.36,308.59,317.21,299.56,312.57,314.34,308.93,313.55,303.03,303.72998,308.31,305.03998,313.12,306.94,312.02,305.22998,300.31,324.65,300.55,309.06
2012,308.01,309.63998,317.19,317.76,309.44998,319.02,304.63,309.38998,308.8,318.66,299.35,312.24,311.6,311.61,316.19,303.72998,298.93,310.26,302.50998,313.56,304.47,313.63,305.09,298.68,325.62,300.69998,310.41
2013,309.94998,311.78,316.22,319.41,308.4,315.59,307.84,312.58,309.91998,316.5,302.69,315.19,312.88,311.72,314.46,307.77,302.66998,312.38,308.85,312.91998,306.34,313.41998,304.15,303.16,325.41,302.69998,310.63
2014,307.6,310.81,313.31,317.0,306.99,314.22998,305.97998,309.61,310.66,317.24,305.4,312.46,310.99,312.53,311.66,308.72998,302.91,311.03,306.91,311.65,307.93,310.52,308.55,302.69998,324.4,301.34,309.06
2015,310.32,313.97998,318.49,321.09,310.27,318.91,306.28,309.69,312.47998,316.75,301.53998,314.36,315.6,315.1,316.32,304.53998,299.88,312.78998,301.78,314.91998,306.59,314.88,304.19,300.66,324.34998,306.25,311.08
2016,308.35,311.34,316.66,320.16,307.63,316.46,306.01,309.97998,309.84,317.71,302.15,314.66,312.02,311.16998,314.59,305.13,299.0,310.25,304.5,312.3,305.58,313.19998,302.69,298.1,327.18,303.4,309.41
2017,306.19998,312.02,317.83,318.97998,305.82,315.76,305.06,308.36,310.82,317.91,299.50998,313.71,312.19998,312.8,313.94998,301.85,298.59,311.52,304.78,313.97998,304.58,314.35,301.32,298.5,327.05,305.82,310.9
2018,312.69,315.32,316.52,319.22998,309.44,314.44998,307.53998,314.85,312.16,316.78998,307.01,313.44998,311.66,311.88,311.58,310.19,302.12,310.91998,309.91998,311.91998,307.58,311.58,306.22998,303.69,325.76,308.88,309.41
