month,Sea Surface Temperature
8/1981,13.882196426391602
9/1981,13.726739883422852
10/1981,13.376672744750977
11/1981,13.191583633422852
12/1981,13.258020401000977
1/1982,13.527307510375977
2/1982,13.656091690063477
3/1982,13.622858047485352
4/1982,13.512994766235352
5/1982,13.379755020141602
6/1982,13.398645401000977
7/1982,13.499139785766602
8/1982,13.604028701782227
9/1982,13.476312637329102
10/1982,13.424585342407227
11/1982,13.704370498657227
12/1982,13.181543350219727
1/1983,13.542627334594727
2/1983,13.711267471313477
3/1983,13.906335830688477
4/1983,13.804315567016602
5/1983,13.579248428344727
6/1983,13.671442031860352
7/1983,14.012750625610352
8/1983,13.825220108032227
9/1983,13.791498184204102
10/1983,13.277521133422852
11/1983,13.160882949829102
12/1983,13.190454483032227
1/1984,13.390497207641602
2/1984,13.602258682250977
3/1984,13.625452041625977
4/1984,13.552759170532227
5/1984,13.369043350219727
6/1984,13.411310195922852
7/1984,13.629877090454102
8/1984,13.770776748657227
9/1984,13.622797012329102
10/1984,13.245599746704102
11/1984,13.105463027954102
12/1984,13.212701797485352
1/1985,13.464258193969727
2/1985,13.660455703735352
3/1985,13.630548477172852
4/1985,13.427606582641602
5/1985,13.344903945922852
6/1985,13.389978408813477
7/1985,13.638818740844727
8/1985,13.737573623657227
9/1985,13.626489639282227
10/1985,13.372491836547852
11/1985,13.207788467407227
12/1985,13.262842178344727
1/1986,13.462335586547852
2/1986,13.604455947875977
3/1986,13.610895156860352
4/1986,13.499536514282227
5/1986,13.402460098266602
6/1986,13.427789688110352
7/1986,13.572504043579102
8/1986,13.746301651000977
9/1986,13.647638320922852
10/1986,13.432794570922852
11/1986,13.275506973266602
12/1986,13.320245742797852
1/1987,13.516290664672852
2/1987,13.665948867797852
3/1987,13.672388076782227
4/1987,13.565423965454102
5/1987,13.489892959594727
6/1987,13.461694717407227
7/1987,13.636560440063477
8/1987,13.846673965454102
9/1987,13.804956436157227
10/1987,13.525445938110352
11/1987,13.311639785766602
12/1987,13.416620254516602
1/1988,13.695978164672852
2/1988,13.864221572875977
3/1988,13.783899307250977
4/1988,13.643823623657227
5/1988,13.526727676391602
6/1988,13.513299942016602
7/1988,13.695764541625977
8/1988,13.853998184204102
9/1988,13.499475479125977
10/1988,13.231927871704102
11/1988,13.228570938110352
12/1988,13.250360488891602
1/1989,13.595026016235352
2/1989,13.612146377563477
3/1989,13.633844375610352
4/1989,13.533624649047852
5/1989,13.378137588500977
6/1989,13.381555557250977
7/1989,13.549921035766602
8/1989,13.800745010375977
9/1989,13.750238418579102
10/1989,13.492242813110352
11/1989,13.492273330688477
12/1989,13.320306777954102
1/1990,13.474695205688477
2/1990,13.779443740844727
3/1990,13.678125381469727
4/1990,13.604578018188477
5/1990,13.772974014282227
6/1990,13.619318008422852
7/1990,13.806360244750977
8/1990,14.002252578735352
9/1990,13.765466690063477
10/1990,13.681085586547852
11/1990,13.494836807250977
12/1990,13.542047500610352
1/1991,13.768762588500977
2/1991,13.811548233032227
3/1991,13.799676895141602
4/1991,13.621484756469727
5/1991,13.460535049438477
6/1991,13.530633926391602
7/1991,13.635705947875977
8/1991,13.779047012329102
9/1991,13.664758682250977
10/1991,13.354516983032227
11/1991,13.262323379516602
12/1991,13.304590225219727
1/1992,13.520898818969727
2/1992,13.723657608032227
3/1992,13.653863906860352
4/1992,13.558557510375977
5/1992,13.478174209594727
6/1992,13.491479873657227
7/1992,13.580621719360352
8/1992,13.696313858032227
9/1992,13.576562881469727
10/1992,13.300470352172852
11/1992,13.220575332641602
12/1992,13.277460098266602
1/1993,13.501031875610352
2/1993,13.636224746704102
3/1993,13.651025772094727
4/1993,13.539300918579102
5/1993,13.471094131469727
6/1993,13.489038467407227
7/1993,13.661859512329102
8/1993,13.808465957641602
9/1993,13.636835098266602
10/1993,13.368402481079102
11/1993,13.242609024047852
12/1993,13.284326553344727
1/1994,13.504297256469727
2/1994,13.589838027954102
3/1994,13.608148574829102
4/1994,13.480768203735352
5/1994,13.412958145141602
6/1994,13.425256729125977
7/1994,13.641473770141602
8/1994,13.786096572875977
9/1994,13.728906631469727
10/1994,13.514917373657227
11/1994,13.329950332641602
12/1994,13.387048721313477
1/1995,13.560235977172852
2/1995,13.684839248657227
3/1995,13.678979873657227
4/1995,13.561365127563477
5/1995,13.505395889282227
6/1995,13.515802383422852
7/1995,13.730859756469727
8/1995,13.879510879516602
9/1995,13.747461318969727
10/1995,13.485010147094727
11/1995,13.315607070922852
12/1995,13.361413955688477
1/1996,13.551782608032227
2/1996,13.662988662719727
3/1996,13.617975234985352
4/1996,13.485467910766602
5/1996,13.446405410766602
6/1996,13.484918594360352
7/1996,13.667413711547852
8/1996,13.808099746704102
9/1996,13.692682266235352
10/1996,13.424402236938477
11/1996,13.290460586547852
12/1996,13.359918594360352
1/1997,13.558130264282227
2/1997,13.696527481079102
3/1997,13.693384170532227
4/1997,13.609003067016602
5/1997,13.562768936157227
6/1997,13.626703262329102
7/1997,13.833917617797852
8/1997,13.976099014282227
9/1997,13.886194229125977
10/1997,13.645746231079102
11/1997,13.515680313110352
12/1997,13.596612930297852
1/1998,13.759912490844727
2/1998,13.885370254516602
3/1998,13.861810684204102
4/1998,13.724542617797852
5/1998,13.655664443969727
6/1998,13.678064346313477
7/1998,13.892969131469727
8/1998,14.014581680297852
9/1998,13.842554092407227
10/1998,13.585962295532227
11/1998,13.432123184204102
12/1998,13.413843154907227
1/1999,13.571954727172852
2/1999,13.703638076782227
3/1999,13.698968887329102
4/1999,13.563318252563477
5/1999,13.489740371704102
6/1999,13.521142959594727
7/1999,13.695032119750977
8/1999,13.856897354125977
9/1999,13.722986221313477
10/1999,13.463281631469727
11/1999,13.319177627563477
12/1999,13.348749160766602
1/2000,13.560419082641602
2/2000,13.693689346313477
3/2000,13.656824111938477
4/2000,13.602746963500977
5/2000,13.530115127563477
6/2000,13.548028945922852
7/2000,13.769281387329102
8/2000,13.944696426391602
9/2000,13.831537246704102
10/2000,13.552942276000977
11/2000,13.390893936157227
12/2000,13.425745010375977
1/2001,13.636621475219727
2/2001,13.765253067016602
3/2001,13.798303604125977
4/2001,13.629022598266602
5/2001,13.568170547485352
6/2001,13.638727188110352
7/2001,13.846735000610352
8/2001,13.963861465454102
9/2001,13.881280899047852
10/2001,13.609369277954102
11/2001,13.449121475219727
12/2001,13.489923477172852
1/2002,13.702325820922852
2/2002,13.836938858032227
3/2002,13.811395645141602
4/2002,13.684778213500977
5/2002,13.619470596313477
6/2002,13.674921035766602
7/2002,13.786432266235352
8/2002,13.952692031860352
9/2002,13.856744766235352
10/2002,13.629205703735352
11/2002,13.453607559204102
12/2002,13.510370254516602
1/2003,13.694360733032227
2/2003,13.846582412719727
3/2003,13.854089736938477
